year,doivent_VERB éveiller_VERB,doivent_VERB réveiller_VERB
1800,3.144164484325529e-09,3.144164395507687e-08
1801,7.143547975374531e-09,2.6193008650921e-08
1802,0.0,4.475680270843441e-09
1803,1.3652374342143503e-08,1.1702034896643454e-08
1804,9.887403784603066e-09,1.2359254952798437e-08
1805,8.528632911009026e-09,2.2743021688143017e-08
1806,2.881669125542885e-09,1.4408345627714425e-08
1807,1.9928686256776018e-08,1.4234775136401367e-08
1808,6.798221985349073e-09,4.5321479902327155e-09
1809,2.710836710662079e-08,2.259030518203531e-09
1810,0.0,1.8721014072298203e-08
1811,1.0028307073639553e-08,5.0141535368197765e-09
1812,0.0,2.1337665856435706e-08
1813,0.0,0.0
1814,9.440030979135372e-09,1.2586708564299443e-08
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,1.3905623319487859e-08,2.5493642752394408e-08
1817,2.6466848268569265e-08,3.113746815941454e-09
1818,2.026600220972341e-08,2.5034472272977837e-08
1819,1.6561680027393777e-08,3.001804671498576e-08
1820,1.0679833017945839e-08,2.610625848831205e-08
1821,5.9168927535324656e-09,2.2681422962023134e-08
1822,8.02049271442229e-09,1.7043547018147365e-08
1823,2.9648061783404955e-09,4.941343334508019e-09
1824,2.5263338088166165e-09,8.421112696055388e-09
1825,1.3208164340028361e-08,7.924898959288385e-09
1826,3.082794464148719e-08,1.5854372037438225e-08
1827,2.3964910056406552e-08,4.608636583469661e-09
1828,1.559291185060374e-08,1.7427371545863934e-08
1829,2.1432940755516938e-08,1.1145129263923081e-08
1830,7.305785310052215e-09,5.218417697960831e-09
1831,4.677361609140007e-09,1.091384405071949e-08
1832,1.352996914505411e-08,2.0294953273491956e-08
1833,2.548398292390175e-08,2.0850531967653296e-08
1834,3.173740381612333e-08,3.733812370398937e-09
1835,1.9664028627630614e-08,1.5882484660778573e-08
1836,1.8146025126952736e-08,6.72075017860152e-09
1837,2.365682938432201e-08,7.653680356156656e-09
1838,2.1461350030449466e-08,5.680945491803868e-09
1839,1.8177836125232716e-08,1.0487212875887053e-08
1840,2.293087852933695e-08,1.2739377552861697e-08
1841,1.8619591202195807e-08,7.704658244733764e-09
1842,1.6770663080478698e-08,2.0795621225033756e-08
1843,2.7171790151214736e-08,9.451057714215949e-09
1844,3.0735943568060975e-08,2.360081374774836e-08
1845,2.1204865419122143e-08,1.4508592549589139e-08
1846,3.8639708321852595e-08,5.269050973311096e-09
1847,2.6966118227278457e-08,9.707802561820245e-09
1848,3.057184372323718e-08,8.04522137798358e-09
1849,5.279031256577582e-08,4.1897072478036534e-09
1850,2.7155984128057753e-08,8.82569484161877e-09
1851,4.837079004005318e-08,4.514607354622058e-09
1852,2.799534470909748e-08,7.161600201754936e-09
1853,3.58315901394235e-08,8.360704129017904e-09
1854,1.3508727469968562e-08,2.286092382064453e-08
1855,1.4328730202350926e-08,9.021793090369101e-09
1856,1.346069211649592e-08,1.2425253714809514e-08
1857,2.8312753030945714e-08,1.4156376515472857e-08
1858,2.202154192332273e-08,1.3702292633865909e-08
1859,2.2405561850291633e-08,1.0693564256314403e-08
1860,2.1512764902809067e-08,6.865775947773045e-09
1861,3.7256114637784776e-08,1.5562680033553988e-08
1862,1.8523744316212287e-08,7.228778020618165e-09
1863,1.8480097452311384e-08,9.989241656072068e-10
1864,1.6302074357099627e-08,2.8768367688059016e-09
1865,2.9653119071326728e-08,1.882737743486018e-09
1866,3.8924902412418305e-08,0.0
1867,3.396968040192405e-08,3.88224918879132e-09
1868,2.1241458370013788e-08,2.4699371437009177e-09
1869,3.7603097524652185e-08,1.0255390314739543e-08
1870,2.0069171213776826e-08,8.027668307875047e-09
1871,1.4869648623516696e-08,8.496941816815706e-09
1872,3.809823923006661e-08,7.256807155187062e-09
1873,2.334541804316359e-08,1.1972008939764578e-09
1874,1.7923827755339516e-08,5.974609140757536e-10
1875,2.5174719198162165e-08,5.721527251978387e-09
1876,1.934724735974669e-08,1.3905833817773328e-08
1877,3.030559980743419e-08,4.9478527941460015e-09
1878,5.918306911212312e-08,2.4156354694326865e-09
1879,2.3215436684154156e-08,4.27652757650776e-09
1880,1.6044616302224313e-08,5.134277003548959e-09
1881,1.8128519130300447e-08,1.3945015142624584e-09
1882,1.7969540522244642e-08,7.986462158271479e-09
1883,2.401348808689363e-08,1.2638677882037541e-09
1884,4.423137056619453e-08,0.0
1885,2.8360796378024133e-08,7.090199094506033e-09
1886,2.0005737511041843e-08,0.0
1887,2.4809914123125054e-08,6.528924623161458e-10
1888,2.6630582183884144e-08,6.340614699951175e-10
1889,1.4409814674820609e-08,0.0
1890,3.080561583601593e-08,7.209825181320184e-09
1891,2.2947192590550003e-08,1.9122659011827636e-09
1892,1.817868522380195e-08,0.0
1893,1.7243566574620672e-08,0.0
1894,2.3315696040526745e-08,0.0
1895,1.625025980445116e-08,0.0
1896,2.0639602027472392e-08,3.5382172747233653e-09
1897,3.088158351260972e-08,2.9133566670225264e-09
1898,2.7160103499568322e-08,5.6583548957434e-10
1899,2.3215829259015663e-08,1.6582735185011188e-09
1900,2.6474371139784125e-08,1.5573159428683425e-09
