year,faudrait_VERB assembler_VERB,faudrait_VERB rassembler_VERB
1800,0.0,6.288328968651058e-09
1801,4.7623651688866175e-09,4.0480102825313224e-08
1802,8.951360541686881e-09,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,2.4718509905596875e-08
1805,0.0,2.55858996212055e-08
1806,0.0,2.5935023018064385e-08
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,6.7770917766551975e-09,1.581321384946932e-08
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,0.0,2.400487453257938e-08
1813,0.0,1.7254450312975678e-08
1814,0.0,1.5733386149463513e-08
1815,0.0,1.0788894222457657e-08
1816,0.0,9.270415546325239e-09
1817,6.227493631882908e-09,4.670620334934483e-09
1818,2.384235475716423e-09,8.344824387052086e-09
1819,2.6912729822470283e-08,3.1053151161586356e-09
1820,3.5599443393152796e-09,1.4239777357261119e-08
1821,1.3806083387635226e-08,2.465372084259343e-08
1822,1.0025615893027862e-09,1.604098542884458e-08
1823,9.882686891060644e-10,9.882686891060644e-10
1824,8.421112696055388e-10,3.3684450784221553e-09
1825,2.641632912414593e-09,1.7610886082763955e-09
1826,0.0,5.284790383086602e-09
1827,9.217273166939322e-09,1.474763688946723e-08
1828,3.668920500743411e-09,1.559291185060374e-08
1829,4.286587973467704e-09,1.628903412154159e-08
1830,1.0436835395921662e-08,1.878630406793036e-08
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,2.4353944638733083e-08,2.705993873419743e-09
1833,1.1583628500844156e-09,6.950177322551099e-09
1834,9.334530925997342e-10,9.334531370086552e-09
1835,7.563087933704082e-10,3.781543966852041e-09
1836,1.0753200108126748e-08,4.032449929525228e-09
1837,8.349468672008697e-09,2.0873671680021744e-09
1838,3.1560809521380406e-09,1.8936485712828244e-09
1839,2.7965900706306e-09,1.3982949909063791e-08
1840,1.2739377330817092e-09,4.458782232319436e-09
1841,2.5040138851295524e-08,3.852329122366882e-09
1842,6.708265054555795e-10,4.695785538189057e-09
1843,1.7720733769266417e-09,5.906911071384968e-10
1844,0.0,8.781698035420504e-09
1845,6.138250796539069e-09,5.580227835366713e-09
1846,1.0538101946622191e-08,7.025401593807601e-09
1847,5.393223645455691e-10,1.294373674909366e-08
1848,4.02261068899179e-09,4.02261068899179e-09
1849,5.865590679832167e-09,1.6758829879393033e-09
1850,2.0366988096043315e-09,1.1541293254424545e-08
1851,1.9348316282474798e-09,1.483370937194195e-08
1852,1.3021090872200602e-09,1.3021090872200602e-09
1853,3.5831591027601917e-09,9.555090940693844e-09
1854,8.313063126763609e-09,7.27393034694046e-09
1855,2.0697054736729115e-08,2.653468555990912e-09
1856,2.5885946719483854e-09,7.248064815001953e-09
1857,5.857811125054013e-09,2.147863931156735e-08
1858,5.3830437884982985e-09,3.9149408159744326e-09
1859,1.018434669930457e-09,1.323965115318515e-08
1860,1.8308735638683515e-09,4.57718396518203e-09
1861,9.431927461278633e-10,4.715963730639317e-10
1862,4.066187830886747e-09,2.2589932147099034e-09
1863,4.495158911765884e-09,4.495158911765884e-09
1864,4.794727948009836e-10,2.0137857603685916e-08
1865,9.41368871743009e-10,1.1296426905005319e-08
1866,9.731225825149181e-10,3.8924903300596725e-09
1867,2.91168689159349e-09,1.1161466417775046e-08
1868,2.4699371437009177e-09,7.409810987013543e-09
1869,9.767038289254515e-10,2.441759683335931e-09
1870,9.747882501187632e-09,2.2936195165357276e-09
1871,0.0,1.1683295220166201e-08
1872,2.4189357183956872e-09,9.071008832961525e-09
1873,1.7958012854535355e-09,1.3767810003173508e-08
1874,2.3898436563030145e-09,1.3741600746186577e-08
1875,1.716458086775674e-09,4.005069165202713e-09
1876,5.441413541973361e-09,4.836811839936672e-09
1877,2.4739263970730008e-09,4.9478527941460015e-09
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,9.774920428640144e-09,3.0546627449723474e-09
1880,4.492492600149944e-09,6.417846254436199e-10
1881,3.4862537301449947e-09,2.7890030285249168e-09
1882,2.6621540527571597e-09,1.3310770263785798e-08
1883,4.423537092179686e-09,3.791603475633565e-09
1884,1.9805090900604227e-09,1.3203393933736152e-09
1885,1.933690763067375e-09,0.0
1886,1.2906927748801422e-09,1.936039106809062e-09
1887,4.570247291724172e-09,7.1818169189441505e-09
1888,5.706553452000662e-09,2.53624587998047e-09
1889,4.385595886446936e-09,7.51816386923565e-09
1890,0.0,4.5880703680722945e-09
1891,2.5496880162734215e-09,1.9122659011827636e-09
1892,6.268512375839919e-10,1.1283322720601063e-08
1893,1.2316833108982905e-09,3.695050043717174e-09
1894,1.8904617871129403e-09,3.780923574225881e-09
1895,6.018614495673091e-10,3.611168697403855e-09
1896,1.179405795248556e-09,3.5382172747233653e-09
1897,1.1653427112179315e-09,2.9133566670225264e-09
1898,2.8291773368493978e-09,5.092519295146758e-09
1899,2.7637891975018647e-09,2.2110313580014918e-09
1900,6.22926377147337e-09,2.07642125715779e-09
1901,3.353243460679778e-09,5.58873880507349e-09
1902,3.928227076954727e-09,3.437198747846537e-09
1903,1.6200660812870638e-09,0.0
1904,3.7622376325430196e-09,2.6873125946735854e-09
1905,4.64468330463319e-09,3.096455536422127e-09
1906,3.600929110447737e-09,1.5432553013283723e-09
1907,5.142843373384665e-10,4.6285588695127444e-09
1908,1.964555629285769e-09,8.349361202419914e-09
1909,1.1001967115120692e-09,2.7504918342913243e-09
1910,0.0,2.137660271017694e-09
1911,1.0640748282497725e-09,4.788336838146279e-09
1912,2.6047106693738442e-09,1.0418842455450772e-09
1913,0.0,3.181793939432964e-09
1914,0.0,4.018046340092951e-09
1915,0.0,0.0
1916,0.0,1.0987462051303964e-09
1917,1.0966424435210342e-09,6.57985488317081e-09
1918,1.1486376294556067e-09,3.44591288836682e-09
1919,0.0,4.603924352863942e-09
1920,7.572231730534895e-10,7.572231730534895e-10
1921,0.0,6.815472630705699e-09
1922,0.0,1.1066902949607993e-08
1923,0.0,1.4862327368803108e-08
1924,0.0,1.2891624656674594e-08
1925,3.299453377181294e-09,5.499089184013428e-09
1926,3.343841648018042e-09,1.1146138456652466e-09
1927,7.804457524684949e-09,5.574612327308159e-09
1928,0.0,7.998228745975666e-09
1929,0.0,6.684243825105796e-09
1930,0.0,4.201441416995522e-09
1931,0.0,7.983749661377715e-09
1932,0.0,7.6716757391182e-09
1933,1.1470662197865522e-09,2.2941324395731044e-09
1934,1.1981580172459871e-09,1.4377896206951846e-08
1935,0.0,1.0771455727365264e-08
1936,4.849885826274658e-09,7.274828739411987e-09
1937,1.2591118148108649e-09,6.295559185076627e-09
1938,0.0,3.8895642262559704e-09
1939,0.0,3.058810094103137e-09
1940,5.0715658339584024e-09,1.2678914806940611e-08
1941,2.9515025978810172e-09,0.0
1942,0.0,6.068423541449874e-09
1943,0.0,5.806470415592457e-09
1944,0.0,0.0
1945,0.0,2.178504043826024e-09
1946,1.3921104269343232e-09,6.960552134671616e-09
1947,3.5762612871081956e-09,5.960435700558264e-09
1948,2.174377566888097e-09,8.697510267552389e-09
1949,1.9634016634739737e-09,1.0798709482173763e-08
1950,8.508289184305795e-09,2.1270722960764488e-09
1951,6.396841278899501e-09,1.5992101864981123e-08
1952,0.0,3.1634410646574906e-09
1953,1.0773827385790469e-09,9.69644453618912e-09
1954,0.0,1.5636057781875934e-08
1955,0.0,3.754243138587299e-09
1956,3.488456634670456e-09,6.976913269340912e-09
1957,8.835037701437898e-10,8.835037590415595e-09
1958,7.445019267748876e-09,4.9633461784992505e-09
1959,1.5501495642666896e-09,1.0851047171911432e-08
1960,0.0,7.612916519406099e-09
1961,0.0,1.459113452284555e-08
1962,6.341956404476434e-10,7.610347907416326e-09
1963,1.2932106496776896e-09,9.052474325699222e-09
