year,auront_VERB assuré_VERB,auront_VERB rassuré_VERB
1800,1.8864987794131594e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,2.7304748684287006e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,0.0,4.518061036407062e-09
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,2.400487453257938e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,9.440030979135372e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,2.3176038865813098e-08,2.3176038865813098e-09
1817,6.227493631882908e-09,0.0
1818,1.7881765401739358e-08,0.0
1819,3.1053151161586356e-09,0.0
1820,1.1866481131050932e-08,0.0
1821,3.4515210245444905e-08,0.0
1822,1.2030739071633434e-08,0.0
1823,3.261286707356703e-08,9.882686891060644e-10
1824,2.863178316658832e-08,0.0
1825,1.8491430608946757e-08,8.805443041381977e-10
1826,1.2331177856594877e-08,0.0
1827,1.6591091167583727e-08,0.0
1828,2.109629271274116e-08,0.0
1829,1.457439946506156e-08,0.0
1830,9.39315203396518e-09,0.0
1831,6.236482441579483e-09,0.0
1832,9.470978667991403e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,2.240287422239362e-08,0.0
1835,9.075705520444899e-09,0.0
1836,1.344150035720304e-08,0.0
1837,3.826840000442644e-08,0.0
1838,2.4617431648721322e-08,0.0
1839,6.711816524784808e-08,0.0
1840,1.1465439264668476e-08,0.0
1841,1.0272877659645019e-08,0.0
1842,7.379091560011375e-09,0.0
1843,1.6539351221922516e-08,1.1813822142769936e-09
1844,5.488561272137815e-10,1.6465684371524958e-09
1845,1.2834524554250493e-08,0.0
1846,4.6836010625384006e-09,5.854501328173001e-10
1847,1.833696039454935e-08,0.0
1848,9.65426583121598e-09,0.0
1849,1.5920887719289567e-08,0.0
1850,1.0862393651223101e-08,0.0
1851,2.5152811389261842e-08,0.0
1852,1.4974254725075298e-08,0.0
1853,8.360704129017904e-09,5.971931837933653e-10
1854,1.1430461910322265e-08,0.0
1855,1.0083180512765466e-08,0.0
1856,1.6049286344355096e-08,0.0
1857,1.0739319655783675e-08,0.0
1858,1.468102794888182e-08,0.0
1859,4.073738679721828e-09,0.0
1860,4.57718396518203e-09,0.0
1861,1.4619487842537637e-08,0.0
1862,6.325180823552046e-09,0.0
1863,1.2986014041871385e-08,0.0
1864,1.9178912680217763e-08,0.0
1865,2.3534221238463715e-09,0.0
1866,8.271541673821048e-09,0.0
1867,2.426405742994575e-09,4.85281148598915e-10
1868,1.1855697756857353e-08,0.0
1869,6.348574999037737e-09,3.906815315701806e-09
1870,1.0894693147633916e-08,0.0
1871,1.3807530230280918e-08,0.0
1872,7.861540751719076e-09,1.8142017887967654e-09
1873,1.2570609442263958e-08,0.0
1874,1.8521287614703397e-08,0.0
1875,1.0298748520654044e-08,0.0
1876,7.255217759905008e-09,0.0
1877,1.1751150275074451e-08,0.0
1878,1.4493812372506909e-08,0.0
1879,1.4051448005147904e-08,0.0
1880,1.6686399817444908e-08,0.0
1881,1.3945014920579979e-08,0.0
1882,1.5972924316542958e-08,0.0
1883,3.033282780506852e-08,0.0
1884,9.242375753615306e-09,0.0
1885,1.2246707647989297e-08,0.0
1886,8.38950331427668e-09,0.0
1887,1.1099172247952538e-08,0.0
1888,3.1703073499755874e-09,5.07249175996094e-09
1889,1.9421923624918236e-08,6.265136742733546e-10
1890,9.831579994568074e-09,0.0
1891,1.5935549768641977e-08,0.0
1892,1.7551833764173352e-08,2.5074049503359674e-09
1893,9.23762488724833e-09,0.0
1894,1.449354058991048e-08,0.0
1895,2.046328972937772e-08,0.0
1896,2.7126333179694484e-08,2.358811590497112e-09
1897,2.5637540090883704e-08,0.0
1898,8.487532454637403e-09,0.0
1899,2.04520400615138e-08,0.0
1900,1.0901211489056095e-08,0.0
1901,2.5708198236884527e-08,2.235495566438317e-09
1902,1.4239823542538943e-08,0.0
1903,4.212171944573129e-08,0.0
1904,3.547252447333449e-08,5.374625189347171e-10
1905,2.37394921498435e-08,0.0
1906,5.144184633820714e-09,0.0
1907,1.131425531042396e-08,0.0
1908,1.7680999775393502e-08,0.0
1909,1.3752458727367411e-08,5.500983557560346e-10
1910,7.481810726517324e-09,0.0
1911,1.0640748726586935e-08,2.128149656499545e-09
1912,2.5005221004903433e-08,3.125652625612929e-09
1913,1.6439267724877027e-08,0.0
1914,1.7411533548283842e-08,6.696743715117748e-10
1915,5.654765544704787e-08,0.0
1916,7.91097249930317e-08,0.0
1917,4.934890895924582e-08,0.0
1918,5.054005569604669e-08,0.0
1919,5.800944435918609e-08,0.0
1920,2.5745588771997063e-08,0.0
1921,1.5902768879527684e-08,0.0
1922,7.377935595798135e-09,0.0
1923,7.431163684401554e-09,1.0615948120573648e-09
1924,1.5469948877466777e-08,0.0
1925,1.8696901804560184e-08,0.0
1926,1.114613823460786e-08,0.0
1927,1.3379070296082318e-08,1.1149224876660924e-09
1928,4.570416489713125e-09,0.0
1929,7.798284684668033e-09,1.1140406375176326e-09
1930,1.1553964007759987e-08,0.0
1931,1.4826963656844327e-08,0.0
1932,5.4797681947604815e-09,0.0
1933,1.261772819560747e-08,0.0
1934,1.1981580172459871e-08,0.0
1935,1.3165112555668657e-08,0.0
1936,2.9099314957647948e-08,0.0
1937,1.3850230295986421e-08,0.0
1938,2.5930429359277696e-08,0.0
1939,1.988226472349197e-08,0.0
1940,1.0143131667916805e-08,0.0
1941,2.3612020783048138e-08,0.0
1942,3.034211815133858e-08,0.0
1943,5.806470415592457e-09,0.0
1944,9.639558484764166e-09,0.0
1945,1.9606536838523425e-08,0.0
1946,1.8097434661967782e-08,0.0
1947,1.4305045148432782e-08,0.0
1948,1.6307831529616124e-08,0.0
1949,1.0798709482173763e-08,0.0
1950,1.595304155443955e-08,0.0
1951,1.1727541604500402e-08,0.0
1952,6.326882129314981e-09,0.0
1953,9.69644453618912e-09,0.0
1954,1.3681550115052232e-08,0.0
1955,1.6894095011821264e-08,0.0
1956,1.0465369904011368e-08,0.0
1957,1.0602045463770082e-08,0.0
1958,5.790570245522986e-09,0.0
1959,1.2401196514133517e-08,0.0
1960,1.3841666479663672e-08,6.920833350854139e-10
1961,2.779263708063695e-09,0.0
1962,1.3952304200870458e-08,6.341956404476434e-10
1963,1.0992290633282664e-08,0.0
1964,1.0951143103454797e-08,1.2167936658258327e-09
1965,4.924839203113152e-09,1.0944086747954884e-09
1966,6.092982118843793e-09,2.215629901769489e-09
1967,7.888536934785861e-09,1.4791006197611978e-09
1968,9.431973424511852e-09,0.0
1969,1.589615195030092e-08,9.083515606356229e-10
1970,8.7375777724219e-09,0.0
1971,1.0790635052160269e-08,0.0
1972,1.1799337507056862e-08,5.130146862875051e-10
1973,9.923766697284009e-09,1.6539611902288698e-09
1974,4.500457340128605e-09,1.6876715580593782e-09
1975,3.998036124386317e-09,5.711480177694739e-10
1976,6.8562320265641574e-09,5.713526873840635e-10
1977,5.289103821581875e-09,2.3507127355770763e-09
1978,8.316828115084718e-09,5.940591352171509e-10
1979,2.925986564150662e-09,5.851973350345929e-10
1980,4.548120546843393e-09,0.0
1981,4.427884725544118e-09,0.0
1982,3.1037510339615437e-09,0.0
1983,5.052252838311233e-09,0.0
1984,5.799008384599347e-09,5.799008495621649e-10
1985,9.624892882698077e-09,0.0
1986,2.997242676272549e-09,0.0
1987,5.49973533381376e-09,0.0
1988,6.596209356501959e-09,0.0
1989,4.939309850016116e-09,0.0
1990,5.448650863826288e-09,0.0
1991,8.7921980806982e-09,5.861465202094962e-10
1992,5.509944056569793e-09,5.509944167592096e-10
1993,2.7696036575264316e-09,0.0
1994,6.857404422078162e-09,0.0
1995,9.21816667442954e-09,0.0
1996,3.736664311304594e-09,0.0
1997,9.110299181713799e-09,0.0
1998,5.2449422582867555e-09,1.43043876743576e-09
1999,7.769341614505265e-09,0.0
2000,6.185244316725402e-09,4.4180314962005696e-10
