year,peuvent_VERB acheter_VERB,peuvent_VERB racheter_VERB
1800,2.5467733166806283e-07,1.8864987794131594e-08
1801,1.857322473597378e-07,2.3811825400343878e-08
1802,2.5958945570891956e-07,6.713520406265161e-09
1803,1.326230716358623e-07,2.5354410126965377e-08
1804,3.287561867182376e-07,3.213406074564773e-08
1805,1.847870549909203e-07,7.391481915419718e-08
1806,1.3832011802605848e-07,4.034336598124355e-08
1807,1.6512339584551228e-07,5.693910232196231e-09
1808,2.334056148356467e-07,4.5321479902327155e-09
1809,1.219876537561504e-07,3.388545621874073e-08
1810,1.825298880930859e-07,2.106114038724627e-08
1811,1.2033967777824728e-07,2.5070767684098882e-09
1812,1.600324992523383e-07,1.0668832928217853e-08
1813,1.2078115219082974e-07,4.3136125782439194e-08
1814,1.541871768040437e-07,2.5173417128598885e-08
1815,5.933891955578474e-08,4.5852800667489646e-08
1816,1.8309070526356663e-07,2.3176038865813098e-08
1817,9.341240314597599e-08,2.9580593974287694e-08
1818,5.2453181353939726e-08,1.4305412854298538e-08
1819,1.0868602373648173e-07,1.2421260464634543e-08
1820,1.779972222948345e-07,1.542642635854463e-08
1821,9.861488337037372e-08,2.1695274909916407e-08
1822,9.42407893944619e-08,2.105379337535851e-08
1823,1.1068609495623605e-07,1.3835761869529506e-08
1824,6.06320114115988e-08,4.6316120716483056e-08
1825,1.2063456722444243e-07,2.201360693732113e-08
1826,1.6206691100251192e-07,2.554315514657901e-08
1827,1.382590966159114e-07,5.8068820862899884e-08
1828,1.5684635457091645e-07,2.935136400594729e-08
1829,1.4574399642697244e-07,2.2290258527846163e-08
1830,1.1897992635567789e-07,1.3567886369969528e-08
1831,9.822459645647541e-08,9.354723218280014e-09
1832,1.5018265742128278e-07,1.352996914505411e-08
1833,2.6758181093100575e-07,3.1275796175123105e-08
1834,1.0734710542692483e-07,2.6136685704614138e-08
1835,1.0890846624533879e-07,1.3613558280667348e-08
1836,1.5457725055512128e-07,2.016225053580456e-08
