year,voulut_VERB assembler_VERB,voulut_VERB rassembler_VERB
1800,0.0,3.458580977167003e-08
1801,1.4287095950749062e-08,1.904946067554647e-08
1802,1.3427040812530322e-08,0.0
1803,0.0,9.751696339321825e-09
1804,0.0,4.449331569844617e-08
1805,0.0,4.264316544322355e-08
1806,2.881669125542885e-09,1.4408345627714425e-08
1807,2.8469551160981155e-09,8.540865792383556e-09
1808,2.945896149242344e-08,2.2660739062985158e-08
1809,2.25903047379461e-08,3.6144488291256494e-08
1810,1.4040760554223652e-08,0.0
1811,0.0,3.5099073869560016e-08
1812,0.0,6.668020802180763e-08
1813,2.8757416448144113e-09,2.8757416004054903e-08
1814,0.0,2.8320094713762956e-08
1815,2.697223555614414e-09,0.0
1816,0.0,1.1588019432906549e-08
1817,9.341240669868967e-09,2.0239355080775567e-08
1818,1.7881765401739358e-08,3.2187177367859476e-08
1819,1.3456364911235141e-08,3.622867339458935e-08
1820,1.898636980968149e-08,2.7292905713238724e-08
1821,1.2819934447350079e-08,2.6626018723163725e-08
1822,4.010246357211145e-09,1.804610860745015e-08
1823,2.569498569471307e-08,2.9648061783404955e-09
1824,1.7684335773537896e-08,8.421112696055388e-09
1825,8.805443485471187e-09,1.0566531649658373e-08
1826,1.6735169694470642e-08,8.807984341885344e-10
1827,9.217273166939322e-09,3.6869092223668076e-09
1828,4.586150570418113e-09,1.1006761724274838e-08
1829,1.2002446148073886e-08,1.2859763920403111e-08
1830,1.1480519646056564e-08,2.5048406016026092e-08
1831,1.5591206103948707e-09,2.0268567268999504e-08
1832,2.570694235259907e-08,1.8941957335982806e-08
1833,1.3900354645102198e-08,8.108539617524002e-09
1834,9.334530925997342e-10,5.600718555598405e-09
1835,4.5378527602224494e-09,1.9664028627630614e-08
1836,1.5457725766054864e-08,1.1425274948351216e-08
1837,1.1132625488130543e-08,3.478945576063097e-09
1838,1.64116205070286e-08,1.5149188570262595e-08
1839,1.3982950353153e-09,5.5931801412612e-09
1840,1.0828470564661075e-08,6.3696887764308485e-09
1841,6.420548537278137e-09,1.6051371787284552e-08
1842,3.3541325272778977e-09,1.8112315203211438e-08
1843,1.1813822142769936e-09,3.5441467538532834e-09
1844,2.195424508855126e-09,1.5916826967554698e-08
1845,3.9061593959388574e-09,1.8414752389617206e-08
1846,4.6836010625384006e-09,1.2294452567118697e-08
1847,1.88762818709165e-08,3.235934187273415e-09
1848,3.218088684420195e-09,5.63165514222419e-09
1849,9.217356655710773e-09,1.005529792763582e-08
1850,8.82569484161877e-09,4.073397619208663e-09
1851,6.449438760824933e-09,3.2247193804124663e-09
1852,3.906327261660181e-09,8.463708844885787e-09
1853,5.971931837933653e-09,4.180352064508952e-09
1854,7.27393034694046e-09,3.63696517347023e-09
1855,1.5920811335945473e-09,2.653468555990912e-09
1856,7.765783571755946e-09,6.212626857404757e-09
1857,6.8341128311999455e-09,7.810414537345878e-09
1858,3.4255731584664773e-09,5.3830437884982985e-09
1859,3.055304009791371e-09,2.5460866748261424e-09
1860,2.746310290291376e-09,3.661747127736703e-09
1861,4.715963730639317e-10,1.8863854922557266e-09
1862,4.517986262886353e-10,1.3553959066214816e-09
1863,3.995696662428827e-09,1.048870412745373e-08
1864,4.794727948009836e-10,1.9178911792039344e-09
1865,5.6482134525026595e-09,4.23615986733239e-09
1866,4.865612801552288e-09,4.865612801552288e-09
1867,2.91168689159349e-09,4.367530337390235e-09
1868,8.89177353968762e-09,1.0867722721741302e-08
1869,3.4184632902167778e-09,9.278686263769487e-09
1870,0.0,3.4404292748035914e-09
1871,1.0621177271019633e-09,2.1242354542039266e-09
1872,4.23313739617015e-09,1.2094678591978436e-09
1873,3.591602570907071e-09,4.190203295451056e-09
1874,5.974609140757536e-10,1.7923826867161097e-09
1875,4.005069165202713e-09,4.577221712764867e-09
1876,4.232210137899983e-09,6.04601479992084e-09
1877,3.0924081073635534e-09,8.658742167710898e-09
1878,6.039088673581716e-10,4.831270938865373e-09
1879,9.163987790827832e-09,9.163987790827832e-09
1880,0.0,9.626769603698904e-09
1881,0.0,3.4862537301449947e-09
1882,7.986462158271479e-09,6.655385131892899e-10
1883,1.2638677882037541e-09,1.2638677882037541e-09
1884,2.6406787867472303e-09,7.2618666635548834e-09
1885,9.023890079618013e-09,1.0957580620640783e-08
1886,1.2906927748801422e-09,1.2906927748801422e-09
1887,0.0,3.264462256069578e-09
1888,6.340614699951175e-10,3.804368819970705e-09
1889,1.2530273485467092e-09,3.759081934617825e-09
1890,6.554386366985909e-09,3.9326319978272295e-09
1891,0.0,4.461953917456185e-09
1892,0.0,4.387958441043338e-09
1893,0.0,9.23762488724833e-09
1894,0.0,5.671385139294216e-09
1895,0.0,3.0093072478365457e-09
1896,0.0,1.179405795248556e-09
1897,0.0,4.078699600285063e-09
1898,0.0,8.487532454637403e-09
1899,0.0,8.844125432005967e-09
1900,5.191053142894475e-10,1.038210628578895e-09
1901,4.470991132876634e-09,1.1177477832191585e-09
1902,9.820567692386817e-10,4.910283735171106e-09
1903,0.0,6.480264325148255e-09
1904,0.0,1.6123875568041512e-09
1905,0.0,4.64468330463319e-09
1906,0.0,5.144184522798412e-10
1907,0.0,5.142843373384665e-10
1908,0.0,4.4202499438483756e-09
1909,2.2003934230241384e-09,5.5009836685826485e-09
1910,0.0,2.67207544979442e-09
1911,5.320374141248863e-10,2.128149656499545e-09
1912,1.0418842455450772e-09,6.251305251225858e-09
1913,0.0,3.181793939432964e-09
1914,1.3393487430235496e-09,1.3393487430235496e-09
1915,0.0,1.1780761921542648e-09
1916,1.0987462051303964e-09,0.0
1917,0.0,5.483212106582869e-09
1918,0.0,1.1486376294556067e-09
1919,0.0,5.524709134618888e-09
1920,0.0,6.057785384427916e-09
1921,7.572747429129834e-10,0.0
1922,5.164555005876537e-09,0.0
1923,0.0,4.246379248229459e-09
1924,1.289162443462999e-09,7.734974438733389e-09
1925,1.0998177923937646e-09,3.299453377181294e-09
1926,0.0,3.343841648018042e-09
1927,0.0,4.4596899506643695e-09
1928,0.0,0.0
1929,2.2280812750352652e-09,1.1140405931087116e-08
1930,3.1510811737689437e-09,6.302162347537887e-09
1931,0.0,5.7026783295555106e-09
1932,0.0,3.287861094491973e-09
1933,0.0,2.2941324395731044e-09
1934,0.0,3.5944740517379614e-09
1935,0.0,2.393656828303392e-09
1936,0.0,6.0623572828433225e-09
1937,0.0,6.295559185076627e-09
1938,1.2965214457594243e-09,1.2965214457594243e-09
1939,0.0,9.176430282309411e-09
1940,0.0,5.0715658339584024e-09
1941,0.0,1.1806010391524069e-08
1942,3.034211770724937e-09,6.068423541449874e-09
1943,0.0,2.9032352077962287e-09
1944,0.0,3.2131861615880553e-09
1945,0.0,2.178504043826024e-09
1946,0.0,5.568441707737293e-09
1947,0.0,4.7683483828109274e-09
1948,2.174377566888097e-09,3.2615663503321457e-09
1949,0.0,1.9634016634739737e-09
1950,0.0,4.2541445921528975e-09
1951,1.0661401539380222e-08,4.264560704569931e-09
1952,0.0,1.0544803918932644e-09
1953,1.0773827385790469e-09,2.1547654771580937e-09
1954,6.840775057526116e-09,6.840775057526116e-09
1955,0.0,7.508486277174597e-09
1956,0.0,7.849027205963921e-09
1957,8.835037701437898e-10,4.417518795207798e-09
1958,8.272243445794913e-10,2.4816730892496253e-09
1959,7.750747821333448e-10,2.325224457422337e-09
1960,0.0,6.2287499602575735e-09
1961,0.0,3.47407969059077e-09
1962,2.5367825617905737e-09,3.170978146727066e-09
1963,6.466053248388448e-10,4.526237162849611e-09
1964,0.0,2.4335873316516654e-09
1965,5.472043373977442e-10,9.849678406226303e-09
1966,0.0,8.308612464702492e-09
1967,3.451234853457663e-09,3.451234853457663e-09
1968,0.0,8.982831367632116e-09
1969,9.083515606356229e-10,5.450109252791435e-09
1970,4.5987250119061684e-10,9.197450023812337e-10
1971,0.0,2.569198631618974e-09
1972,0.0,2.0520587451500205e-09
1973,2.205281512956958e-09,1.6539611902288698e-09
1974,0.0,2.2502286700643026e-09
1975,5.711480177694739e-10,1.7134440533084216e-09
1976,1.7140580066410394e-09,1.7140580066410394e-09
1977,5.876781838942691e-10,1.1753563677885381e-09
1978,0.0,5.346532105932056e-09
1979,0.0,1.7555920051037788e-09
1980,1.7055452605774235e-09,5.6851505725319385e-09
1981,0.0,1.8976649140967083e-09
1982,0.0,1.2415004579935385e-09
1983,1.89459470334441e-09,5.68378455412244e-09
1984,5.799008495621649e-10,1.1598016991243298e-09
1985,0.0,3.609334831011779e-09
1986,0.0,5.994485463567401e-10
1987,0.0,5.49973533381376e-09
1988,1.798966087207532e-09,2.99827696004229e-09
1989,0.0,1.6464366536794728e-09
1990,0.0,4.90378582185258e-09
1991,0.0,9.37834432335194e-09
1992,5.509944167592096e-10,4.4079553340736766e-09
1993,5.539207426075166e-10,2.7696036575264316e-09
1994,0.0,3.6924485691258724e-09
1995,5.422450821690461e-10,6.506940763983948e-09
1996,0.0,2.6690460952494277e-09
1997,1.438468344439059e-09,1.438468344439059e-09
1998,0.0,1.9072516899143466e-09
1999,0.0,1.3710603763428253e-09
2000,4.4180314962005696e-10,2.2090156370779823e-09
2001,4.3812117822561447e-10,1.7524847129024579e-09
2002,0.0,4.381221607729913e-09
2003,0.0,2.5001538617175356e-09
2004,0.0,5.285749615779878e-09
2005,9.007499190971657e-10,9.007499190971657e-10
2006,0.0,1.2353669198716943e-09
2007,1.997239706952314e-09,2.3966877371606188e-09
2008,4.257439678578834e-10,4.6831836186811415e-09
2009,9.53638501499654e-10,2.384096253749135e-09
2010,2.8342759250676863e-09,4.723792912386671e-09
2011,0.0,3.823971805871906e-09
2012,6.808505426114664e-10,2.7234021704458655e-09
2013,5.578250084070646e-10,1.3945624655065103e-09
2014,1.0827225782605865e-09,4.547434873103384e-09
2015,6.649726325136385e-10,3.768178213903184e-09
2016,6.214020409345267e-10,7.663958356829426e-09
2017,2.515611330355938e-10,3.018733707449428e-09
2018,7.744400121190154e-10,2.323319980845895e-09
2019,0.0,2.806086474294034e-09
