year,eût_VERB enseigné_VERB,eût_VERB renseigné_VERB
1800,4.4018303668735825e-08,0.0
1801,3.095537337571841e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,4.8758479920252285e-08,0.0
1804,5.438072037122765e-08,0.0
1805,9.950071699904584e-08,0.0
1806,4.034336598124355e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,4.985362878073829e-08,0.0
1809,5.6475762733043666e-08,0.0
1810,7.254392642153107e-08,0.0
1811,1.504245972228091e-08,0.0
1812,4.5342538612658245e-08,0.0
1813,3.163315653864629e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,5.664169577812572e-08,0.0
1816,1.1356259221884102e-07,0.0
1817,8.407116069975018e-08,0.0
1818,5.2453181353939726e-08,0.0
1819,6.93520334493769e-08,0.0
1820,1.2103811286579003e-07,0.0
1821,1.0847637099686835e-07,0.0
1822,6.115625694746996e-08,0.0
1823,3.656594316225892e-08,0.0
1824,2.947389532437228e-08,0.0
1825,3.78634048558979e-08,0.0
1826,4.668231667892542e-08,0.0
1827,4.147772969531616e-08,0.0
1828,4.953042775923677e-08,0.0
1829,7.801590129474789e-08,0.0
1830,6.157733167810875e-08,0.0
1831,8.419251429359065e-08,0.0
1832,5.276687886635045e-08,0.0
1833,2.89590715851773e-08,0.0
1834,2.8937046536725575e-08,0.0
1835,4.5378527602224494e-08,0.0
1836,8.333729795140243e-08,0.0
1837,6.053365098068753e-08,0.0
1838,3.7241754569095065e-08,0.0
1839,2.7266752411492234e-08,0.0
1840,4.968357103507515e-08,0.0
1841,6.356343362767802e-08,0.0
1842,5.0311989241436095e-08,0.0
1843,5.3752891915337386e-08,5.906911071384968e-10
1844,6.476502534269457e-08,0.0
1845,4.687391452762313e-08,5.580227946389016e-10
1846,3.1614305839866574e-08,5.854501328173001e-10
1847,3.937053350000497e-08,1.0786447290911383e-09
1848,6.033916122305527e-08,1.6090443422100975e-09
1849,2.6814127807028854e-08,0.0
1850,3.6660580349234806e-08,1.3577992064028876e-09
1851,4.2566295377355345e-08,0.0
1852,4.948014620254071e-08,0.0
1853,3.58315901394235e-08,0.0
1854,6.702406807335137e-08,2.0782657816909023e-09
1855,5.466145225341279e-08,0.0
1856,3.520488789376941e-08,0.0
1857,3.9540225316159194e-08,0.0
1858,3.474509924217273e-08,0.0
1859,6.008764330545091e-08,4.582956236731661e-09
1860,3.707518914097818e-08,4.119465657481669e-09
1861,2.4994607272788016e-08,0.0
1862,4.427626620895353e-08,2.2589932147099034e-09
1863,5.394190338847693e-08,0.0
1864,4.075518589274907e-08,0.0
1865,4.5185707620021276e-08,0.0
1866,5.400830360713371e-08,2.432806400776144e-09
1867,4.85281148598915e-08,0.0
1868,3.556709415875048e-08,4.93987406535723e-10
1869,3.90681549333749e-08,7.813630631403612e-09
1870,5.6193677266946906e-08,0.0
1871,5.2043770182308435e-08,0.0
1872,4.8378716144270584e-08,0.0
1873,2.6338419445437466e-08,7.781805422268917e-09
1874,1.7923827755339516e-08,5.974609140757536e-10
1875,3.718992758194872e-08,4.577221712764867e-09
1876,3.3253080289341597e-08,2.418405919968336e-09
1877,1.9172929910382663e-08,6.184815992682502e-10
1878,1.6305540029293297e-08,0.0
1879,3.5434087664043545e-08,0.0
1880,2.1820676820993867e-08,5.134277003548959e-09
1881,2.4403776777148778e-08,0.0
1882,3.4608003574021495e-08,2.6621540527571597e-09
1883,2.1485751844352308e-08,1.1374810426900694e-08
1884,1.3203393933736152e-08,0.0
1885,1.6758653131887513e-08,1.933690763067375e-09
1886,2.9040586824180536e-08,6.4534639854230136e-09
1887,2.154545164501087e-08,9.140494583448344e-09
1888,2.599652049184442e-08,4.4384300679212174e-09
1889,1.4409814674820609e-08,2.5060546970934183e-09
1890,9.176140736144589e-09,0.0
1891,2.5496881050912634e-08,1.9122659011827636e-09
1892,2.820830502514582e-08,2.5074049503359674e-09
1893,2.0938616174248637e-08,4.310891643655168e-09
1894,3.0877544077156927e-08,6.9316934414587195e-09
1895,1.023164486468886e-08,0.0
1896,9.435246361988447e-09,2.358811590497112e-09
1897,1.0488084178916779e-08,5.826713556089658e-10
1898,3.055511754723739e-08,6.224190496340043e-09
1899,1.9346524382513053e-08,5.527578395003729e-10
1900,1.972600216504361e-08,4.15284251431558e-09
1901,2.2913829056392387e-08,8.941982265753268e-09
1902,1.2275709337927765e-08,1.9641135384773634e-09
1903,3.510143287144274e-08,1.2420506401156217e-08
1904,2.956043942958786e-08,5.374625189347171e-09
1905,2.580379465655369e-08,7.741138396966107e-09
1906,2.006231980544726e-08,8.745113966313056e-09
1907,2.108565766434367e-08,6.685696440911215e-09
1908,1.5225305460830896e-08,4.4202499438483756e-09
1909,2.3654228797909127e-08,9.351672325408344e-09
1910,1.1222716089775986e-08,7.481810726517324e-09
1911,3.2454281040372734e-08,4.788336838146279e-09
1912,1.0418842677495377e-08,9.376957876838787e-09
1913,1.96210621083992e-08,5.302989602995467e-09
1914,1.9420557606508737e-08,4.68772043404897e-09
1915,4.476689596799588e-08,1.8849219074468238e-08
1916,3.076489463182952e-08,1.0987462051303964e-09
1917,2.0836205649743533e-08,2.1932848870420685e-09
1918,3.331049214239101e-08,4.594550517822427e-09
1919,5.248473655683483e-08,7.366278698128781e-09
1920,2.6502810612782923e-08,9.086678076641874e-09
1921,2.2718241510233383e-08,6.815472630705699e-09
1922,1.770704471937279e-08,0.0
1923,1.4862327368803108e-08,2.1231896241147297e-09
1924,2.4494086758863887e-08,3.867487219366694e-09
1925,1.8696901804560184e-08,5.499089184013428e-09
1926,1.3375366592072169e-08,6.687683296036084e-09
1927,1.3379070296082318e-08,0.0
1928,2.5137291359556002e-08,4.570416489713125e-09
1929,2.2280811862174232e-08,3.342121912552898e-09
1930,1.7856125467119455e-08,1.1553964007759987e-08
1931,1.8248570654577634e-08,3.4216069977333063e-09
1932,2.1919073223131136e-09,3.287861094491973e-09
1933,6.882397318719313e-09,2.2941324395731044e-09
1934,8.38710612072191e-09,1.4377896206951846e-08
1935,1.555876849579363e-08,0.0
1936,2.0612015205756506e-08,1.2124714565686645e-09
1937,5.0364472592434595e-09,2.5182236296217297e-09
1938,2.463390735840676e-08,0.0
1939,6.117620188206274e-09,0.0
1940,1.2678914806940611e-08,5.0715658339584024e-09
1941,5.9030051957620344e-09,2.9515025978810172e-09
1942,2.1239483061208375e-08,0.0
1943,1.1612940831184915e-08,0.0
1944,6.4263723231761105e-09,0.0
1945,2.3963544037997053e-08,8.714016175304096e-09
1946,2.7842208538686464e-08,1.3921104269343232e-09
1947,1.6689218895749036e-08,3.5762612871081956e-09
1948,7.610321262063735e-09,3.2615663503321457e-09
1949,1.9634017078828947e-08,9.817008317369869e-10
1950,3.190608444114673e-09,1.0635361480382244e-09
1951,1.3859822622919182e-08,0.0
1952,1.0544804140977249e-08,6.326882129314981e-09
1953,1.939288907237824e-08,1.1851209791302608e-08
1954,9.772536557761669e-09,5.863521668203475e-09
1955,1.407841132561316e-08,3.754243138587299e-09
1956,8.72114114258693e-09,8.72114158667614e-10
1957,4.417518795207798e-09,3.534015080575159e-09
