year,peut_VERB abattre_VERB,peut_VERB rabattre_VERB
1800,8.489244152087849e-08,1.5720821977538435e-08
1801,1.9049460320275102e-07,0.0
1802,9.622712582313397e-08,0.0
1803,1.014176405078615e-07,0.0
1804,1.2853624298259092e-07,2.7190360185613827e-08
1805,1.1087222873129576e-07,2.842877711017877e-09
1806,8.933174200365102e-08,0.0
1807,7.402083213037258e-08,0.0
1808,8.837688625362716e-08,4.5321479902327155e-09
1809,6.777091243748146e-08,4.518061036407062e-09
1810,1.4040760731859336e-07,0.0
1811,1.0529722516139373e-07,0.0
1812,5.3344166417446104e-08,0.0
1813,8.627225156487839e-08,0.0
1814,1.1013369771717407e-07,9.440030979135372e-09
1815,8.631115377966125e-08,5.394447111228828e-09
1816,7.648093003354006e-08,6.952811659743929e-09
1817,7.161617787687646e-08,7.784366928831332e-09
1818,3.9339884239097955e-08,1.668964877410417e-08
1819,9.212434548544479e-08,1.3456364911235141e-08
1820,9.137190204455692e-08,1.3053129244156025e-08
1821,8.185035227370463e-08,3.155676253641104e-08
1822,1.1729970594842598e-07,1.4035862250239006e-08
1823,1.1266263300058199e-07,9.882686891060644e-10
1824,9.768490372152883e-08,9.263223965660927e-09
1825,7.220463515977826e-08,2.8177417732422327e-08
1826,1.0129181760021311e-07,5.284790383086602e-09
1827,7.742509211539073e-08,9.217273166939322e-09
1828,6.970948618345574e-08,7.337841001486822e-09
1829,1.0973665354185869e-07,1.714635211591542e-09
1830,1.1271782796029584e-07,1.5655253093882493e-08
1831,1.3720261904381914e-07,0.0
1832,3.6530916958099624e-08,2.705993873419743e-09
1833,6.255159235024621e-08,3.4750886612755494e-09
1834,8.494423298088805e-08,7.467624740797874e-09
1835,9.529490796467144e-08,7.563087933704082e-10
1836,1.1358067553146611e-07,8.736974699274924e-09
1837,9.601889416899212e-08,1.1828414692161004e-08
1838,8.837026399532988e-08,4.418513555037862e-09
1839,8.249940464111205e-08,1.7478688718597368e-08
1840,8.089504888175725e-08,5.095750932326837e-09
1841,7.512041833024341e-08,3.2102742686390684e-09
1842,8.385331540239349e-08,2.0124795163667386e-09
1843,8.033399012674636e-08,7.088293507706567e-09
1844,1.103200801821913e-07,9.879410178825765e-09
1845,7.589110140315825e-08,5.022205318283568e-09
1846,8.430481557297753e-08,7.025401593807601e-09
1847,5.123562374365065e-08,1.0247124926365814e-08
1848,6.033916122305527e-08,8.84974404868899e-09
1849,9.301150782903278e-08,7.54147322368226e-09
1850,7.332116069846961e-08,1.4935791270431764e-08
1851,5.7400004749297295e-08,5.159551008659946e-09
1852,7.291811243703705e-08,1.3672145193766028e-08
1853,4.538668108011734e-08,1.6124216628554677e-08
1854,8.209149626736689e-08,1.2989160858012383e-08
1855,7.270503488143731e-08,9.021793090369101e-09
1856,1.0613237577672407e-07,1.2942972915652717e-08
1857,8.103305049189657e-08,6.8341128311999455e-09
1858,6.85114613929727e-08,4.893676130990343e-09
1859,9.573285808528453e-08,5.092173349652285e-09
1860,8.879737123379527e-08,8.238931314963338e-09
