year,devaient_VERB ajouter_VERB
1800,1.5720821977538435e-08
1801,5.2386017301842e-08
1802,2.0140561218795483e-08
1803,1.950339267864365e-08
1804,2.9662210465630778e-08
1805,0.0
1806,1.152667650217154e-08
1807,2.8469551160981155e-09
1808,1.8128591960930862e-08
1809,2.0331274441787173e-08
1810,2.3401267590372754e-09
1811,4.262030373070047e-08
1812,8.00162425207418e-09
1813,4.888760685162197e-08
1814,1.2586708564299443e-08
1815,3.776112933451259e-08
1816,4.4034472068688046e-08
1817,1.71256075987003e-08
1818,4.6492591110336434e-08
1819,5.4860564091541164e-08
1820,7.119888323359191e-08
1821,3.8459806006585495e-08
1822,3.208197085768916e-08
1823,5.6331316500290995e-08
1824,1.6842225392110777e-08
1825,4.754939197937347e-08
1826,2.290075862276808e-08
1827,2.949527377893446e-08
1828,1.9261833017480967e-08
1829,7.801590129474789e-08
1830,3.652892388572582e-08
1831,3.274153215215847e-08
1832,2.0294953273491956e-08
1833,1.9692167896323554e-08
1834,2.240287422239362e-08
1835,3.554651328840919e-08
1836,3.5619976301859424e-08
1837,2.7135774516295896e-08
1838,4.418513199766494e-08
1839,6.082583325905944e-08
1840,5.7327198987877637e-08
1841,6.934192242624704e-08
1842,4.024958855097793e-08
1843,4.784597962270709e-08
1844,2.030767731753258e-08
1845,2.17628883802945e-08
1846,4.5665110803838616e-08
1847,5.44715597072809e-08
1848,2.896279838182636e-08
1849,8.379414495607307e-09
1850,2.7834882843080777e-08
1851,2.192809134271556e-08
1852,2.8646400807019745e-08
1853,4.359510086260343e-08
1854,3.636965217879151e-08
1855,3.555647865027822e-08
1856,5.5913645269356493e-08
1857,3.514686497396724e-08
1858,2.7893953813418193e-08
1859,4.582955881460293e-08
1860,4.211009141386057e-08
1861,2.87673795895671e-08
1862,3.162590545002786e-08
1863,2.3474717281146695e-08
1864,2.828889478223573e-08
1865,4.6597758540656287e-08
1866,2.432806489593986e-08
1867,1.4073153309368536e-08
1868,3.013323279787983e-08
1869,1.5138908793232986e-08
1870,2.121598008386627e-08
1871,1.1683295220166201e-08
1872,2.9027228620748247e-08
1873,2.095101514498765e-08
1874,3.644511537004291e-08
1875,2.460256709468922e-08
1876,3.627608791134662e-08
1877,5.6281827198745304e-08
1878,3.01954443671093e-08
1879,2.6270098985037293e-08
1880,1.5402831010646878e-08
1881,1.324776466304911e-08
1882,1.9966154951589488e-08
1883,1.7062214752172622e-08
1884,6.601696966868076e-09
1885,1.6758653131887513e-08
1886,2.3877817056927597e-08
1887,1.8933882017790893e-08
1888,1.014498351992188e-08
1889,2.1301465480405568e-08
1890,1.1797895993481688e-08
1891,1.529812720946211e-08
1892,1.6924984080901595e-08
1893,1.23168328869383e-08
1894,2.0164925729204697e-08
1895,7.824199066419624e-09
1896,1.4152869098893461e-08
1897,4.078699600285063e-09
1898,6.7900258748920805e-09
1899,1.879376654301268e-08
1900,2.3359739032002835e-08
1901,7.824234593556412e-09
1902,1.3748794991386148e-08
1903,7.020286574288548e-09
1904,1.5586412160928376e-08
1905,1.4966200723165457e-08
1906,2.5206503551089554e-08
1907,1.542852956504248e-08
