year,peuvent_VERB égaler_VERB,peuvent_VERB egaler_VERB,peuvent_VERB régaler_VERB
1800,4.7162465932615305e-08,0.0,0.0
1801,6.191074675143682e-08,0.0,0.0
1802,5.147032311469957e-08,0.0,0.0
1803,2.145373123596528e-08,0.0,0.0
1804,3.213406074564773e-08,0.0,0.0
1805,7.675770063997334e-08,0.0,0.0
1806,7.492339904047185e-08,0.0,0.0
1807,4.555128185756985e-08,0.0,0.0
1808,2.945896149242344e-08,0.0,0.0
1809,6.777091243748146e-08,0.0,0.0
1810,1.6380887757350138e-08,0.0,0.0
1811,5.0141537144554604e-08,0.0,0.0
1812,5.601137331723294e-08,5.3344164641089264e-09,0.0
1813,2.8757416004054903e-08,0.0,0.0
1814,2.8320094713762956e-08,0.0,0.0
1815,8.631115377966125e-08,0.0,0.0
1816,7.416332437060191e-08,0.0,0.0
1817,9.652615062805125e-08,0.0,0.0
1818,1.0609847578280096e-07,1.1921177378582115e-09,0.0
1819,5.900098543065724e-08,0.0,0.0
1820,3.678609061807947e-08,0.0,0.0
1821,6.212737702071536e-08,5.9168927535324656e-09,0.0
1822,6.115625694746996e-08,0.0,0.0
1823,5.929612001409623e-08,1.9765373782121287e-09,0.0
1824,3.8737120178211626e-08,0.0,0.0
1825,5.0191026446100295e-08,0.0,0.0
1826,5.19671061738336e-08,0.0,0.0
1827,2.1199728195142598e-08,0.0,0.0
1828,4.769596628761974e-08,0.0,0.0
1829,4.543783305166471e-08,0.0,0.0
1830,6.575206867864836e-08,0.0,3.1310507520032616e-09
1831,4.8332740476553226e-08,0.0,0.0
1832,1.488296597074168e-08,0.0,0.0
1833,3.243415847009601e-08,0.0,0.0
1834,3.267085801894609e-08,0.0,0.0
1835,3.1764969321557146e-08,0.0,0.0
1836,4.435695188931277e-08,0.0,0.0
1837,4.313892532081809e-08,0.0,0.0
1838,2.5879863585487328e-08,3.1560809521380406e-09,0.0
1839,2.586845759822154e-08,6.9914751765765e-10,0.0
1840,4.0129037870428874e-08,0.0,0.0
1841,1.9903700021473014e-08,0.0,0.0
1842,2.95163662400455e-08,1.341653010911159e-09,0.0
1843,3.2488010504039266e-08,0.0,0.0
1844,2.195424464446205e-08,0.0,0.0
1845,3.850357188639464e-08,5.580227946389016e-10,0.0
1846,3.33706573485415e-08,0.0,1.1709002656346001e-09
1847,2.2651539310913904e-08,5.393223645455691e-10,0.0
1848,3.298540818263973e-08,3.218088684420195e-09,0.0
1849,1.0893239199560867e-08,0.0,0.0
1850,2.308258650884909e-08,0.0,0.0
1851,2.257303499675345e-08,0.0,0.0
1852,1.6927417689771573e-08,0.0,0.0
1853,2.09017620989016e-08,0.0,0.0
1854,4.2084881357595805e-08,1.0391328908454511e-09,5.195664454227256e-10
1855,3.343370380548549e-08,5.306937111981824e-10,2.1227748447927297e-09
1856,2.1226476576430287e-08,0.0,0.0
1857,1.9526035899275485e-08,0.0,0.0
