year,voulait_VERB assembler_VERB,voulait_VERB rassembler_VERB
1800,0.0,2.829747991484055e-08
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,9.751696339321825e-09,4.8758479920252285e-08
1804,0.0,7.4155526164076946e-09
1805,0.0,2.842877711017877e-09
1806,0.0,5.76333825108577e-09
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,6.7770917766551975e-09,1.8072244145628247e-08
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,2.1337665856435706e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,5.664018942752591e-08
1815,1.3486118000116676e-08,0.0
1816,0.0,6.952811659743929e-09
1817,0.0,4.203558034987509e-08
1818,1.1921176934492905e-08,1.3113295338484932e-08
1819,0.0,2.898294049202832e-08
1820,1.4239777357261119e-08,2.0173018810965004e-08
1821,0.0,4.832129363308013e-08
1822,1.2030739071633434e-08,1.5038423839541792e-08
1823,0.0,1.2847492847356534e-08
1824,3.3684450784221553e-09,2.2737005167527968e-08
1825,1.7610886082763955e-09,3.434122675116669e-08
1826,1.5854372037438225e-08,1.5854372037438225e-08
1827,7.373818444733615e-09,3.871254605769536e-08
1828,2.7516904310687096e-09,3.8523666034961934e-08
1829,1.0287811491593857e-08,2.743416338546467e-08
1830,0.0,2.817945699007396e-08
1831,0.0,3.897801548191637e-08
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,0.0,1.0425265983826648e-08
1834,9.334530925997342e-10,6.534171426153534e-09
1835,3.781543966852041e-09,1.0588323107185715e-08
1836,7.392825018825988e-09,7.392825018825988e-09
1837,1.8090515752078318e-08,2.2961039292113128e-08
1838,1.64116205070286e-08,1.9567702125300457e-08
1839,1.11863602825224e-08,3.4957374772659477e-09
1840,4.458782232319436e-09,1.0191501864653674e-08
1841,3.2102742686390684e-09,4.494383976094696e-09
1842,1.7441490030023488e-08,1.2074877098200432e-08
1843,1.7720733769266417e-09,1.594865928211675e-08
1844,8.232841963717874e-09,2.7991662321369404e-08
1845,8.928364714222425e-09,4.464182357111213e-09
1846,2.86870562860031e-08,2.4588905134237393e-08
1847,4.853901280910122e-09,9.168480197274675e-09
1848,1.367687652020777e-08,1.769948809737798e-08
1849,5.865590679832167e-09,5.865590679832167e-09
1850,4.752297222410107e-09,5.431196825611551e-09
1851,1.2898877521649865e-09,4.514607354622058e-09
1852,2.6042181744401205e-09,6.510545436100301e-09
1853,4.180352064508952e-09,2.149895550473957e-08
1854,6.234797567117312e-09,1.454786069388092e-08
1855,5.306937111981824e-10,1.0083180512765466e-08
1856,1.0354378465748937e-09,1.6049286344355096e-08
1857,2.0990489346672803e-08,2.0502337605421417e-08
1858,3.4255731584664773e-09,1.3212924976357954e-08
1859,0.0,5.092173349652285e-09
1860,6.408057640072684e-09,9.612086238064421e-09
1861,5.187560159214399e-09,8.488735048217677e-09
1862,8.132375661773494e-09,5.421583626485926e-09
1863,4.495158911765884e-09,2.597202808374277e-08
1864,0.0,7.671564716815737e-09
1865,1.4120533631256649e-09,1.6003271596787272e-08
1866,9.244664589402873e-09,3.16264845423575e-08
1867,1.94112459439566e-09,1.552899675516528e-08
1868,4.939874287401835e-09,2.865126980111654e-08
1869,1.4650557433881772e-09,1.0255390314739543e-08
1870,1.1468097582678638e-09,1.4335121534259088e-08
1871,4.248470908407853e-09,3.18635318130589e-09
1872,3.628403577593531e-09,1.9956219787786722e-08
1873,1.7958012854535355e-09,1.1373408881354408e-08
