year,dut_VERB aller_VERB
1800,2.2009151834367913e-08
1801,1.4287095950749062e-08
1802,4.475680270843441e-09
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,8.528632911009026e-09
1806,5.76333825108577e-09
1807,5.693910232196231e-09
1808,2.2660739062985158e-08
1809,6.7770917766551975e-09
1810,1.6380887757350138e-08
1811,3.259199843341776e-08
1812,1.3336041604361526e-08
1813,3.4508900625951355e-08
1814,3.1466771410748606e-09
1815,2.1577788444915313e-08
1816,7.416332437060191e-08
1817,1.0898113522728181e-08
1818,9.536941902865692e-09
1819,1.035105001712111e-09
1820,5.933240565525466e-09
1821,2.9584464655840748e-08
1822,1.4035862250239006e-08
1823,6.127265805844218e-08
1824,5.3895121254754486e-08
1825,6.251864448358901e-08
1826,4.932471142637951e-08
1827,4.885154680778214e-08
1828,1.1923991571904935e-08
1829,4.200856196234781e-08
1830,3.444155893816969e-08
1831,1.5591206103948707e-09
1832,2.976593194148336e-08
1833,7.876867158529421e-08
1834,6.72086244435377e-08
1835,6.277362984974388e-08
1836,9.677879830860547e-08
1837,8.488626690450474e-08
1838,6.817134590164642e-08
1839,6.85164565084051e-08
1840,9.427139247009109e-08
1841,8.282507479862034e-08
1842,1.2141960326061962e-07
1843,7.560846171372759e-08
1844,1.3611631288767967e-07
1845,1.1830083224140253e-07
1846,8.723206690319785e-08
1847,5.2314270249098627e-08
1848,6.838438793010937e-08
1849,1.0725651122811541e-07
1850,6.585326417507531e-08
1851,5.6755062871616246e-08
1852,9.375185072713066e-08
1853,1.1346670447665019e-07
1854,1.267742106847436e-07
1855,1.209981661531856e-07
1856,8.852993715890989e-08
1857,1.3082444638712332e-07
1858,9.39585760306727e-08
1859,1.425808591193345e-07
1860,1.2129537196869933e-07
1861,1.249730416930106e-07
1862,1.115942609430931e-07
1863,1.4784077961849107e-07
1864,1.0260718141807956e-07
1865,1.2708480312539905e-07
1866,1.7710830491068918e-07
1867,1.412168160186411e-07
1868,1.2695475959390023e-07
1869,1.3478512528308784e-07
1870,1.2098843171770568e-07
1871,1.0090118252037428e-07
1872,1.1308524250353003e-07
1873,1.8436894322348962e-07
