year,voulaient_VERB aller_VERB
1800,4.4018303668735825e-08
1801,4.286128785224719e-08
1802,4.0281122437590966e-08
1803,2.9255089017965474e-08
1804,6.673997887673977e-08
1805,5.1171799242411e-08
1806,2.5935023018064385e-08
1807,2.562259560079383e-08
1808,2.4926814390369145e-08
1809,3.388545621874073e-08
1810,4.680253340438867e-08
1811,3.760615285841595e-08
1812,2.6672083208723052e-08
1813,3.163315653864629e-08
1814,3.1466772298927026e-08
1815,1.0788894400093341e-07
1816,3.244645441213834e-08
1817,8.095742032310227e-08
1818,1.1563542301473717e-07
1819,3.622867339458935e-08
1820,1.0086508694939766e-07
1821,6.7058117281249e-08
1822,8.622029668003961e-08
1823,1.2452186126665765e-07
1824,1.6000113589598186e-07
1825,1.5673688835704525e-07
1826,1.1890779205714352e-07
1827,1.649891885335819e-07
1828,1.1098484264948638e-07
1829,1.4917326041086199e-07
1830,9.288783786587373e-08
1831,9.510635834431014e-08
1832,8.117981309396782e-08
1833,1.18153010930655e-07
1834,1.2508272106970253e-07
1835,1.1571524538567246e-07
1836,7.728862527756064e-08
1837,1.3011255362016527e-07
1838,1.0415067208668916e-07
1839,1.300414425031704e-07
1840,1.0637380398748064e-07
1841,1.2905302071430924e-07
1842,1.3819025923567096e-07
1843,1.0514301607145171e-07
1844,1.0318495213823553e-07
1845,1.5903650307791395e-07
1846,1.609987805295532e-07
1847,1.0193192423457731e-07
1848,1.0217431878345451e-07
1849,1.1396004140351579e-07
1850,1.0183494225657341e-07
1851,1.0383596560359365e-07
1852,1.0807505645971105e-07
1853,8.957897534855874e-08
1854,7.949366676029967e-08
1855,1.209981661531856e-07
1856,9.629572161884425e-08
1857,9.079607110606958e-08
1858,1.1500138441533636e-07
1859,1.4869145559259778e-07
1860,1.199222197101335e-07
1861,1.1978548286606383e-07
1862,1.0120289317683273e-07
1863,1.1837251179258601e-07
1864,9.493561492490699e-08
1865,9.931441269372954e-08
1866,1.1190909532388105e-07
1867,9.7056229719783e-08
1868,1.0324336585654237e-07
1869,1.1622775275554886e-07
1870,8.543732832322348e-08
1871,1.370131883504655e-07
1872,1.977479939796467e-07
1873,8.919146665675726e-08
1874,8.96191352239839e-08
1875,1.0470394329331612e-07
1876,7.315677663655151e-08
1877,7.112538469300489e-08
1878,8.213160640480055e-08
1879,8.003215867802282e-08
1880,5.776061584583658e-08
1881,6.972507549107831e-08
1882,9.517200538766701e-08
1883,9.542201695467156e-08
1884,6.931782081665006e-08
1885,8.637152149049143e-08
1886,9.099384357114104e-08
1887,6.790081386043312e-08
1888,7.672143453874014e-08
1889,8.771191772893872e-08
1890,6.357755211183758e-08
1891,7.394095291601843e-08
1892,7.083419006903569e-08
1893,7.513268229786263e-08
1894,7.561847326087445e-08
1895,7.643640742571733e-08
1896,8.432751741338507e-08
1897,8.681803365107044e-08
1898,8.204614942997068e-08
1899,6.30143972557562e-08
1900,8.253774552713367e-08
1901,5.979950401524547e-08
1902,6.481574388317313e-08
1903,8.586350475070503e-08
1904,5.213386344848914e-08
1905,4.7478984299687e-08
1906,5.0927425832014706e-08
1907,8.279977947722728e-08
1908,4.4202501214840595e-08
1909,8.196465728360636e-08
1910,5.9320072409718705e-08
1911,6.012022879531287e-08
1912,1.0418842322224009e-07
1913,6.363587345958877e-08
1914,8.571831955350717e-08
1915,7.186265094105693e-08
1916,7.801097723358907e-08
1917,9.102132025873289e-08
1918,7.236417332023848e-08
1919,6.537572261322566e-08
1920,5.6034515694136644e-08
1921,4.240738604721628e-08
1922,6.49258353746518e-08
1923,6.157249998750558e-08
1924,5.801231139912488e-08
1925,6.268961527666761e-08
1926,4.904300965336006e-08
1927,5.686104742608222e-08
1928,3.999114284169991e-08
1929,9.469345485513259e-08
1930,6.932378227020308e-08
1931,4.44808918587114e-08
1932,4.164623845781534e-08
1933,4.473558234963093e-08
1934,6.11060571031885e-08
1935,3.351119559624749e-08
1936,5.577368611398015e-08
1937,4.406891207509034e-08
1938,6.612259539906518e-08
1939,5.352917753498332e-08
1940,4.057252667166722e-08
1941,6.493305448884712e-08
1942,8.192371581117186e-08
1943,5.8064703267746154e-08
1944,7.390327994016843e-08
1945,7.406913482554955e-08
1946,8.213451252458981e-08
1947,5.1259746669529704e-08
1948,4.022598432129598e-08
1949,5.988375306742455e-08
1950,7.12569203642488e-08
1951,6.290227361205325e-08
1952,4.323369751091377e-08
1953,5.0636987936059086e-08
1954,5.863521579385633e-08
1955,5.349796339260138e-08
1956,4.7094165012140365e-08
1957,4.50586910005768e-08
1958,6.369627669755573e-08
1959,4.80546376024904e-08
1960,5.3982500247684584e-08
1961,6.878677538679767e-08
1962,6.84931293903901e-08
1963,6.336732383260824e-08
1964,4.623815996751546e-08
1965,5.964527360902139e-08
1966,7.090015685662365e-08
1967,5.8177960227112635e-08
1968,7.680321090219877e-08
1969,7.448483074767864e-08
1970,6.392227902551895e-08
1971,5.7550053611521435e-08
1972,5.489257048907348e-08
1973,7.608220897736828e-08
1974,5.344293185771676e-08
1975,5.254561585843476e-08
1976,5.942067815567498e-08
1977,5.465406971438824e-08
1978,7.722768913254185e-08
1979,6.261611673608058e-08
1980,3.865902442612423e-08
1981,6.388805218193738e-08
1982,7.076552321905183e-08
1983,5.683784465304598e-08
1984,6.378909489512807e-08
1985,4.4515129360434e-08
1986,6.354154891141661e-08
1987,5.6830597117141224e-08
1988,4.677312048784188e-08
1989,6.036934507847036e-08
1990,6.538380858955861e-08
1991,6.037308963868782e-08
1992,6.336436086940012e-08
1993,6.81322518403249e-08
1994,6.69915678486177e-08
1995,6.778063266210665e-08
1996,6.672615171510188e-08
1997,5.897720356529135e-08
1998,7.390600131884639e-08
1999,5.7127515162846976e-08
2000,6.803768570762259e-08
2001,7.053751005514641e-08
2002,6.265146623718465e-08
