year,faudrait_VERB assurer_VERB,faudrait_VERB rassurer_VERB
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,1.9928686256776018e-08
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,0.0
1819,6.210630232317271e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,0.0,0.0
1822,0.0,3.0076847679083585e-09
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,7.373818444733615e-09,0.0
1828,0.0,0.0
1829,1.714635211591542e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,0.0,3.1182412207897414e-09
1832,2.705993873419743e-09,2.705993873419743e-09
1833,4.6334514003376626e-09,0.0
1834,5.600718555598405e-09,0.0
1835,6.806779140333674e-09,0.0
1836,9.409050427677812e-09,0.0
1837,1.8090515752078318e-08,0.0
1838,6.943378316748294e-09,5.049729523420865e-09
1839,1.11863602825224e-08,0.0
1840,7.0066574764382494e-09,0.0
1841,1.0272877659645019e-08,0.0
1842,8.049918065466954e-09,6.708265054555795e-10
1843,5.906910960362666e-09,0.0
1844,6.586273748609983e-09,0.0
1845,2.2320911785556063e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,0.0,0.0
1849,1.6758829879393033e-09,0.0
1850,4.752297222410107e-09,1.3577992064028876e-09
1851,2.579775504329973e-09,0.0
1852,1.3021090872200602e-09,0.0
1853,5.971931837933653e-10,0.0
1854,5.195664454227256e-10,0.0
1855,6.8990182455763716e-09,3.714855978387277e-09
1856,5.177189232874468e-10,0.0
1857,2.4407544874094356e-09,0.0
1858,1.9574704079872163e-09,4.893676019968041e-10
1859,5.092173349652285e-10,1.5276520048956854e-09
1860,9.154367819341758e-10,0.0
1861,2.357981809808507e-09,0.0
