year,faudrait_VERB appliquer_VERB
1800,3.144164395507687e-08
1801,2.8574191901498125e-08
1802,1.5664880947952042e-08
1803,2.3404069793286908e-08
1804,6.921182915675672e-08
1805,8.528632911009026e-09
1806,6.339671898558663e-08
1807,5.4092147649953404e-08
1808,8.837688625362716e-08
1809,7.00299480627109e-08
1810,8.89248141788812e-08
1811,4.262030373070047e-08
1812,3.467370746079723e-08
1813,4.026038169513413e-08
1814,5.034683425719777e-08
1815,3.236668177919455e-08
1816,8.343373991692715e-08
1817,4.670620157298799e-08
1818,6.556647491606782e-08
1819,2.2772310259711048e-08
1820,2.966620371580575e-08
1821,6.607196922914227e-08
1822,4.0102463572111446e-08
1823,5.138997138942614e-08
1824,8.757957203897604e-08
1825,7.660735690251386e-08
1826,4.051672775062798e-08
1827,1.2719836206542823e-07
1828,8.438517085096464e-08
1829,6.172686539684946e-08
1830,4.5922078584226256e-08
1831,9.666548095310645e-08
1832,1.1094574858816486e-07
1833,1.01935931695607e-07
1834,9.147840529522e-08
1835,9.378229037793062e-08
1836,1.1290860157942006e-07
1837,8.001574514082677e-08
1838,1.1993107307262107e-07
1839,9.997809513606626e-08
1840,7.325142092895476e-08
1841,1.046549442662581e-07
1842,1.3886108263250208e-07
1843,1.2522652070856566e-07
1844,1.5203315228973224e-07
1845,1.132786238144945e-07
1846,8.137757134818457e-08
1847,1.310553301436812e-07
1848,9.654266364123032e-08
1849,9.301150782903278e-08
1850,1.0522943938440221e-07
1851,1.0577079478935048e-07
1852,1.1718982051434068e-07
1853,1.176470547648023e-07
1854,1.1274591571464043e-07
1855,9.764764286046557e-08
1856,6.109083017236117e-08
1857,9.616572782533694e-08
1858,9.444794812907276e-08
1859,1.1151859524716201e-07
1860,7.643897248499343e-08
1861,1.3440497070860147e-07
1862,5.69266269678792e-08
1863,9.240048370884324e-08
1864,8.630509995555258e-08
1865,8.001635620757952e-08
1866,8.952727625910484e-08
1867,1.164674756637396e-07
1868,1.1905096641839918e-07
1869,9.718203131114933e-08
1870,8.486392033546508e-08
1871,6.054071377548098e-08
1872,6.53112621762375e-08
1873,9.637467002221456e-08
1874,7.34876905994497e-08
1875,8.010137975134057e-08
1876,9.915464005416652e-08
1877,6.926993734168718e-08
1878,8.394333406158694e-08
1879,5.376206146934237e-08
1880,6.417846520889725e-08
1881,7.39085805889772e-08
1882,4.9249848643739824e-08
1883,1.1438003610919623e-07
1884,8.846274113238906e-08
1885,1.308464021576583e-07
1886,1.064821546492567e-07
1887,1.3057849912456732e-07
1888,8.87686084638517e-08
1889,7.956723635516028e-08
1890,6.94764992204e-08
1891,8.159001652074949e-08
1892,8.462491507543746e-08
1893,1.0284555429507236e-07
1894,6.049477718761409e-08
1895,5.717683748684976e-08
1896,7.902018950289857e-08
1897,8.623536018603772e-08
1898,5.771521927044887e-08
1899,6.190887802404177e-08
1900,6.69645885409409e-08
1901,8.550770758120052e-08
1902,6.334266089425e-08
1903,6.048246348200337e-08
1904,5.697102523072317e-08
1905,6.502556715304308e-08
1906,6.996091173050445e-08
1907,1.1519968978745965e-07
1908,8.251133465364546e-08
1909,7.041258953677243e-08
1910,5.50447509795049e-08
1911,6.70367157340479e-08
1912,6.251305251225858e-08
1913,5.674198888527826e-08
1914,8.504864723590799e-08
1915,7.186265094105693e-08
1916,4.8344833913915863e-08
1917,6.470190072604964e-08
1918,5.6283244731503146e-08
1919,6.169258170984904e-08
1920,6.13350792377787e-08
1921,6.436835064960178e-08
1922,6.71392115236813e-08
1923,6.263409346729532e-08
1924,5.0277336072213075e-08
1925,5.0591619782380803e-08
1926,6.35329868714507e-08
1927,6.13207333799437e-08
1928,6.055801549109674e-08
1929,9.580749349424877e-08
1930,9.453243166035463e-08
1931,5.47457119637329e-08
1932,4.274219378430644e-08
1933,4.3588517684156614e-08
1934,4.912448048344231e-08
1935,5.505410882733486e-08
1936,5.698615979099486e-08
1937,5.9178255185088346e-08
1938,6.093650739558143e-08
1939,3.211750509990452e-08
1940,3.803674530900025e-08
1941,4.427253941230447e-08
1942,3.3376331032286544e-08
1943,6.096794180621146e-08
1944,1.927911696952833e-08
1945,4.357008265287732e-08
1946,3.7586982415405146e-08
1947,4.649139739854036e-08
1948,4.67491183542279e-08
1949,4.613993809243766e-08
1950,5.211327192000681e-08
1951,4.371174711081949e-08
1952,4.428817490520487e-08
1953,6.24881977273617e-08
1954,4.29991580119804e-08
1955,5.349796339260138e-08
1956,5.05826207586324e-08
1957,4.4175187952077977e-08
1958,4.549733745307094e-08
1959,5.115493451057773e-08
1960,5.536666591865469e-08
1961,4.377340445671507e-08
1962,3.4880759613997725e-08
1963,5.237503231114715e-08
1964,5.7189303959148674e-08
1965,4.049311996823235e-08
1966,4.542041409649755e-08
1967,3.747054933000982e-08
1968,3.907531720415136e-08
1969,4.269252329436313e-08
1970,6.668151542044143e-08
1971,4.521789875866489e-08
1972,3.1293897251316594e-08
1973,5.402939606824475e-08
1974,3.1503201824989446e-08
1975,3.7695770060963696e-08
1976,4.513686135965145e-08
1977,3.2322301279918975e-08
1978,3.861384456627093e-08
1979,3.979342011461995e-08
1980,3.411090432337005e-08
1981,3.479052068655619e-08
1982,4.0969514003563745e-08
1983,4.16810870262907e-08
1984,3.3054348591576854e-08
1985,2.8874678648094232e-08
1986,2.577628777089558e-08
1987,3.666490044906823e-08
1988,3.058242370457265e-08
1989,4.50026007570159e-08
1990,3.3236769780842224e-08
1991,3.634108480810028e-08
1992,3.03046938654461e-08
1993,3.711268803385792e-08
1994,4.958431176760314e-08
1995,3.199246023655178e-08
1996,2.882569738460461e-08
1997,2.8289877107567918e-08
1998,3.5284156041370807e-08
1999,3.519054914136177e-08
2000,1.8113929911578452e-08
2001,4.030714961800186e-08
2002,3.680225901803169e-08
2003,3.500215228768866e-08
2004,2.99525808600265e-08
2005,2.34194974524371e-08
2006,3.3766696105885785e-08
2007,2.836080348345149e-08
2008,3.2356542334355254e-08
2009,3.4807804638603557e-08
2010,3.023227534981743e-08
2011,3.47981448101109e-08
2012,2.2808492872172792e-08
2013,2.2034088331679413e-08
2014,1.3858849179371191e-08
2015,2.0392493027543424e-08
2016,2.0299133041135065e-08
2017,2.7671724467381864e-08
2018,1.7037679711506826e-08
2019,2.1683396411731337e-08
