year,voulait_VERB apporter_VERB,voulait_VERB rapporter_VERB
1800,0.0,2.2009151834367913e-08
1801,0.0,4.7623651688866175e-09
1802,0.0,6.713520406265161e-09
1803,2.7304748684287006e-08,1.1702034896643454e-08
1804,7.4155526164076946e-09,2.2246657849223084e-08
1805,5.685755422035754e-09,3.4114531644036106e-08
1806,0.0,6.339671898558663e-08
1807,2.2775640928784924e-08,1.9928686256776018e-08
1808,0.0,2.7192887941396293e-08
1809,0.0,1.581321384946932e-08
1810,2.3401267590372754e-09,1.8721014072298203e-08
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,2.6672082320544632e-09,2.6672083208723052e-08
1813,1.1502966579257645e-08,1.4378708002027452e-08
1814,1.8880061958270744e-08,2.8320094713762956e-08
1815,8.091670444798638e-09,6.74305908887618e-08
1816,3.244645441213834e-08,1.0429217667251578e-07
1817,6.227493631882908e-09,3.113746771532533e-08
1818,3.099506074022429e-08,3.5763530803478716e-08
1819,1.3456364911235141e-08,3.9333990287104825e-08
1820,4.746592452420373e-09,5.814575843032799e-08
1821,3.35290586406245e-08,1.7750679148775816e-08
1822,7.017931125119503e-08,3.5089655625597516e-08
1823,3.9530747564242574e-09,4.0519015698237126e-08
1824,4.5474010335055937e-08,2.5263338088166165e-08
1825,1.6730341556581152e-08,3.9624492131906663e-08
1826,2.642395191543301e-09,3.170874407487645e-08
1827,3.502563927781921e-08,3.96342727526644e-08
1828,7.337841001486822e-09,2.8434133270138773e-08
1829,4.029392641768936e-08,3.772197487705853e-08
1830,3.1310506187764986e-08,3.1310506187764986e-08
1831,3.274153215215847e-08,2.494592976631793e-08
1832,6.494385473843067e-08,6.900284432731496e-08
1833,1.1583628278799551e-08,3.70676112027013e-08
1834,5.1339920759119195e-08,4.29388435918554e-08
1835,4.0084366048631637e-08,1.8907719834260206e-08
1836,2.9571300075303952e-08,3.763620171071125e-08
1837,2.7831564608504777e-08,2.99189295560609e-08
1838,1.9567702125300457e-08,2.5879863585487328e-08
1839,5.3135210009713774e-08,1.957613093850341e-08
1840,3.4396318682183846e-08,3.694419348221345e-08
1841,2.953452238330101e-08,7.76886395215115e-08
1842,6.439934452373564e-08,3.085801836277824e-08
1843,4.961805188941071e-08,5.729703644874462e-08
1844,3.896878553177885e-08,3.4577936958157807e-08
1845,4.3525776760589e-08,4.3525776760589e-08
1846,3.922516000898213e-08,3.805426018743674e-08
1847,3.289866512545814e-08,2.8584086209093584e-08
1848,2.494018680465615e-08,4.505324113779352e-08
1849,6.703531596485846e-08,5.027649052635752e-08
1850,3.733947906425783e-08,2.0366988096043315e-08
1851,1.805842941848823e-08,1.7413483988093503e-08
1852,1.4323200403509873e-08,2.799534470909748e-08
1853,2.329053394589664e-08,4.001194398028929e-08
1854,4.052618152172727e-08,2.5978321716024766e-08
1855,4.7231740296638236e-08,3.874064091746732e-08
1856,5.487820686767009e-08,5.1254172461767666e-08
1857,3.9540225316159194e-08,2.880090299584026e-08
1858,5.9213480341213653e-08,5.725600971118183e-08
1859,3.258990943777462e-08,2.6988518087023294e-08
1860,2.5174511364411956e-08,4.2567808833382514e-08
1861,3.395494019287071e-08,2.5466203368296192e-08
1862,4.246907181482129e-08,2.755971628687348e-08
1863,1.897955925755923e-08,4.2454278315062766e-08
1864,3.1165733105353866e-08,3.452204211384924e-08
1865,3.4830648587558244e-08,3.671338433264282e-08
1866,3.308616669528419e-08,3.2113046444237625e-08
1867,2.91168689159349e-08,1.649955905236311e-08
1868,1.3831646938911035e-08,1.6301584082611953e-08
1869,3.809144999422642e-08,2.3440891894210836e-08
1870,2.9243649279919737e-08,1.6628741050794815e-08
1871,4.460894587055009e-08,1.5931766128574054e-08
1872,3.688877114882416e-08,3.688877114882416e-08
1873,3.412022664406322e-08,1.496501056408306e-08
1874,1.3741600746186577e-08,2.2106053876314036e-08
1875,1.830888685105947e-08,2.9179789251543298e-08
1876,1.6928840551599933e-08,1.9951848173604958e-08
1877,3.0924081073635534e-08,1.36065949618569e-08
1878,3.744235144154118e-08,3.5026715750063886e-08
1879,3.848874996492668e-08,1.8327975581655664e-08
1880,3.401458670282409e-08,2.759673911612026e-08
1881,3.416528571165145e-08,2.2312024228199334e-08
1882,3.7270154962243396e-08,2.994923420374107e-08
1883,2.464542170343975e-08,1.9589950994713945e-08
1884,2.2445769687351458e-08,1.4523733327109767e-08
1885,2.900535989169839e-08,2.513797880965285e-08
1886,3.549405036551434e-08,1.2906927970846027e-08
1887,2.3504128421336645e-08,1.9586773092328258e-08
1888,1.775372027168487e-08,2.53624587998047e-08
1889,1.1903759755682586e-08,1.3783300722991498e-08
1890,3.604912635069013e-08,9.176140736144589e-09
1891,2.2309770031370135e-08,1.1473596295275001e-08
1892,2.005923960268774e-08,8.775916882086676e-09
1893,3.695049954899332e-08,1.1700991287000306e-08
1894,2.079507943619774e-08,1.2603078580752936e-08
1895,2.8287487907618925e-08,2.046328972937772e-08
1896,2.4177818858106548e-08,1.4152869098893461e-08
1897,2.330685333618021e-08,2.7385553380554484e-08
1898,2.2633418694795182e-08,1.1316709347397591e-08
1899,2.9296165493519766e-08,1.326618814800895e-08
1900,3.0627212765921286e-08,1.038210584169974e-08
1901,2.738482152153665e-08,2.0119459875900247e-08
1902,2.4060391012881155e-08,7.365425602756659e-09
1903,2.970121215639665e-08,1.7280704867062013e-08
1904,1.9348650681649815e-08,1.3436562973367927e-08
1905,2.0643035725242953e-08,1.4966200723165457e-08
1906,2.1091157265118454e-08,2.6749759740596346e-08
1907,2.6228502036929058e-08,8.742834012309686e-09
1908,2.1118973236866623e-08,1.0313916831705683e-08
1909,2.7504917454734823e-08,2.7504918342913243e-09
1910,2.51175080734356e-08,7.481810726517324e-09
1911,1.8089272302290738e-08,1.1172785363555704e-08
1912,2.2921453179947093e-08,1.3023552902780011e-08
1913,2.333315407554437e-08,1.590896836489719e-08
1914,2.6117300322425763e-08,1.6072185360371805e-08
1915,2.3561524287174507e-08,1.5314990164938536e-08
1916,3.076489463182952e-08,5.493730803607377e-09
1917,3.838248474608008e-08,7.676496771580332e-09
1918,2.412139110674616e-08,1.4932290071101306e-08
1919,2.3940405213807026e-08,8.287063479883727e-09
1920,4.164727585020955e-08,1.4387239843927091e-08
1921,3.483463828501954e-08,1.3630945261411398e-08
1922,2.7298360905092522e-08,1.623145884366295e-08
1923,2.7601466001669905e-08,8.492758496458919e-09
1924,3.609654797287476e-08,3.867487219366694e-09
1925,1.4297631523163545e-08,8.798542339150117e-09
1926,2.229227646921572e-08,1.0031524944054127e-08
1927,2.2298449309232637e-08,2.2298449753321847e-09
1928,1.2568645679778001e-08,4.570416489713125e-09
1929,1.4482528065684619e-08,1.0026365515614089e-08
1930,2.10072066408884e-08,5.2518016602221e-09
1931,2.5091784650044247e-08,1.710803587684495e-08
1932,2.4110979879310435e-08,1.6439305028370654e-08
1933,4.01473165823063e-08,4.588264879146209e-09
1934,1.7972370258689807e-08,9.585264137967897e-09
1935,3.111753699158726e-08,8.377798899061872e-09
1936,1.576212937948185e-08,6.0623572828433225e-09
1937,1.7627565185307503e-08,6.295559185076627e-09
1938,1.9447821131279852e-08,3.8895642262559704e-09
1939,1.6823456405745674e-08,7.647025235257843e-09
1940,1.7750480196809804e-08,1.5214697057785997e-08
