year,voudraient_VERB entrer_VERB,voudraient_VERB rentrer_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,4.7623650800687756e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,2.0140561218795483e-08
1803,3.900678446910888e-09,0.0
1804,3.460591457837836e-08,1.730295728918918e-08
1805,5.401467717547348e-08,0.0
1806,2.0171682990621775e-08,2.5935023018064385e-08
1807,6.832692633906845e-08,2.562259560079383e-08
1808,6.798221985349073e-09,2.2660739951163578e-09
1809,4.969867006821005e-08,1.8072244145628247e-08
1810,2.574139479349924e-08,0.0
1811,8.273353557797236e-08,2.5070767684098882e-09
1812,8.801787032552966e-08,0.0
1813,4.888760685162197e-08,0.0
1814,2.5173417128598885e-08,1.8880061958270744e-08
1815,4.045835311217161e-08,2.6972236000233352e-08
1816,4.6352077731626196e-08,1.8540831092650478e-08
1817,6.538868291272593e-08,2.1796227045456362e-08
1818,2.026600220972341e-08,1.4305412854298538e-08
1819,3.519356894798875e-08,7.24573512300708e-09
1820,6.170570543417853e-08,3.9159388620646496e-08
1821,1.676452932031225e-08,1.1833785507064931e-08
1822,2.0051231786055723e-09,1.5038423839541792e-08
1823,1.9765373338032077e-08,2.3718449426723964e-08
1824,2.6947560627377243e-08,2.947389532437228e-08
1825,2.905796137042671e-08,3.522177216552791e-09
1826,3.3470339388941284e-08,1.9377566218281572e-08
1827,4.516463647519231e-08,4.608636583469661e-09
1828,4.035812395386529e-08,2.2930752408001354e-08
1829,2.5719527840806222e-08,2.0575622983187714e-08
1830,2.0873670791843324e-08,4.174734336004349e-09
1831,1.4032085715598441e-08,4.677361609140007e-09
1832,4.058990654698391e-08,6.764984572527055e-09
1833,6.370995464521911e-08,2.3167257001688313e-09
1834,3.360431222176885e-08,7.467624740797874e-09
1835,7.638718813041123e-08,1.8151411040889798e-08
1836,5.511014933290426e-08,2.2850549896702432e-08
1837,7.305785487687899e-08,2.2265250976261086e-08
1838,4.986607748946881e-08,1.7674054220151447e-08
1839,6.222413162504381e-08,1.11863602825224e-08
1840,4.522479102320176e-08,2.356784811752277e-08
1841,5.072233477676491e-08,1.6693427085101575e-08
1842,4.561620414733625e-08,2.683306021822318e-08
1843,4.430183153658618e-08,2.2446261738195972e-08
1844,2.4698525891153622e-08,3.1833653935109396e-08
1845,4.575786860527842e-08,1.674068350610014e-08
1846,4.27378594736183e-08,1.1709002656346001e-08
1847,5.123562374365065e-08,3.613459753637471e-08
1848,3.700802153616678e-08,2.091757700384278e-08
1849,2.8490010350878947e-08,5.53041381579078e-08
1850,9.504594800091581e-08,1.425689166723032e-08
1851,6.707416133622246e-08,1.4188765717904062e-08
1852,3.580800012059626e-08,8.463708844885787e-09
1853,2.6873692604567623e-08,8.957897534855874e-09
1854,6.390667550704165e-08,1.8184826089395756e-08
1855,3.555647865027822e-08,2.2819829581521844e-08
1856,6.005539177067476e-08,1.8120163147727908e-08
1857,3.417056504417815e-08,2.0502337605421417e-08
1858,3.670256987220455e-08,1.5170396494568195e-08
1859,1.9859475841599306e-08,1.5276519604867644e-08
1860,3.249800428761773e-08,9.612086238064421e-09
1861,4.5744847909645614e-08,1.3204698667834691e-08
1862,3.7951085829490694e-08,8.132375661773494e-09
1863,4.545104914654985e-08,7.991393324857654e-09
1864,2.5412058235474433e-08,7.1920918109924514e-09
1865,2.729969672543575e-08,1.0355057256106193e-08
1866,1.3137154475373336e-08,2.238181906477621e-08
1867,3.688136729351754e-08,1.1161466417775046e-08
1868,3.1615194018286275e-08,2.3711395513714706e-08
1869,4.102156125895817e-08,2.539429999615095e-08
1870,3.55511033944822e-08,8.027668307875047e-09
1871,5.735435593123839e-08,1.5931766128574054e-08
1872,4.7169248063028135e-08,1.9956219787786722e-08
1873,4.8486636927691507e-08,3.052862140862089e-08
1874,1.9118749250424116e-08,1.3144139998644278e-08
1875,4.806082642971887e-08,8.010138330405425e-09
1876,5.562333527109331e-08,8.464420275799966e-09
1877,3.0924081073635534e-08,1.1751150275074451e-08
1878,2.8383716710322915e-08,6.6429977074733415e-09
1879,4.459807456669296e-08,4.27652757650776e-09
1880,2.888030792291829e-08,1.7328185109022343e-08
1881,5.717456375009533e-08,1.324776466304911e-08
1882,3.660461800336634e-08,1.2645231528551903e-08
1883,4.044376922252013e-08,1.4534479397809719e-08
1884,1.5183903911974994e-08,1.4523733327109767e-08
1885,2.7716232864349877e-08,9.023890079618013e-09
1886,3.613939725255477e-08,1.613365974151293e-08
1887,2.0892558794116667e-08,5.223139698529167e-09
1888,2.53624587998047e-08,3.1703073499755874e-09
1889,4.2602930960811136e-08,3.132568426877924e-09
1890,2.8839300725280737e-08,8.520702365899524e-09
1891,2.677172439291553e-08,5.099376032546843e-09
1892,2.7581453565517222e-08,6.8953633913793055e-09
1893,3.7566341148931315e-08,6.158416554491453e-10
1894,1.6384001710889606e-08,1.0082462864602348e-08
1895,2.9491211250842753e-08,4.814891596538473e-09
1896,3.125425251937486e-08,2.181900704556483e-08
1897,3.4960280004270317e-08,1.6897470089816125e-08
1898,4.0174320758978865e-08,1.1316709347397591e-08
1899,3.4823742112166656e-08,2.04520400615138e-08
1900,3.4780054392058446e-08,1.86877908703309e-08
1901,2.5708198236884527e-08,1.0059729937950124e-08
1902,1.5221880644844532e-08,7.365425602756659e-09
1903,3.2401320737562855e-08,1.5120615870500842e-08
1904,1.3436562973367927e-08,5.374625189347171e-10
1905,1.909480928929952e-08,4.1286072338664326e-09
1906,2.211999294843281e-08,3.600929110447737e-09
1907,2.0571373937627868e-08,1.337139288182243e-08
1908,1.6698722404839828e-08,2.6521501439447093e-08
1909,2.53045246978445e-08,8.251475058784763e-09
1910,8.550641084070776e-09,2.67207544979442e-09
1911,1.9153347352585115e-08,4.25629931299909e-09
1912,2.031674206648404e-08,9.376957876838787e-09
1913,3.0227042202568555e-08,2.6514948014977335e-09
1914,2.0759905794420774e-08,9.37544086809794e-09
1915,1.4136913861761968e-08,4.712304768617059e-09
1916,1.8678685265172135e-08,2.0876177231343718e-08
1917,8.773139548168274e-09,9.869782324756216e-09
1918,2.756730310693456e-08,1.6080926812378493e-08
1919,2.025726608678724e-08,1.012863304339362e-08
1920,2.1959472462640406e-08,1.0601124422748853e-08
1921,2.2718241510233383e-08,2.2718242842501013e-09
1922,1.3280283539529592e-08,1.4018077365562931e-08
1923,1.8047112249064412e-08,5.307974060286824e-09
1924,2.836157442231979e-08,6.445812328337297e-09
1925,1.4297631523163545e-08,4.399271169575059e-09
1926,1.671920735191179e-08,1.1146138456652466e-09
1927,1.0034302277972529e-08,1.1149224876660924e-09
1928,1.2568645679778001e-08,0.0
