year,devant_VERB amener_VERB,devant_VERB ramener_VERB
1800,1.8864987794131594e-08,0.0
1801,4.0480102825313224e-08,2.3811825844433088e-09
1802,2.4616241489638924e-08,0.0
1803,7.801356893821776e-09,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,2.8469550272802735e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,7.020380277111826e-09,0.0
1811,1.504245972228091e-08,0.0
1812,1.600324850414836e-08,0.0
1813,5.751483289628823e-09,0.0
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,1.8880564667256294e-08,0.0
1816,2.7811246638975717e-08,0.0
1817,1.2454987263765815e-08,6.227493631882908e-09
1818,8.344824387052086e-09,1.1921177378582115e-09
1819,1.0351049795076506e-08,1.035105001712111e-09
1820,3.559944161679596e-08,3.5599443393152796e-09
1821,2.9584464655840748e-08,0.0
1822,3.0076847679083585e-09,1.0025615893027862e-09
1823,3.261286707356703e-08,9.882686669016039e-09
1824,3.705289586264371e-08,4.210556348027694e-09
1825,1.0566531649658373e-08,2.553578504205234e-08
1826,3.787433300317389e-08,0.0
1827,4.2399456390285195e-08,0.0
1828,5.595103758082587e-08,2.7516904310687096e-09
1829,3.257806824308318e-08,8.57317605795771e-10
1830,5.322786122974321e-08,0.0
1831,2.8064171431196883e-08,1.5591206103948707e-09
1832,5.682587200794842e-08,9.470978667991403e-09
1833,4.2859426230279496e-08,2.3167257001688313e-09
1834,3.733812548034621e-08,0.0
1835,5.899208588289184e-08,0.0
1836,2.016225053580456e-08,1.344150035720304e-08
1837,4.313892532081809e-08,2.7831563720326358e-09
1838,2.9035945203759184e-08,6.312161904276081e-10
1839,4.9639474752893875e-08,6.9914751765765e-10
1840,3.630722389402763e-08,3.1848443882154243e-09
1841,4.494383887276854e-08,1.2841097074556274e-09
1842,5.2995293486901573e-08,4.024959032733477e-09
1843,5.729703644874462e-08,1.1813822142769936e-09
1844,3.677336124496833e-08,4.390849017710252e-09
1845,4.1293688468613254e-08,1.1718478631905782e-08
1846,2.2247105491146613e-08,6.439951683034906e-09
1847,5.770749211819748e-08,1.6179670936367074e-09
1848,5.63165514222419e-08,1.6090443422100975e-09
1849,4.524883934209356e-08,0.0
1850,7.467895812851566e-08,2.7155984128057753e-09
1851,4.901573547044791e-08,1.7413483988093503e-08
1852,4.036538214791108e-08,0.0
1853,4.18035241978032e-08,2.388772735173461e-09
1854,7.273930435758302e-08,4.1565315633818045e-09
1855,8.17268315245201e-08,3.714855978387277e-09
1856,4.504154560436291e-08,6.212626857404757e-09
1857,4.1980978693345605e-08,1.3668225662399891e-08
1858,6.068158597827278e-08,4.404308473482388e-09
1859,5.4995471288066256e-08,1.018434669930457e-09
1860,5.53839250017063e-08,1.6935580049448618e-08
1861,4.5744847909645614e-08,1.8863854922557266e-09
1862,6.505900529418795e-08,2.2589932147099034e-09
1863,6.293222298836554e-08,4.994620828036034e-10
1864,6.472883029573495e-08,3.3563094525845827e-09
1865,5.7894187222018445e-08,1.0355057256106193e-08
1866,8.90407179099384e-08,3.4059290943133647e-09
1867,5.677789260971622e-08,7.76449837758264e-09
1868,4.6928803953960596e-08,9.385760613156435e-09
1869,6.788091866383184e-08,1.2208797528501236e-08
1870,7.396923251690168e-08,1.0894693147633916e-08
