year,auraient_VERB empli_VERB,auraient_VERB rempli_VERB
1800,0.0,3.144164395507687e-08
1801,0.0,2.6193008650921e-08
1802,0.0,2.0140561218795483e-08
1803,0.0,2.7304748684287006e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,3.1271653710973624e-08
1806,0.0,3.458002950651462e-08
1807,0.0,4.839823830593559e-08
1808,0.0,2.7192887941396293e-08
1809,0.0,6.7770917766551975e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,2.757784400841956e-08
1812,0.0,4.267533171287141e-08
1813,0.0,3.4508900625951355e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,7.552225866902518e-08
1816,0.0,3.7081662185300956e-08
1817,0.0,5.4490570278176165e-08
1818,0.0,5.126106117359086e-08
1819,0.0,7.763287612760905e-08
1820,0.0,4.2719332071783356e-08
1821,0.0,5.621048160264763e-08
1822,0.0,1.2030739071633434e-08
1823,0.0,3.755420863171821e-08
1824,0.0,6.989523626543814e-08
1825,0.0,5.723537910284904e-08
1826,0.0,5.549030035467695e-08
1827,0.0,7.92685455053288e-08
1828,0.0,6.237164740241496e-08
1829,0.0,8.573176302206775e-08
1830,0.0,9.497520636614354e-08
1831,0.0,7.639690835503643e-08
1832,0.0,4.6001897402447867e-08
1833,0.0,1.6680425574122637e-07
1834,0.0,5.1339920759119195e-08
1835,0.0,7.563087933704082e-08
1836,0.0,5.107770206791429e-08
1837,0.0,4.731365876864402e-08
1838,0.0,4.1660268124132926e-08
1839,0.0,4.754203075663099e-08
1840,0.0,5.6690229399691816e-08
1841,0.0,5.906904476660202e-08
1842,0.0,4.9641162291891305e-08
1843,0.0,5.434358030242947e-08
1844,0.0,5.1592476069117765e-08
1845,0.0,6.975285060661918e-08
1846,0.0,4.039605983052752e-08
1847,0.0,7.604445073638999e-08
1848,0.0,3.298540818263973e-08
1849,0.0,6.535943697372204e-08
1850,0.0,3.190828223864628e-08
1851,0.0,5.4175284702751014e-08
1852,0.0,3.2552726736412296e-08
1853,0.0,3.4637203327747557e-08
1854,0.0,4.052618152172727e-08
1855,0.0,8.597238121410555e-08
1856,0.0,5.332504926514048e-08
1857,0.0,4.881509241272397e-08
1858,0.0,4.404308384664546e-08
1859,0.0,3.0043821652725455e-08
1860,0.0,4.7144993686742964e-08
1861,0.0,5.14040046084574e-08
1862,0.0,8.087195624284504e-08
1863,5.9935452156878455e-09,5.5939754162182e-08
1864,0.0,2.9247839705703882e-08
1865,4.706844358715045e-10,4.706844336510585e-08
1866,0.0,3.405929049904444e-08
1867,4.85281148598915e-10,3.494024269912188e-08
1868,1.4819622196071691e-09,4.643481688049178e-08
1869,2.441759683335931e-09,4.199826619810665e-08
1870,0.0,4.759260363584872e-08
1871,0.0,7.328612383616928e-08
1872,6.047339295989218e-10,4.4145576083565174e-08
1873,2.3944017879529156e-09,7.003625057677709e-08
1874,0.0,5.795370938699307e-08
1875,0.0,4.3483606049221635e-08
1876,6.04601479992084e-10,4.5949711591219966e-08
1877,0.0,2.1028373708986692e-08
1878,1.8117265465633636e-09,3.804625947623208e-08
1879,0.0,3.176849006081284e-08
1880,0.0,3.2089232604448625e-08
1881,0.0,3.5559789779426865e-08
1882,1.9966155395678697e-09,2.3293848627758962e-08
1883,0.0,3.917990198942789e-08
1884,0.0,3.762967182296961e-08
1885,0.0,3.674012205578947e-08
1886,2.5813855497602844e-09,3.743009102663564e-08
1887,1.3057849246322917e-09,4.374379614091595e-08
1888,0.0,4.057993407968752e-08
1889,0.0,2.8819629349641218e-08
1890,0.0,3.867087983167039e-08
1891,0.0,3.378336543846672e-08
1892,0.0,3.57305189879753e-08
1893,0.0,3.0176241949675386e-08
1894,0.0,4.915200690902566e-08
1895,0.0,3.069493459406658e-08
1896,0.0,5.484237064479203e-08
1897,0.0,4.428302347037061e-08
1898,0.0,1.9804241802034994e-08
1899,0.0,2.5426860617017155e-08
1900,1.038210628578895e-09,2.906989848838748e-08
1901,5.588738916095792e-10,4.918090112937534e-08
1902,0.0,5.008489623037349e-08
1903,0.0,2.7001101798873606e-08
1904,1.6123875568041512e-09,2.8485512615361586e-08
1905,5.160759042333041e-10,2.9416327151920996e-08
1906,0.0,3.240836221607424e-08
1907,5.142843373384665e-10,2.5199932807140613e-08
1908,4.911389073214423e-10,4.911388984396581e-08
1909,1.1001967115120692e-09,2.8605114721358404e-08
1910,0.0,3.634022505139001e-08
1911,0.0,2.7665945978583295e-08
1912,5.209421227725386e-10,1.6670147928721235e-08
1913,0.0,1.856046338843953e-08
1914,0.0,1.9420557606508737e-08
1915,2.3561523843085297e-09,1.8849219074468238e-08
1916,1.0987462051303964e-09,1.3184954461564757e-08
1917,0.0,3.180263163926611e-08
1918,0.0,9.189101035644853e-09
