year,devait_VERB enseigner_VERB,devait_VERB renseigner_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825400343878e-08,0.0
1802,0.0,0.0
1803,5.851017448321727e-09,0.0
1804,9.887403784603066e-09,0.0
1805,4.264316544322355e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,0.0,5.693910232196231e-09
1808,9.064295980465431e-09,0.0
1809,1.581321384946932e-08,0.0
1810,7.020380277111826e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,1.8540831092650478e-08,0.0
1817,1.2454987263765815e-08,0.0
1818,3.457141417584353e-08,0.0
1819,1.5526575580793178e-08,0.0
1820,2.1359666035891678e-08,0.0
1821,3.155676253641104e-08,0.0
1822,3.0076847679083585e-08,0.0
1823,5.138997138942614e-08,0.0
1824,2.6105450245950124e-08,8.421112696055388e-10
1825,3.169959583715354e-08,0.0
1826,2.906634755106552e-08,8.807984341885344e-10
1827,5.7147094167930845e-08,0.0
1828,4.035812395386529e-08,0.0
1829,6.001223340490469e-08,0.0
1830,2.6092090266160994e-08,1.2524203008013046e-08
1831,7.795603274018958e-09,0.0
1832,2.705993829010822e-08,0.0
1833,3.8225973497674204e-08,0.0
1834,6.440826183506942e-08,0.0
1835,3.025235173481633e-08,0.0
1836,4.166864897570122e-08,0.0
1837,3.478945487245255e-08,6.957890930081589e-10
1838,4.481634974240478e-08,0.0
1839,5.942753844578874e-08,0.0
1840,2.5478755105723394e-08,6.369688665408546e-10
1841,6.035315891494974e-08,0.0
1842,3.890793820460203e-08,0.0
1843,5.7887728388550386e-08,5.906911071384968e-10
1844,5.1592476069117765e-08,0.0
1845,5.970844085823046e-08,0.0
1846,4.742146231251354e-08,1.7563503984519002e-09
1847,5.177494699637464e-08,1.6179670936367074e-09
1848,3.459445352405055e-08,0.0
1849,4.1059134758825167e-08,0.0
1850,3.530277936647508e-08,6.788996032014438e-10
