year,pourraient_VERB appeler_VERB,pourraient_VERB rappeler_VERB
1800,1.8864987794131594e-08,6.288328968651058e-09
1801,7.143547975374531e-09,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,9.751696339321825e-09
1804,3.213406074564773e-08,0.0
1805,8.528632911009026e-09,2.842877711017877e-09
1806,1.729001475325731e-08,0.0
1807,3.4163463169534225e-08,1.1387820464392462e-08
1808,6.798221985349073e-09,2.7192887941396293e-08
1809,1.581321384946932e-08,2.259030518203531e-09
1810,7.020380277111826e-09,1.1700633351097167e-08
1811,2.5070767684098882e-09,0.0
1812,1.0668832928217853e-08,1.0668832928217853e-08
1813,1.7254450312975678e-08,0.0
1814,1.5733386149463513e-08,6.293354282149721e-09
1815,8.091670444798638e-09,5.394447111228828e-09
1816,2.3176038865813098e-09,4.6352077731626196e-09
1817,1.71256075987003e-08,7.784366928831332e-09
1818,3.5763532135746345e-09,1.0729059418679299e-08
1819,2.070210003424222e-09,1.1386155129855524e-08
1820,1.4239777357261119e-08,3.5599443393152796e-09
1821,1.972297702934611e-08,9.86148829262845e-10
1822,5.012807946513931e-09,1.7043547018147365e-08
1823,8.894418535021487e-09,2.3718449426723964e-08
1824,7.57900142644985e-09,4.210556348027694e-09
1825,4.0505039322624725e-08,1.7610886082763955e-09
1826,5.725189922145546e-08,1.7615968683770689e-09
1827,1.1060727445055818e-08,1.013900075008678e-08
1828,2.2930752408001354e-08,3.8523666034961934e-08
1829,1.7146351893870815e-08,1.2002446148073886e-08
1830,1.461157062010443e-08,1.6698937344017395e-08
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,5.682587200794842e-08,1.6235963684607668e-08
1833,2.0850531967653296e-08,1.853380560135065e-08
1834,2.6136685704614138e-08,7.467624740797874e-09
1835,2.571449897459388e-08,6.050470346963266e-09
1836,1.008112526790228e-08,9.409050427677812e-09
1837,7.653680356156656e-09,7.653680356156656e-09
1838,6.943378316748294e-09,4.418513555037862e-09
1839,2.6567605004856887e-08,9.788065469251706e-09
1840,4.1402977046800515e-08,2.5478754661634184e-09
1841,2.43980835534785e-08,1.926164472365599e-08
1842,1.9453969102301016e-08,1.1404051036834062e-08
1843,6.497602011990011e-09,1.2995204023980023e-08
1844,2.140538946093784e-08,9.330554107123135e-09
1845,1.3950569588416784e-08,2.4553003186156275e-08
1846,3.3956109035671034e-08,1.2294452567118697e-08
1847,2.588747349818732e-08,9.168480197274675e-09
1848,1.367687652020777e-08,2.654923214606697e-08
1849,1.5920887719289567e-08,3.77073661184113e-08
1850,1.6293590476834652e-08,2.647708541303473e-08
1851,1.2253933867611977e-08,2.579775504329973e-09
1852,7.161600201754936e-09,2.018269107395554e-08
1853,1.6721408258035808e-08,1.1346670270029335e-08
1854,1.3508727469968562e-08,8.313063126763609e-09
1855,1.8574279891936385e-08,2.175844215912548e-08
1856,9.318940286107136e-09,6.212626857404757e-09
1857,1.0251168802710708e-08,8.298565390418844e-09
1858,7.34051397444091e-09,3.9149408159744326e-09
1859,1.3748867822016564e-08,1.171199848215565e-08
1860,2.1512764902809067e-08,1.373155189554609e-08
1861,3.1125360067107977e-08,1.7920662287451705e-08
1862,1.445755604123633e-08,8.584174260306554e-09
1863,1.6482248454963155e-08,8.990317823531768e-09
1864,1.4863656971897399e-08,9.109982990196386e-09
1865,2.118079933666195e-08,1.2708479601997169e-08
1866,8.271541673821048e-09,1.0217787504984699e-08
1867,1.747012134956094e-08,8.249779526181555e-09
1868,7.409810987013543e-09,1.1855697756857353e-08
1869,6.348574999037737e-09,1.660396442559886e-08
1870,1.1468097582678638e-08,1.2614907340946502e-08
1871,1.274541272522356e-08,1.0621176826930423e-08
1872,3.205089882385437e-08,9.071008832961525e-09
1873,2.573981916498269e-08,2.573981916498269e-08
1874,1.4339061493728877e-08,1.3144139998644278e-08
1875,7.437985338754061e-09,1.4303817685856757e-08
1876,1.3301232115736639e-08,6.650616057868319e-09
1877,1.2369632429454214e-08,1.4225077116236662e-08
1878,1.9325083755461492e-08,9.058632954861423e-09
1879,1.1607718342077078e-08,4.887460214320072e-09
1880,5.134277003548959e-09,2.0537108014195837e-08
1881,1.2550513517339823e-08,9.761510710859511e-09
1882,1.1979693681496428e-08,3.3276925659464496e-09
1883,1.2006744043446815e-08,1.3270612164717477e-08
1884,1.5844072720483382e-08,3.9610181801208455e-09
1885,1.4824961702686323e-08,2.5782542767416317e-09
1886,5.808117542471791e-09,9.034849313138693e-09
1887,2.2198344495905076e-08,4.570247291724172e-09
1888,1.4583413587843097e-08,5.706553452000662e-09
1889,9.397704836544563e-09,8.14467782106476e-09
1890,1.5075089621063853e-08,0.0
1891,1.0836173736095134e-08,1.4023283867459213e-08
1892,2.1312942521944933e-08,1.2537024751679837e-09
1893,8.621783287310336e-09,1.2932674486876294e-08
1894,1.5123694296903523e-08,1.5123694296903523e-08
1895,2.4074457982692365e-08,7.824199066419624e-09
1896,1.0614652268259306e-08,1.2383760683576384e-08
1897,8.157399200570126e-09,8.740070001067579e-09
1898,1.9238406423482957e-08,1.0750873968845553e-08
1899,2.04520400615138e-08,9.949641111006713e-09
1900,1.7130474816440255e-08,8.30568502863116e-09
1901,7.824234593556412e-09,1.7883964531506535e-08
1902,2.3078333910575566e-08,1.178468167495339e-08
1903,1.9440793863623185e-08,2.1600881083827517e-09
1904,1.827372564378038e-08,1.3436562973367927e-08
1905,8.257214467732865e-09,1.5998352864698973e-08
1906,8.745113966313056e-09,1.4403716441790948e-08
1907,1.4399961223432456e-08,1.1828539925318182e-08
1908,1.620758460774141e-08,9.822778146428846e-09
1909,1.0451868703853506e-08,8.251475058784763e-09
1910,1.3894791983659616e-08,1.4963621453034648e-08
1911,1.5429085564733214e-08,1.0640748726586935e-08
1912,1.40654377034366e-08,1.3544495303108306e-08
1913,1.8030165804816534e-08,1.856046338843953e-08
1914,1.0045115850232378e-08,1.1384464038144415e-08
1915,1.0602685840410686e-08,1.4136913861761968e-08
1916,1.648119329900055e-08,1.4283700444650549e-08
1917,6.57985488317081e-09,1.0966424213165737e-08
1918,2.2972752589112133e-09,1.378365155346728e-08
1919,4.603924352863942e-09,2.025726608678724e-08
1920,1.0601124422748853e-08,6.815008557481406e-09
1921,1.817459427400081e-08,9.844571380313027e-09
1922,1.475587119159627e-08,1.0329110011753073e-08
1923,1.2739137744688378e-08,6.369568872344189e-09
1924,9.02413699321869e-09,1.2891624656674594e-08
1925,7.698724324711748e-09,0.0
1926,2.0063049888108253e-08,1.0031524944054127e-08
1927,1.1149224654616319e-08,1.2264147031260109e-08
1928,9.14083297942625e-09,6.8556245125250825e-09
1929,1.2254447234738564e-08,1.0026365515614089e-08
1930,8.402882833991043e-09,9.453243521306831e-09
1931,1.1405356659111021e-09,1.0264820993199919e-08
1932,1.753525857850491e-08,1.0959536389520963e-08
1933,1.605892663292252e-08,5.735331320977366e-09
1934,8.38710612072191e-09,1.0783422155213884e-08
1935,5.98414207075848e-09,1.6755597798123745e-08
1936,1.33371855781661e-08,1.091224355320719e-08
1937,8.813782592653752e-09,1.0072894518486919e-08
1938,5.186085783037697e-09,1.1668692678767911e-08
1939,2.4470480752825097e-08,2.2941076593951948e-08
1940,1.2678914806940611e-08,5.0715658339584024e-09
1941,5.9030051957620344e-09,1.7709016475464523e-08
1942,6.068423541449874e-09,6.068423541449874e-09
1943,1.1612940831184915e-08,5.806470415592457e-09
1944,3.2131861615880553e-09,6.4263723231761105e-09
1945,2.3963544037997053e-08,1.3071024262956144e-08
