year,devant_VERB établir_VERB,devant_VERB rétablir_VERB
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,0.0,2.6854081625060644e-08
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,1.7254450312975678e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,3.113746815941454e-09,0.0
1818,1.4305412854298538e-08,0.0
1819,2.070210003424222e-09,0.0
1820,0.0,1.0679833017945839e-08
1821,1.0847637454958203e-08,0.0
1822,3.0076847679083585e-09,2.0051231786055723e-09
1823,3.9530747564242574e-09,0.0
1824,0.0,0.0
1825,5.283265824829186e-09,0.0
1826,8.80798456392995e-09,0.0
1827,9.217273055917019e-10,1.6591091167583727e-08
1828,6.420610709767516e-09,9.172301251858528e-10
1829,3.429270423183084e-09,0.0
1830,3.1310507520032616e-09,0.0
1831,9.354723218280014e-09,0.0
1832,2.3000948701223933e-08,0.0
1833,2.3167257001688313e-09,2.3167257001688313e-09
1834,7.467624740797874e-09,6.534171426153534e-09
1835,1.5126175867408165e-08,0.0
1836,4.032449929525228e-09,0.0
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,6.312161904276081e-09,0.0
1839,8.38977065598101e-09,1.3982950353153e-09
1840,7.64362617644565e-09,0.0
1841,9.630822361827995e-09,0.0
1842,6.037438549100216e-09,0.0
1843,1.6539351221922516e-08,0.0
1844,7.1351298203126134e-09,1.097712254427563e-09
1845,5.022205318283568e-09,5.580227946389016e-10
1846,8.781752214304106e-09,0.0
1847,3.775256551818984e-09,1.0786447290911383e-09
1848,2.413566591030758e-08,8.045221711050488e-10
1849,2.513824481908955e-09,0.0
1850,8.82569484161877e-09,1.1541293254424545e-08
1851,5.159551008659946e-09,1.2898877521649865e-09
1852,7.812654523320361e-09,0.0
1853,1.7915795513800958e-09,1.7915795513800958e-09
1854,6.234797567117312e-09,5.195664454227256e-10
1855,5.306937111981824e-09,1.5920811335945473e-09
1856,0.0,1.0354378465748937e-09
1857,1.0251168802710708e-08,2.4407544874094356e-09
1858,3.4255731584664773e-09,4.893676019968041e-10
1859,1.018434669930457e-09,2.036869339860914e-09
1860,1.8308735638683515e-09,7.323494255473406e-09
1861,1.3204698667834691e-08,5.659156698811785e-09
1862,4.517986429419807e-09,9.035972525772706e-10
1863,6.99246927027275e-09,3.496234635136375e-09
1864,6.712618905169165e-09,4.794728170054441e-09
1865,8.47231973466478e-09,1.882737743486018e-09
1866,2.919367858567057e-09,1.4596839292835284e-09
1867,1.455843445796745e-09,3.88224918879132e-09
1868,6.421836395986702e-09,9.87974813071446e-10
1869,9.767038733343725e-09,4.883519366671862e-09
1870,1.490852596930381e-08,2.8670243956696595e-09
1871,1.0621177271019633e-09,3.18635318130589e-09
1872,1.269941218851045e-08,1.2094678591978436e-09
1873,5.9860045809045914e-09,0.0
1874,1.1351757756017378e-08,5.974609140757536e-10
1875,1.716458086775674e-09,4.577221712764867e-09
1876,7.859819239897092e-09,3.627608879952504e-09
1877,3.0924081073635534e-09,6.184815992682502e-10
1878,9.662541822219595e-09,1.2078177347163432e-09
1879,4.887460214320072e-09,2.443730107160036e-09
1880,7.059631101924424e-09,6.417846254436199e-10
1881,1.045876096839038e-08,4.183504653809678e-09
1882,8.652000893505374e-09,6.655385131892899e-10
1883,6.951272890631799e-09,6.319338941018771e-10
1884,7.2618666635548834e-09,3.300848483434038e-09
1885,5.80107206715752e-09,2.5782542767416317e-09
1886,9.034849313138693e-09,5.808117542471791e-09
1887,1.1099172247952538e-08,5.223139698529167e-09
1888,1.7119660356001987e-08,0.0
1889,1.1277245803853475e-08,0.0
1890,1.5730527991308918e-08,1.3108772956016423e-09
1891,1.0198752065093686e-08,1.9122659011827636e-09
1892,1.191017329205124e-08,0.0
1893,6.774258043407144e-09,0.0
1894,7.561847148451761e-09,3.150769645188234e-09
1895,1.685212125401847e-08,3.0093072478365457e-09
1896,7.076434549446731e-09,5.89702897624278e-10
1897,1.1653426668090106e-08,1.7480140668268973e-09
1898,1.0185038590293516e-08,6.7900258748920805e-09
1899,1.5477219506010442e-08,3.3165470370022376e-09
1900,5.710158568206225e-09,5.19105292084987e-09
1901,1.0618603774048552e-08,5.588738916095792e-10
1902,9.820567470342212e-09,4.419255628107521e-09
1903,7.560307935250421e-09,5.400220270956879e-10
1904,1.2361637935498493e-08,5.374625189347171e-10
1905,1.0321517696088023e-08,5.160759042333041e-10
1906,1.0802787109298606e-08,1.5432553013283723e-09
1907,1.0799970695529737e-08,1.028568674676933e-09
