year,avaient_VERB éveillé_VERB,avaient_VERB réveillé_VERB
1800,3.458580977167003e-08,0.0
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,7.801356893821776e-09,3.900678446910888e-09
1804,2.4718509905596875e-08,1.2359254952798437e-08
1805,5.1171799242411e-08,7.675770063997334e-08
1806,2.881669125542885e-09,2.881669125542885e-09
1807,1.1387820464392462e-08,8.540865792383556e-09
1808,4.305540457494317e-08,2.2660739951163578e-09
1809,2.4849335034105025e-08,2.0331274441787173e-08
1810,2.106114038724627e-08,1.4040760554223652e-08
1811,1.7549536934780008e-08,4.262030373070047e-08
1812,1.3336041604361526e-08,5.601137331723294e-08
1813,2.300593315851529e-08,8.627225156487839e-09
1814,9.440030979135372e-09,2.8320094713762956e-08
1815,6.74305908887618e-08,2.966945977789237e-08
1816,1.8540831092650478e-08,1.622322720606917e-08
1817,2.1796227045456362e-08,2.490997452753163e-08
1818,3.337929754820834e-08,2.2650237241350624e-08
1819,2.4842520929269085e-08,6.521161566297451e-08
1820,2.7292905713238724e-08,4.153268307049984e-08
1821,4.7335142028259725e-08,6.212737702071536e-08
1822,6.015369535816717e-08,2.5064039732569654e-08
1823,4.5460360809101985e-08,3.9530746676064155e-08
1824,3.9579230559638745e-08,5.221090049190025e-08
1825,5.6354835464844655e-08,4.9310479255382234e-08
1826,4.227832306469281e-08,4.4039921931471326e-08
1827,6.452091128039683e-08,6.636436467033491e-08
1828,5.77854990524429e-08,5.044765671868845e-08
1829,6.687077558353849e-08,3.600733933240008e-08
1830,9.393152566872232e-08,3.5485243188304594e-08
1831,6.548306430431694e-08,4.053713453799901e-08
1832,1.204167290325131e-07,3.3824925083081325e-08
1833,1.1004446776041732e-07,4.749287541017111e-08
1834,7.467625096069241e-08,8.867804268675172e-08
1835,5.3697924329298985e-08,5.142899794918776e-08
1836,7.19120265557649e-08,5.981467410265395e-08
1837,8.140732177253085e-08,6.95789097449051e-08
1838,6.94337813911261e-08,6.880256364638626e-08
1839,7.690622538802927e-08,5.2436064379435265e-08
1840,1.0191502042289358e-07,5.6690229399691816e-08
1841,9.181384541534499e-08,1.1171754721317484e-07
1842,8.318248490013502e-08,6.372852112690452e-08
1843,1.0514301607145171e-07,9.037574244530333e-08
1844,9.495210662180398e-08,9.330554462394502e-08
1845,1.1997489934856276e-07,5.4686232431322424e-08
1846,8.840297027745692e-08,6.205771541090144e-08
1847,1.2458346532184805e-07,9.060615724365562e-08
1848,6.838438793010937e-08,4.907585093860689e-08
1849,1.3742240412284445e-07,7.0387088157986e-08
1850,9.572484316322516e-08,6.313766220955586e-08
1851,1.1286518031283777e-07,5.611011744122152e-08
1852,1.2044509389852465e-07,6.575650957074686e-08
1853,7.76351143372267e-08,5.6733352238325097e-08
1854,6.182840905921694e-08,6.33871053423718e-08
1855,9.764764286046557e-08,6.156047049898916e-08
1856,8.594134470740755e-08,7.76578374939163e-08
1857,1.2057327580805577e-07,4.8326938895115745e-08
1858,9.39585760306727e-08,5.4809170535463636e-08
1859,1.1202781280417184e-07,5.8050776630125256e-08
1860,1.2037993712965545e-07,6.179197953315452e-08
1861,8.86601156935285e-08,5.1875602480322414e-08
1862,1.0797987215482863e-07,4.9246050792817186e-08
1863,9.09020982930997e-08,4.894728533599846e-08
1864,1.265808151629244e-07,6.712619438076217e-08
1865,1.1955384593420604e-07,5.036323358353911e-08
1866,1.3623716199617775e-07,5.7900795269461014e-08
1867,1.28599509707783e-07,4.4160586298858107e-08
1868,1.1114716613747078e-07,3.210918109175509e-08
1869,9.669368239428877e-08,4.49283774628384e-08
1870,7.0528798801206e-08,4.3578772590535664e-08
1871,7.541035529357032e-08,4.6733180880664804e-08
1872,1.015952975080836e-07,4.475031190054324e-08
1873,6.70432527272169e-08,2.8134220286801792e-08
1874,8.543690910300938e-08,6.392831863877291e-08
1875,8.696721209844327e-08,3.833423178889461e-08
1876,6.287855569553358e-08,4.17175023414984e-08
1877,8.535045736834945e-08,2.535774612510977e-08
1878,7.669642343444139e-08,4.7708802242141246e-08
1879,1.1424437929008491e-07,4.2765275765077604e-08
1880,8.279021557200394e-08,3.144744553651435e-08
1881,9.970685965754456e-08,3.2770785196589713e-08
1882,8.319231170617059e-08,3.3276926103553706e-08
1883,7.709593319304986e-08,2.9700892412165558e-08
1884,1.0034579389639475e-07,2.3766109080725073e-08
1885,7.283568237426152e-08,3.222817923642651e-08
1886,9.938334244452562e-08,3.484870347847391e-08
1887,5.027272109714431e-08,4.504957828999068e-08
1888,6.721051448721482e-08,4.6920547447371064e-08
1889,4.1349903057152915e-08,2.0048437576747347e-08
1890,7.930807299771914e-08,4.391439034634459e-08
1891,5.609313546983685e-08,3.059625441892422e-08
1892,6.080456671497814e-08,2.3193495124473884e-08
1893,5.9120800699474785e-08,2.586534897375259e-08
1894,1.0271509154335945e-07,6.868678070759415e-08
1895,7.583454220139174e-08,5.11582243234443e-08
1896,8.373780957526833e-08,3.4202766840962795e-08
1897,6.642453342919907e-08,3.554295346930303e-08
1898,6.676858532728147e-08,1.584339415217073e-08
1899,9.783813936792285e-08,2.65323762960179e-08
1900,6.333085167398167e-08,2.906989848838748e-08
1901,6.147612907625444e-08,3.63268028991115e-08
1902,7.365425602756659e-08,2.3078333910575566e-08
1903,7.722314876446035e-08,3.4021386596805314e-08
1904,6.987012568515638e-08,3.708491291831706e-08
1905,8.566860287828604e-08,2.2191263937543226e-08
1906,6.378788697247728e-08,2.2634411678268407e-08
1907,8.537119811080629e-08,2.2114226894132116e-08
1908,7.317969874520713e-08,3.5361999550787004e-08
1909,6.986249445617432e-08,4.290767208203761e-08
1910,6.787071527014632e-08,2.404867771588215e-08
1911,6.916486228192298e-08,3.1922244403403965e-08
1912,5.990834495150921e-08,4.428008182344456e-08
1913,5.7272288245258096e-08,3.4999732889673396e-08
1914,6.629776549971211e-08,5.6922321078900495e-08
1915,8.010918151057922e-08,2.4739600590351074e-08
1916,6.152978926365904e-08,3.4061130804730055e-08
1917,4.934890895924582e-08,3.3995917192441993e-08
1918,7.695872028534723e-08,4.020231614276781e-08
1919,5.800944435918609e-08,3.1306683467846597e-08
1920,7.193619921963545e-08,1.514446346106979e-08
1921,5.83101567031008e-08,2.6504615391331754e-08
1922,7.230377008227151e-08,3.541408943874558e-08
1923,3.927900849021171e-08,1.6985516992917837e-08
1924,7.219309594574952e-08,2.3204924204378585e-08
1925,8.578578558626759e-08,3.079489729884699e-08
1926,7.690835701623655e-08,4.7928395474627905e-08
1927,8.027441822378023e-08,3.3447673075670536e-08
1928,6.284322751071159e-08,2.9707706517001498e-08
1929,7.01845621620123e-08,5.124586976990031e-08
1930,9.24317120620799e-08,5.461873797685257e-08
1931,6.615106684648708e-08,2.8513390759599133e-08
1932,6.13734059129456e-08,4.164623845781534e-08
1933,6.308864186621577e-08,2.064719240024715e-08
1934,7.428579351653752e-08,2.875579241390369e-08
1935,6.702239119249498e-08,1.9149254626427137e-08
1936,5.698615979099486e-08,2.9099314957647948e-08
1937,5.791914503561202e-08,4.280980192561401e-08
1938,3.8895642262559704e-08,3.5006078036303734e-08
1939,6.576441791139587e-08,2.141167065872196e-08
1940,3.296517903095264e-08,1.7750480196809804e-08
1941,4.7224041566096275e-08,1.4757512545315876e-08
1942,1.2136847082899749e-08,1.2136847082899749e-08
1943,8.129058670647282e-08,2.6129116648121453e-08
1944,1.124615138792251e-07,2.5705489292704442e-08
1945,1.524952892850706e-07,3.267756198965799e-08
1946,5.8468636154884734e-08,3.201854070766785e-08
1947,5.006765846360395e-08,2.3841742802233057e-08
1948,5.109787437618252e-08,5.3272248834446145e-08
1949,8.63896758573901e-08,4.417653798327592e-08
1950,3.93508372553697e-08,2.6588404367089424e-08
1951,5.650542789226165e-08,2.9851925376078725e-08
1952,5.377849987553418e-08,2.9525450528922192e-08
1953,7.326202933199966e-08,1.939288907237824e-08
1954,6.254423112750374e-08,3.615838295445428e-08
1955,5.255940394022218e-08,3.003394510869839e-08
1956,4.6222051963695776e-08,2.9651880950609666e-08
1957,8.569986675865948e-08,1.8553580005686854e-08
1958,6.204182767532984e-08,1.6544486669545222e-08
1959,4.727956337546857e-08,2.5577467255288866e-08
