year,dut_VERB avoir_VERB
1800,3.175606195782166e-07
1801,1.500145003774378e-07
1802,3.513409012612101e-07
1803,1.6577882888668682e-07
1804,1.928043786847411e-07
1805,3.1840230008128856e-07
1806,2.1036184705280903e-07
1807,1.9359295322374237e-07
1808,2.2887347483901976e-07
1809,2.371982077420398e-07
1810,1.9891076874500868e-07
1811,2.281439890339243e-07
1812,2.800568665861647e-07
1813,1.8979895344273245e-07
1814,3.6501455724646803e-07
1815,2.3196122356239357e-07
1816,2.109019590079697e-07
1817,2.2886038664182706e-07
1818,3.552510747795168e-07
1819,2.7637304356176173e-07
1820,2.3495633172387898e-07
1821,3.204983727300714e-07
1822,3.5891704897039745e-07
1823,3.1426944246959465e-07
1824,4.185293107639154e-07
1825,5.133573495186283e-07
1826,2.800939000735525e-07
1827,2.7836165372718824e-07
1828,4.026640283427696e-07
1829,3.9608073620911455e-07
1830,3.5380872986934264e-07
1831,4.2252167986589484e-07
1832,4.803139290743275e-07
1833,4.343860666722321e-07
1834,4.881959512204048e-07
1835,4.9916377520276e-07
1836,4.590272340010415e-07
1837,4.3069346133961517e-07
1838,4.2922701481984404e-07
1839,4.159927868840896e-07
1840,4.573436456212221e-07
1841,5.052971800978412e-07
1842,4.6085781946203497e-07
1843,4.571949148157728e-07
1844,4.604902983373904e-07
1845,3.822456164925825e-07
1846,5.146106900610903e-07
1847,3.829188699455699e-07
1848,4.3685554373951163e-07
1849,3.712080740569945e-07
1850,3.401287074211723e-07
1851,4.824180450668791e-07
1852,3.9063272083694756e-07
1853,4.3117347559018526e-07
1854,4.224075098591129e-07
1855,4.585193664752296e-07
1856,3.7482848824765824e-07
1857,3.831984543012368e-07
1858,4.37005269304791e-07
1859,4.404730020723946e-07
1860,3.8814519598417974e-07
1861,4.2113555309697404e-07
1862,3.9216121194840525e-07
1863,4.864760967393522e-07
1864,4.185797592981544e-07
1865,3.8925603007555765e-07
1866,4.0579212168267986e-07
1867,4.7169328354357276e-07
1868,3.7394846685856464e-07
1869,4.1412241102989356e-07
1870,4.7133880798355676e-07
1871,3.876729692819936e-07
1872,3.6465456787482253e-07
1873,4.333867309469497e-07
1874,3.925318310393777e-07
1875,4.537170923413214e-07
1876,4.7219376142493275e-07
1877,3.735628979484318e-07
1878,4.257557577602711e-07
1879,3.8061097029640223e-07
1880,4.255032024502725e-07
1881,3.9046042843438045e-07
1882,4.033163349959068e-07
1883,4.0886123997552204e-07
1884,4.5089589661984064e-07
1885,4.647303342153464e-07
1886,4.2334721683801035e-07
1887,4.087106901806692e-07
1888,4.4003866150887916e-07
1889,3.2766664048722305e-07
1890,3.4213897492918477e-07
1891,3.4803241533154505e-07
1892,3.4038021112792194e-07
1893,3.5102974038636603e-07
1894,3.9258588913071435e-07
1895,3.719503638421884e-07
1896,3.8979362670943374e-07
1897,3.286266405666538e-07
1898,4.0966489223137614e-07
1899,3.5929258501710137e-07
1900,4.6408015919041645e-07
1901,3.889762183462153e-07
1902,3.0492861924358294e-07
1903,3.3049349212888046e-07
1904,3.4075122812282643e-07
1905,4.0821603874974244e-07
