year,voulait_VERB amener_VERB,voulait_VERB ramener_VERB
1800,2.2009151834367913e-08,1.8864987794131594e-08
1801,3.5717739876872656e-08,4.7623650800687756e-08
1802,8.951360541686881e-09,0.0
1803,1.5602713787643552e-08,6.241085515057421e-08
1804,9.887403784603066e-09,2.9662210465630778e-08
1805,0.0,6.822906328807221e-08
1806,5.76333825108577e-09,1.729001475325731e-08
1807,2.562259560079383e-08,3.9857372513552036e-08
1808,2.2660739951163578e-09,3.3991110370834576e-08
1809,1.581321384946932e-08,4.292158095609011e-08
1810,1.1700633351097167e-08,2.106114038724627e-08
1811,5.0141535368197765e-09,1.504245972228091e-08
1812,2.9339290108509886e-08,7.734903562095496e-08
1813,5.176335093892703e-08,2.5881675469463516e-08
1814,9.440030979135372e-09,3.4613449884091096e-08
1815,4.5852800667489646e-08,8.091670444798638e-09
1816,1.622322720606917e-08,3.0128852301913867e-08
1817,2.80237220096069e-08,4.670620157298799e-08
1818,3.695565098382758e-08,2.8610825708597076e-08
1819,1.9666995143552413e-08,3.415846450138815e-08
1820,4.6279275522920216e-08,5.3399165977907614e-08
1821,1.3806083387635226e-08,7.59334568556369e-08
1822,4.511527151862538e-08,8.321261191213125e-08
1823,6.720227219148e-08,6.917881023582595e-08
1824,5.9789897477458e-08,5.810567671460376e-08
1825,4.0505039322624725e-08,3.610231757988913e-08
1826,3.2589543508265706e-08,2.3781558056157337e-08
1827,6.359918103271411e-08,4.055600300034712e-08
1828,2.384798314380987e-08,4.3109814384934e-08
1829,1.971830521085849e-08,5.229637523029851e-08
1830,2.0873670791843324e-08,5.635891398014792e-08
1831,6.080570358335535e-08,1.870944643656003e-08
1832,6.494385473843067e-08,7.84738247716632e-08
1833,8.224376557564028e-08,7.18184978154568e-08
1834,6.347480763224667e-08,5.1339920759119195e-08
1835,2.7983425354705105e-08,6.050470346963266e-08
1836,2.4866775305554256e-08,5.309392392405243e-08
1837,5.427154903259179e-08,5.4967337348443834e-08
1838,3.471689069556305e-08,7.953323688525415e-08
1839,3.0063343814390464e-08,6.222413162504381e-08
1840,7.834717052901397e-08,9.427139247009109e-08
1841,6.67737083404063e-08,8.089891423423978e-08
1842,5.769107858100142e-08,1.1605298766426131e-07
1843,7.029224491361674e-08,7.206431718032036e-08
1844,6.970472554712615e-08,7.958414016684401e-08
1845,9.151573721055684e-08,8.091330272463892e-08
1846,5.1519613464279246e-08,3.102885770545072e-08
1847,5.770749211819748e-08,1.111004053200304e-07
1848,2.735375304041554e-08,8.527935335678194e-08
1849,9.133562173246901e-08,9.301150782903278e-08
1850,2.851378333446064e-08,6.177986477950981e-08
1851,6.255955753431408e-08,5.93348374877678e-08
1852,3.385483537954315e-08,6.315229228448516e-08
1853,5.1358615138497044e-08,6.867721680237082e-08
1854,3.948704829781491e-08,7.533713386465024e-08
1855,3.449509122788186e-08,6.262185792138553e-08
1856,5.487820686767009e-08,5.901995692170203e-08
1857,4.539803555303479e-08,7.127002987772357e-08
1858,6.214968806261822e-08,7.927754808179088e-08
1859,4.4811123700583266e-08,7.179964711667708e-08
1860,6.362285631666964e-08,9.200139317044886e-08
1861,3.301174444914068e-08,6.177912581506462e-08
1862,1.1069066374602698e-07,1.0797987215482863e-07
1863,3.9457503930862003e-08,6.692791743034832e-08
1864,5.178306139441702e-08,1.1890925577517919e-07
1865,5.883555331820389e-08,5.836486849375433e-08
1866,5.400830360713371e-08,7.687668102107637e-08
1867,4.949867715708933e-08,7.424801395927716e-08
1868,3.062721987134864e-08,5.3844626535237694e-08
1869,3.125452252561445e-08,8.448488131307386e-08
1870,7.11022067889644e-08,7.167560767129544e-08
1871,8.815577245968598e-08,4.6733180880664804e-08
1872,7.317280648067026e-08,8.587221600464545e-08
1873,4.4895035244962855e-08,5.8662845248136364e-08
1874,3.7042575229406793e-08,7.169531102135807e-08
1875,2.9179789251543298e-08,5.89317288302027e-08
1876,5.622793608495158e-08,7.13429741949767e-08
1877,3.030559980743419e-08,5.3807898581226254e-08
1878,3.925407554561389e-08,6.522216011717319e-08
1879,3.848874996492668e-08,5.315112971970848e-08
1880,3.529815373326528e-08,7.187988160239911e-08
1881,3.6257038260600893e-08,4.2532295907449225e-08
1882,2.1962771157291172e-08,3.394246306243076e-08
1883,3.6652167523243406e-08,3.159669503816076e-08
1884,6.073561564789998e-08,6.601696611596708e-08
1885,4.18966337178972e-08,7.348024411157894e-08
1886,7.034275739670193e-08,4.5174246565693466e-08
1887,3.003305337756501e-08,5.3537181798901656e-08
1888,4.6920547447371064e-08,6.404020780337305e-08
1889,4.698852507090123e-08,5.07476087818759e-08
1890,3.736000309118026e-08,5.767860145056147e-08
1891,4.270727416155751e-08,5.035633776628856e-08
1892,4.199903358426127e-08,3.0715710863660206e-08
1893,4.187723234849727e-08,4.3724757148311255e-08
1894,3.591877373310126e-08,4.285046628638156e-08
1895,2.5880042997528108e-08,4.092657945875544e-08
1896,4.9535042734305534e-08,2.5946928161602045e-08
1897,3.729096675897381e-08,2.7385553380554484e-08
1898,4.583267454449924e-08,2.998928039232851e-08
1899,3.040167939616367e-08,5.3617512207893014e-08
1900,2.1283318218934255e-08,4.775768758236154e-08
1901,2.9620316865930363e-08,4.247441509619421e-08
1902,2.9461702411026636e-08,2.455141867585553e-08
1903,2.9161189019077938e-08,4.590187074882124e-08
1904,5.105894018697654e-08,2.5260739278110123e-08
1905,3.096455358786443e-08,3.251278357652154e-08
1906,2.4692084821253957e-08,4.3211148437194424e-08
1907,1.5942815068115124e-08,2.982849167665336e-08
1908,3.437972395659017e-08,3.094175227147389e-08
1909,3.5756393401698006e-08,3.6306492035009796e-08
1910,4.0615546481603815e-08,3.2599320576309765e-08
1911,4.362706818028528e-08,3.830669470517023e-08
1912,3.334029585744247e-08,4.532196484774431e-08
1913,2.0151361468379037e-08,3.075734156254839e-08
1914,2.6117300322425763e-08,2.0090231700464756e-08
1915,4.476689596799588e-08,3.062998032987707e-08
1916,2.0876177231343718e-08,4.8344833913915863e-08
1917,2.52227767560953e-08,4.386569685266295e-08
1918,2.2972752589112133e-08,2.8715941624568586e-08
1919,2.762354434082681e-08,3.222746869369075e-08
1920,1.8930579770426448e-08,5.1491177543994127e-08
1921,3.180553775905537e-08,3.256281289054641e-08
1922,2.5084981203349344e-08,3.9840852394945614e-08
1923,2.866305948145964e-08,2.441668023323018e-08
1924,2.9650736976805092e-08,2.707241186783449e-08
1925,1.8696901804560184e-08,2.859526304632709e-08
1926,2.7865345586519652e-08,4.458455293843144e-08
1927,4.1252132376712325e-08,3.7907366134959375e-08
1928,1.3711249025050165e-08,4.4561559775502246e-08
1929,2.785101571589621e-08,2.5622934884950155e-08
1930,3.886333388436469e-08,5.2518018378577835e-08
1931,1.710803587684495e-08,4.904303452235581e-08
1932,3.507051715700982e-08,2.7398842306070037e-08
1933,1.1470662641954732e-08,3.4411986149507356e-08
1934,2.6359476379411717e-08,2.2765002327673756e-08
1935,2.5133395809007197e-08,3.4708023122220766e-08
1936,4.00115567344983e-08,1.576212937948185e-08
1937,1.888667711114067e-08,3.399602022113868e-08
1938,1.2965214679638848e-08,2.5930429359277696e-08
1939,3.364691281149135e-08,1.8352860564618823e-08
1940,2.028626333583361e-08,1.5214697057785997e-08
1941,2.066051862925633e-08,3.5418032950929046e-08
1942,2.1239483061208375e-08,2.4273694165799498e-08
1943,3.4838823381733164e-08,4.3548528338988035e-08
1944,2.5705489292704442e-08,4.819779064746399e-08
1945,2.6142048525912287e-08,3.703456741277478e-08
1946,4.037120149291695e-08,2.645009899993056e-08
1947,3.695469885656166e-08,3.5762614203349585e-08
1948,2.5005341797168512e-08,2.391815279167986e-08
1949,2.6505922789965553e-08,2.5524220959027843e-08
1950,2.6588404367089424e-08,2.6588404367089424e-08
1951,2.0256663901818683e-08,2.4521224162299404e-08
1952,1.7926167217297007e-08,2.6362009464264702e-08
1953,2.1547654327491728e-08,3.878577814475648e-08
1954,3.518113089739927e-08,2.14995790059902e-08
1955,1.783265446420046e-08,2.9095383879962355e-08
1956,2.703553825256222e-08,3.488456457034772e-08
1957,1.8553580005686854e-08,3.003912851795576e-08
1958,1.7371711180658167e-08,2.0680609225109947e-08
1959,2.712761748568937e-08,2.0927018340444192e-08
1960,1.1765417085030094e-08,2.2838749558218296e-08
1961,2.36237411854745e-08,2.223410966450956e-08
1962,1.5220695814832652e-08,2.3465238641051656e-08
1963,9.052474325699222e-09,3.7503109950876024e-08
1964,1.7035111099517053e-08,2.311907998375773e-08
1965,3.173785145804686e-08,2.8454625322638094e-08
1966,2.6033651678858405e-08,3.489617128593636e-08
1967,2.6130779318123132e-08,2.8102911997507363e-08
1968,2.4253646202510026e-08,2.919420261093819e-08
1969,2.952142530432411e-08,2.952142530432411e-08
1970,2.1614008360870685e-08,2.6672605457633836e-08
1971,2.003974941544584e-08,2.2608949379332444e-08
1972,2.0520587895589415e-08,2.8728821988011077e-08
1973,1.929621262775072e-08,1.929621262775072e-08
1974,1.6876715136504572e-08,2.1377172032543967e-08
1975,2.513051278185685e-08,1.8847885030481848e-08
1976,1.3712464053128315e-08,2.1140049710766107e-08
1977,1.3516598507123945e-08,1.880570188461661e-08
1978,1.485147826940647e-08,2.316830638449119e-08
1979,1.8726314721106974e-08,1.0533551808578068e-08
1980,1.4212877097463661e-08,2.0466542238750662e-08
1981,1.8976647808699454e-08,2.1506869174459098e-08
1982,1.4898005495922462e-08,2.9175261317959666e-08
1983,1.515675762675528e-08,2.2103606056589342e-08
1984,1.739702604197646e-08,1.8556827185989277e-08
1985,1.8648229627160617e-08,1.3835783185811579e-08
1986,2.45773907892044e-08,2.3977941410180392e-08
1987,2.810975807676641e-08,1.5277041853778428e-08
1988,2.1587593934668803e-08,2.5185526553173077e-08
1989,1.8110803523541108e-08,1.6464365870660913e-08
1990,2.1249737969242233e-08,1.6345952147389653e-08
1991,1.582595565707834e-08,2.1687421636329418e-08
1992,1.597883780846132e-08,1.7631821336294706e-08
1993,1.3294098266669607e-08,1.772546376344053e-08
1994,1.318731612798274e-08,1.7407257857371405e-08
1995,9.760411145975922e-09,1.4640617607142303e-08
1996,8.540947504798169e-09,1.7081895009596337e-08
1997,1.3905194329311144e-08,2.4933450859521145e-08
1998,7.629006759657386e-09,2.43174582692518e-08
1999,1.5995704316651427e-08,2.4679085441903226e-08
2000,1.4579503826439577e-08,1.9439339027371716e-08
2001,1.3143635513301888e-08,1.5772362971233633e-08
2002,2.059174164514843e-08,1.5772396722013582e-08
2003,2.25013838672794e-08,1.2500768420409258e-08
2004,1.4095332012686868e-08,1.805964444656638e-08
2005,1.8014997493764895e-08,1.5763124139311913e-08
2006,1.4412615101377924e-08,2.182481573242967e-08
2007,1.3980677948666198e-08,1.8774054311165855e-08
2008,9.366367237362283e-09,2.3841662866175284e-08
2009,8.105927484791664e-09,2.574823909640145e-08
2010,1.5116137674908714e-08,2.0312310056169736e-08
2011,1.7207874236646603e-08,2.6385405860196443e-08
2012,2.4170194734551842e-08,2.9616998631354363e-08
2013,2.2870825233667347e-08,2.7054513296320692e-08
2014,2.1870995681183558e-08,3.074932308777534e-08
2015,2.2830725754374726e-08,3.347028965094978e-08
2016,2.5477483234226384e-08,3.272717208346876e-08
2017,1.4842107098900215e-08,2.968421419780043e-08
2018,2.1942467398616827e-08,3.020316086121966e-08
2019,2.0918099252753564e-08,3.5458729286119706e-08
