year,veut_VERB établir_VERB,veut_VERB etablir_VERB,veut_VERB rétablir_VERB
1800,7.200136451501749e-07,0.0,1.2262241000371432e-07
1801,9.167553116640192e-07,2.3811825844433088e-09,1.04772034603684e-07
1802,5.79600623495935e-07,0.0,1.1636768704192946e-07
1803,7.625826583534945e-07,1.950339223455444e-09,6.436119548425268e-08
1804,6.847026838840975e-07,9.887403784603066e-09,1.359518080334965e-07
1805,5.344610372048919e-07,2.842877711017877e-09,7.391481915419718e-08
1806,5.532804721042339e-07,1.729001475325731e-08,9.797675204481493e-08
1807,6.320240117929643e-07,0.0,5.693910054560547e-08
1808,8.135205575854343e-07,2.2660739951163578e-09,6.798222074166915e-08
1809,7.545161793132138e-07,4.518061036407062e-09,1.3328279635516083e-07
1810,6.59915770029329e-07,4.680253518074551e-09,4.680253340438867e-08
1811,6.919531756466313e-07,0.0,3.008491944456182e-08
1812,8.1883291613849e-07,5.3344164641089264e-09,7.468182872116813e-08
1813,7.678229962948535e-07,8.627225156487839e-09,5.463909147351842e-08
1814,7.520558256146614e-07,9.440030979135372e-09,1.4160046646338742e-07
1815,5.745085900343838e-07,2.697223555614414e-09,1.4834729711310501e-07
1816,1.2329652463449747e-06,6.952811659743929e-09,7.184571870766376e-08
1817,6.554437277372926e-07,1.556873407970727e-09,1.4478922594207688e-07
1818,8.034873530959885e-07,0.0,2.1100484559610777e-07
1819,7.980659688655578e-07,2.070210003424222e-09,2.1116142079335987e-07
1820,7.001223707447934e-07,4.746592452420373e-09,1.59010852485153e-07
1821,6.666365948149178e-07,9.86148829262845e-10,1.7356219927933125e-07
1822,6.677059900539462e-07,2.0051231786055723e-09,1.223125138949399e-07
1823,7.678847850911552e-07,1.9765373782121287e-09,1.3143973376372742e-07
1824,5.962147611171531e-07,1.6842225392110777e-09,1.19579794954916e-07
1825,7.017937946329766e-07,1.7610886082763955e-09,1.382454541953848e-07
1826,7.460362780875585e-07,0.0,1.3300056878051691e-07
