year,durent_VERB aller_VERB
1800,3.144164484325529e-09
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,0.0
1805,5.685755422035754e-09
1806,4.034336598124355e-08
1807,2.8469551160981155e-09
1808,0.0
1809,1.581321384946932e-08
1810,0.0
1811,7.521229861140455e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,2.6626018723163725e-08
1822,4.010246357211145e-09
1823,0.0
1824,8.421112696055388e-09
1825,2.641632912414593e-09
1826,0.0
1827,3.6869092223668076e-09
1828,4.586150570418113e-09
1829,2.8291481157793896e-08
1830,1.0436835395921662e-08
1831,4.677361609140007e-09
1832,0.0
1833,1.0425265983826648e-08
1834,2.0535967593104942e-08
1835,1.5882484660778573e-08
1836,8.736974699274924e-09
1837,5.5663127440652715e-09
1838,1.5780404538645598e-08
1839,9.788065469251706e-09
1840,9.554533164646273e-09
1841,8.346713542550788e-09
1842,2.750388716776797e-08
1843,7.678984559333912e-09
1844,3.512679214168202e-08
1845,1.9530798311961917e-08
1846,4.156695965207291e-08
1847,2.426950729272903e-08
1848,3.861706332486392e-08
1849,3.4355601030711114e-08
1850,3.733947906425783e-08
1851,3.289213879043018e-08
1852,2.6042181744401205e-08
1853,2.09017620989016e-08
1854,3.16935526711859e-08
1855,4.776243400783642e-08
1856,4.193523395201737e-08
1857,3.3194261561675376e-08
1858,4.0128142586581816e-08
1859,1.476730293603623e-08
1860,5.355305177090486e-08
1861,2.0278644541349422e-08
1862,3.5692092836825395e-08
1863,3.146611149418277e-08
1864,3.1165733105353866e-08
1865,4.424433797112215e-08
1866,4.379051787850585e-08
1867,2.717574432153924e-08
1868,5.0386717020955984e-08
1869,2.7347706321734222e-08
1870,4.0711746862598375e-08
1871,7.116188527334089e-08
1872,3.38650991693612e-08
1873,5.566984029314881e-08
1874,6.930546447847519e-08
1875,5.3210200690045895e-08
1876,4.111290152764013e-08
1877,3.3398006138440905e-08
1878,2.536417298415472e-08
1879,4.032154521382836e-08
1880,5.326812413386506e-08
1881,3.137628468152798e-08
1882,4.326000180299161e-08
1883,5.434631589196215e-08
1884,3.8289840631478e-08
1885,3.480643329112354e-08
1886,4.130216879616455e-08
1887,3.3297514079322355e-08
1888,3.1703073943845084e-08
1889,3.132568338060082e-08
1890,3.47382496102e-08
1891,2.2309770031370135e-08
1892,5.0774950466347946e-08
1893,3.94138659487453e-08
1894,3.7179081147087345e-08
1895,4.4537745935713247e-08
1896,3.715128116255073e-08
1897,2.680288169187861e-08
1898,3.960848360406999e-08
1899,4.477338677588705e-08
1900,4.56812685456498e-08
1901,6.035838140405758e-08
1902,3.093478895266344e-08
1903,6.156250975664079e-08
1904,3.7622378101787035e-08
1905,3.509316215399849e-08
1906,5.19562632916859e-08
1907,4.6285588695127444e-08
1908,2.9959473124563374e-08
1909,3.740668930163338e-08
1910,3.20649036211762e-08
1911,5.054355511902031e-08
1912,4.688478938419394e-08
1913,3.1287640922528226e-08
1914,3.8171439342704616e-08
1915,2.0027295377644805e-08
1916,5.6036057571873243e-08
1917,4.934890895924582e-08
1918,3.9053681177847466e-08
1919,3.775218004875569e-08
1920,1.817335615328375e-08
1921,3.256281289054641e-08
1922,5.090775445637519e-08
1923,4.0340601970001444e-08
1924,4.640984840875717e-08
1925,3.519416935660047e-08
1926,2.6750733184144337e-08
1927,3.2332753363562006e-08
