year,devraient_VERB appliquer_VERB
1916,1.2086208478478966e-08
1917,8.773139548168274e-09
1918,8.040463406189247e-09
1919,9.207848372660976e-10
1920,3.786115865267448e-09
1921,6.058197943303867e-09
1922,7.377935595798135e-09
1923,9.554353752605493e-09
1924,5.156649773851996e-09
1925,1.0998177923937646e-09
1926,2.229227691330493e-09
1927,1.7838759802657478e-08
1928,6.8556245125250825e-09
1929,1.7824650200282122e-08
1930,1.7856125467119455e-08
1931,1.2545892325022123e-08
1932,7.6716757391182e-09
1933,6.882397318719313e-09
1934,2.2765002327673756e-08
1935,5.98414207075848e-09
1936,4.849885826274658e-09
1937,8.813782592653752e-09
1938,6.482607339819424e-09
1939,1.070583532936098e-08
1940,1.5214697057785997e-08
1941,1.4757512545315876e-08
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,1.9606536838523425e-08
1946,8.352662561605939e-09
1947,4.7683483828109274e-09
1948,1.0871888278529696e-08
1949,2.0615717133409817e-08
1950,9.571825110299415e-09
1951,1.1727541604500402e-08
1952,2.003512733494972e-08
1953,5.386913581872932e-09
1954,1.172704333640695e-08
1955,8.447047505910632e-09
1956,1.744228228517386e-08
1957,1.6786572132332367e-08
1958,1.6544486669545222e-08
1959,1.705164542897819e-08
1960,1.591791587429725e-08
1961,2.431855783413539e-08
1962,6.976152100435229e-09
1963,5.819448034571906e-09
1964,1.764350798794112e-08
1965,1.3132904541635071e-08
1966,1.273987226824147e-08
1967,1.035370456037299e-08
1968,1.5719955115400808e-08
1969,9.991866889436096e-09
1970,1.2876429700270364e-08
1971,1.644287195290417e-08
1972,2.0007572487656944e-08
1973,1.2129047988196362e-08
1974,1.7439271360331077e-08
1975,2.4559364319998167e-08
1976,9.712995741040231e-09
1977,7.052138428775834e-09
1978,1.3663360221016774e-08
1979,1.1703946256602649e-08
1980,1.2507331170752423e-08
1981,6.325549417596221e-09
1982,1.4277254933858785e-08
1983,1.4525227243211702e-08
1984,2.203623239438457e-08
1985,1.6242006850575308e-08
1986,1.1988970705090196e-08
1987,6.721898593298192e-09
1988,1.4391728697660255e-08
1989,1.2073869015694072e-08
1990,1.5801088437683575e-08
1991,8.20605094986604e-09
1992,1.2672871640972971e-08
1993,2.049506697687775e-08
1994,2.320967773528082e-08
1995,1.626735190995987e-08
1996,1.3345230698291743e-08
1997,2.2536003285722472e-08
1998,1.5734826774860267e-08
1999,1.8737825513426287e-08
2000,1.767212509662386e-08
2001,2.1467938537966802e-08
2002,1.445803121669087e-08
2003,2.4584844382502524e-08
2004,1.8500124099318782e-08
2005,2.7472871977352042e-08
2006,2.182481573242967e-08
2007,1.917350189728495e-08
2008,1.1069342775726909e-08
2009,1.7642312499788204e-08
2010,1.7005655550406118e-08
2011,1.9502257586623273e-08
2012,8.510632198976964e-09
2013,1.5061274893923837e-08
2014,7.145969149746634e-09
2015,7.093041265449074e-09
2016,7.042556315894899e-09
2017,5.7859059765519305e-09
2018,1.0325866384164328e-08
2019,6.377469219387422e-09
