year,pourrait_VERB amener_VERB,pourrait_VERB ramener_VERB
1800,7.860410988769218e-08,2.2009151834367913e-08
1801,4.7623650800687756e-08,3.095537337571841e-08
1802,4.699464284385613e-08,6.713520406265161e-09
1803,1.950339267864365e-08,1.755305234496518e-08
1804,1.1370514130248921e-07,4.2021465418429216e-08
1805,1.9900143755080535e-08,4.8328921309348516e-08
1806,5.187004603612877e-08,0.0
1807,5.4092147649953404e-08,2.8469551160981155e-09
1808,1.155697759713803e-07,3.3991110370834576e-08
1809,1.0391540428145163e-07,4.518061036407062e-09
1810,9.828532654410083e-08,1.8721014072298203e-08
1811,1.178326058948187e-07,1.504245972228091e-08
1812,7.20146218213813e-08,3.200649700829672e-08
1813,7.189353823378042e-08,2.8757416448144113e-09
1814,7.237357380063258e-08,8.181360300341112e-08
1815,1.5643897199879575e-07,2.1577788444915313e-08
1816,1.8772591658944293e-07,2.7811246638975717e-08
1817,1.3544799060127843e-07,1.2454987263765815e-08
1818,1.1086694939876907e-07,7.867976847819591e-08
1819,1.1282644862831148e-07,3.9333990287104825e-08
1820,2.1478331291291397e-07,4.6279275522920216e-08
1821,2.1793889004584344e-07,4.536284592404627e-08
1822,1.804610860745015e-07,2.5064039732569654e-08
1823,1.7591182199794275e-07,7.510841726343642e-08
1824,1.9958037000833428e-07,4.126345132249298e-08
1825,1.1182912373897125e-07,5.899646993157148e-08
1826,1.8232528020689642e-07,2.2019960965735663e-08
1827,1.8711064342369355e-07,2.3043183361437514e-08
1828,2.2105245989223476e-07,8.071624790773058e-08
1829,1.8432328374728968e-07,4.543783305166471e-08
1830,1.982998867333663e-07,2.7135772739939057e-08
1831,1.808579952466971e-07,3.741889287312006e-08
1832,3.220132782644214e-07,3.5177919244233635e-08
1833,2.5947326776076807e-07,3.1275796175123105e-08
1834,2.6790104357132805e-07,2.0535967593104942e-08
1835,2.299178731846041e-07,2.2689263801112247e-08
1836,2.419469922188e-07,1.8818100855355624e-08
1837,2.1360725099839328e-07,3.965997663613052e-08
1838,2.638483636019373e-07,5.428459104450667e-08
1839,2.6218032189717633e-07,4.4046291947097416e-08
1840,2.7899235988115834e-07,7.579929217627068e-08
1841,2.8250414629837906e-07,3.017657945747487e-08
1842,3.045552432467957e-07,4.762868144325694e-08
1843,3.1483835982726305e-07,5.611565612184677e-08
1844,2.8430747534002876e-07,3.841993034825464e-08
1845,3.18631009577075e-07,6.138250796539069e-08
1846,2.9623777209053515e-07,5.034871009002018e-08
1847,3.4354835065641964e-07,5.716817241818717e-08
1848,3.821480447641079e-07,5.63165514222419e-08
1849,3.418801384214021e-07,6.284561493430374e-08
1850,2.844589346295834e-07,2.3761487000228954e-08
1851,3.656831779608183e-07,1.2898877521649865e-08
1852,3.37246262915869e-07,1.8880582430824688e-08
1853,3.1949835488376266e-07,3.0456853039595444e-08
1854,2.561462508765544e-07,3.792835201466005e-08
1855,2.57917150747744e-07,3.874064091746732e-08
1856,3.106313499756652e-07,3.2616291889553395e-08
1857,3.1729808824820793e-07,3.8075771868761876e-08
1858,2.6523724727667286e-07,6.214968806261822e-08
1859,3.73256312968806e-07,4.073738679721828e-08
1860,3.5244315199634e-07,6.362285631666964e-08
1861,3.574700428998767e-07,5.234719679947375e-08
1862,3.6279431014918373e-07,6.370360949858878e-08
1863,3.161594861467165e-07,3.346395871517416e-08
1864,3.6296091820986476e-07,6.32904075814622e-08
1865,3.435996518419415e-07,6.82492427017678e-08
1866,3.2745575140324945e-07,4.2330832172865485e-08
1867,2.7758082410400675e-07,5.435148864307848e-08
1868,3.650567066415533e-07,5.08807040944248e-08
1869,3.4624150657691644e-07,3.4672986259920435e-08
1870,3.497769682780927e-07,3.7271316699616364e-08
1871,4.2272284872524324e-07,8.603153389685758e-08
1872,4.299658371564874e-07,5.865918950576088e-08
1873,3.7352668869061745e-07,5.327543917132971e-08
1874,3.596714748255181e-07,4.241972462182275e-08
1875,3.547346807408758e-07,4.63443683429432e-08
1876,3.3918144026756636e-07,3.9903696347209916e-08
1877,3.469681644219236e-07,4.824156363270049e-08
1878,3.786508671055344e-07,3.985798358030479e-08
1879,3.3112542041635606e-07,4.826366861720999e-08
1880,3.587576031804929e-07,4.1074216028391675e-08
1881,4.5321300490286376e-07,2.998178416646624e-08
1882,3.3609694582992233e-07,3.128031167420886e-08
1883,3.5135525422447245e-07,4.9922778799782463e-08
1884,3.571518050193845e-07,3.1688145440966764e-08
1885,3.7384685924735095e-07,4.5119449509911647e-08
1886,3.4913239232992055e-07,3.226731948302586e-08
1887,3.2905779789871303e-07,4.6355363991779086e-08
1888,3.417591187826474e-07,3.233713385952797e-08
1889,3.558597541086783e-07,3.069916942877171e-08
1890,3.6770109090866754e-07,4.391439034634459e-08
1891,3.6970476458009216e-07,6.310477829174488e-08
1892,3.5354409533283615e-07,3.6984221907232495e-08
1893,2.9929904599157453e-07,3.633465794905533e-08
1894,3.4532436643530673e-07,4.978215883966186e-08
1895,3.6352432175590366e-07,4.213030280197927e-08
1896,3.2787480108709133e-07,7.84304887702092e-08
1897,3.0182377486198675e-07,4.3700350005337896e-08
1898,3.25355415498052e-07,3.847681284696591e-08
1899,3.4602641107994714e-07,5.859233098703953e-08
1900,3.2340261668650783e-07,2.387884379118077e-08
1901,3.057040203202632e-07,5.085752263767063e-08
1902,3.064017164433608e-07,3.83002145554201e-08
1903,3.8125554624457436e-07,5.184211460118604e-08
1904,2.950669113488402e-07,3.6009989656804464e-08
1905,3.1016162438390893e-07,3.973784501454247e-08
1906,2.623534101076075e-07,4.9384169642507914e-08
1907,2.8645638394664275e-07,3.805704196224724e-08
1908,3.1334661798609886e-07,3.58531409005991e-08
1909,3.39410689775832e-07,3.135560788791736e-08
1910,3.067542593271355e-07,4.80973554317643e-08
1911,2.6867888891501934e-07,3.8838731342139e-08
1912,3.136071597964474e-07,5.2094211611120045e-08
1913,2.895432373861695e-07,3.340883480973389e-08
1914,3.1876498951532994e-07,4.888622839871459e-08
1915,3.6166937888992834e-07,4.123266705846618e-08
1916,3.8346243513842637e-07,4.1752354462687435e-08
1917,3.7505171235352464e-07,3.3995917192441993e-08
1918,3.6756404142579413e-07,3.445912710731136e-08
1919,3.296409829545155e-07,2.301962176431971e-08
1920,2.771436697912577e-07,4.694783584113793e-08
1921,2.900362403579493e-07,2.6504615391331754e-08
1922,3.0249535143411777e-07,4.943216680430851e-08
1923,2.4416681299044285e-07,3.715581797791856e-08
1924,2.4107336571432825e-07,3.351822286390416e-08
1925,3.07948994304752e-07,3.959344141435395e-08
1926,2.307250639432823e-07,4.124071395494866e-08
1927,2.5197249442499015e-07,3.6792442870137165e-08
1928,2.4337467152690806e-07,5.3702393643106916e-08
1929,3.4312452612539346e-07,4.0105462062456354e-08
1930,2.6679151687858393e-07,6.19712636762415e-08
1931,3.569876696474239e-07,5.2464642408267537e-08
1932,3.4851325381168863e-07,4.383814555808385e-08
1933,2.8332536317066115e-07,2.523545639121494e-08
1934,2.7917081979467184e-07,5.6313425034204556e-08
1935,1.9987034249879798e-07,3.111753699158726e-08
1936,2.4855665969880647e-07,2.9099314957647948e-08
1937,2.618952521515894e-07,4.0291578073947676e-08
1938,2.139260431022194e-07,3.3709557811789637e-08
1939,2.125872953229191e-07,4.7411557346777045e-08
1940,1.7243323213733674e-07,2.7893612752905028e-08
1941,1.888961662643851e-07,5.60785480274717e-08
1942,1.6384743162234372e-07,4.247896612241675e-08
1943,1.2774235358392616e-07,4.935499831049128e-08
1944,2.0885710227958043e-07,3.855823393905666e-08
1945,2.047793827841815e-07,4.357008265287732e-08
1946,2.1160079199944448e-07,6.12528623378239e-08
1947,2.5391454983036965e-07,4.887557025767819e-08
1948,2.5005343218253984e-07,4.4574740343250596e-08
1949,2.0713888204682007e-07,3.141442661558358e-08
1950,2.1696136798254884e-07,4.1477910883713776e-08
1951,2.0576504766722792e-07,2.2388944032059044e-08
1952,2.267132828137619e-07,4.2179216563908994e-08
1953,2.811968897731276e-07,3.016671712430252e-08
1954,2.941533239209093e-07,3.127211556375187e-08
1955,2.0085201413166942e-07,2.7218263198847126e-08
1956,2.686111599814467e-07,4.971050771018781e-08
1957,2.9332323947528494e-07,2.47381048978923e-08
1958,2.0515163612344622e-07,2.5643954515430778e-08
1959,2.883278114040877e-07,2.40273188012452e-08
1960,2.180062494971935e-07,3.5296249478733444e-08
1961,2.244255483674351e-07,3.752005994783758e-08
1962,2.5050727003872453e-07,3.107558654846798e-08
1963,2.508828629288473e-07,2.4571003010009917e-08
1964,2.251068309533366e-07,3.285342842218597e-08
1965,2.013711934978346e-07,3.775710055720083e-08
1966,2.077153027357781e-07,3.26805427164345e-08
1967,1.9967859543612576e-07,5.127548874384047e-08
1968,2.0660512234371708e-07,4.311759127517689e-08
1969,2.8249732508811576e-07,3.633406109315729e-08
1970,3.0259610639404855e-07,5.150571880108146e-08
1971,1.9166222386957088e-07,3.5454942093338104e-08
1972,2.0828396429806162e-07,4.001514497531389e-08
1973,2.183228673402482e-07,3.9695066789136035e-08
1974,2.1433427832562302e-07,2.4752514704573514e-08
1975,1.9875950840742007e-07,3.8838066984681063e-08
1976,2.1025779517458432e-07,3.199575004941835e-08
1977,1.9804754458618845e-07,2.7620874476497193e-08
1978,1.7227715431999968e-07,4.6930672681355645e-08
1979,2.3700492590705835e-07,2.63338808537128e-08
1980,1.9670621043132996e-07,2.785723829390463e-08
1981,1.9925481353766372e-07,3.479052068655619e-08
1982,2.042268221202903e-07,3.041676066573018e-08
1983,1.9324866684655717e-07,3.220811350956865e-08
1984,2.1630302171615767e-07,3.7113654371978555e-08
1985,2.0091964358925907e-07,2.285912081845254e-08
1986,1.912240890078465e-07,2.937297871596911e-08
1987,1.723250306895352e-07,4.0942474299754394e-08
