year,avait_VERB ajouté_VERB,avait_VERB rajouté_VERB
1800,3.74155575855184e-07,0.0
1801,5.857709197698568e-07,0.0
1802,2.842056971985585e-07,0.0
1803,3.21805970315836e-07,0.0
1804,8.082952831500734e-07,0.0
1805,5.799470272904728e-07,0.0
1806,6.541388870573428e-07,0.0
1807,1.104618604585994e-06,0.0
1808,6.005096224726003e-07,0.0
1809,7.838835927032051e-07,0.0
1810,7.090583835633879e-07,0.0
1811,8.34856564324582e-07,0.0
1812,1.0615489145493484e-06,2.6672082320544632e-09
1813,8.828527029436373e-07,0.0
1814,5.978686772323272e-07,3.1466771410748606e-09
1815,8.954781947068113e-07,0.0
1816,6.628347364312503e-07,0.0
1817,9.061002970156551e-07,0.0
1818,9.131621823144087e-07,0.0
1819,9.346998126602557e-07,0.0
1820,1.0715432381402934e-06,0.0
1821,9.703704790808843e-07,0.0
1822,9.74489921645727e-07,0.0
1823,1.0317525038772146e-06,0.0
1824,1.1048499573007575e-06,0.0
1825,9.104828109229857e-07,0.0
1826,9.776862270882702e-07,0.0
1827,1.150315711129224e-06,0.0
1828,1.0731592965385062e-06,0.0
1829,1.371708208353084e-06,0.0
1830,9.91499405245122e-07,0.0
1831,1.1490718634377117e-06,0.0
1832,1.0161006684938911e-06,0.0
1833,1.0066173672385048e-06,0.0
1834,8.830466526887903e-07,0.0
1835,1.067907987817307e-06,0.0
1836,9.301518275606213e-07,0.0
1837,1.1153499599458883e-06,0.0
1838,1.0718050589275663e-06,0.0
1839,8.830232900436386e-07,0.0
1840,1.1318936685711378e-06,0.0
1841,1.1890855375895626e-06,1.926164561183441e-09
1842,1.1826671197923133e-06,2.683306021822318e-09
1843,1.0709229627536843e-06,5.906910960362666e-09
1844,1.3831174783263123e-06,0.0
1845,1.3381386452238075e-06,0.0
1846,1.0707882438509841e-06,0.0
1847,1.4135639503365383e-06,0.0
1848,9.702537226985442e-07,0.0
1849,1.0524545359658077e-06,8.379414939696517e-10
1850,1.0984595064655878e-06,0.0
1851,1.1802472954514087e-06,0.0
1852,1.0527552376515814e-06,0.0
1853,1.0874888403122895e-06,0.0
1854,1.1368114201104618e-06,0.0
1855,1.3691898175238748e-06,0.0
1856,1.2187103948235745e-06,5.177189232874468e-10
1857,1.2809080089937197e-06,0.0
1858,1.198950599246018e-06,0.0
1859,1.1813841638286249e-06,0.0
1860,1.3740706208409392e-06,0.0
1861,1.2002127505184035e-06,0.0
1862,1.3816002137900796e-06,0.0
1863,1.1512601076901774e-06,0.0
1864,1.2701234481937718e-06,0.0
1865,9.907906814987655e-07,0.0
1866,1.2003466736132395e-06,0.0
1867,1.1666159025480738e-06,0.0
1868,1.121845343732275e-06,0.0
1869,1.1652076636892161e-06,0.0
1870,1.1800672155004577e-06,0.0
1871,1.0780495358631015e-06,0.0
1872,1.0945684607577277e-06,2.4189357183956872e-09
1873,1.0337829507989227e-06,5.986004469882289e-10
1874,1.0688576139727957e-06,0.0
1875,1.109976210500463e-06,6.865832347102696e-09
1876,1.1233495342821698e-06,0.0
1877,1.0538926744629862e-06,0.0
1878,1.1691676036207355e-06,0.0
1879,1.0874598501686705e-06,0.0
1880,1.0005422836911748e-06,0.0
1881,1.0605184570522397e-06,0.0
1882,1.0475575891177868e-06,0.0
1883,1.091349872694991e-06,0.0
1884,1.0364664149165037e-06,0.0
