year,voudrait_VERB apporter_VERB,voudrait_VERB rapporter_VERB
1800,1.2576657937302116e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,4.475680270843441e-09
1803,5.851017448321727e-09,1.950339223455444e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,1.4408345627714425e-08
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,3.388545621874073e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,5.0141535368197765e-09
1812,5.3344164641089264e-09,0.0
1813,8.627225156487839e-09,3.4508900625951355e-08
1814,6.608021863030444e-08,0.0
1815,8.091670444798638e-09,2.1577788444915313e-08
1816,2.3176038865813098e-09,2.3176038865813098e-09
1817,1.401186100480345e-08,3.113746815941454e-09
1818,1.5497530370112145e-08,4.768470951432846e-09
1819,2.173720581311045e-08,1.2421260464634543e-08
1820,5.933240565525466e-09,1.0679833017945839e-08
1821,1.97229765852569e-09,8.875339574387908e-09
1822,8.02049271442229e-09,9.023054303725075e-09
1823,0.0,0.0
1824,1.6842225392110777e-08,2.2737005167527968e-08
1825,6.163809906922779e-09,1.4088708866211164e-08
1826,1.2331177856594877e-08,1.5854372037438225e-08
1827,1.8434546111834038e-09,1.8434546111834038e-09
1828,1.0089530988466322e-08,0.0
1829,1.628903412154159e-08,1.714635211591542e-09
1830,2.0873671680021744e-09,3.1310507520032616e-09
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,1.8941957335982806e-08,9.470978667991403e-09
1833,1.1583628278799551e-08,3.4750886612755494e-09
1834,8.401078055442213e-09,8.401078055442213e-09
1835,9.075705520444899e-09,7.563087933704082e-09
1836,1.8146025126952736e-08,2.688300027031687e-09
1837,1.461157062010443e-08,1.530736071231331e-08
1838,6.943378316748294e-09,1.8936485712828244e-09
1839,4.194885327990505e-09,9.788065469251706e-09
1840,1.0191501864653674e-08,8.917564464638872e-09
1841,1.4125206782011901e-08,1.0914932957462042e-08
1842,2.0124794275488966e-08,1.0733224087289273e-08
1843,2.126487963494128e-08,7.678984559333912e-09
1844,1.975882035765153e-08,1.097712254427563e-09
1845,2.5669049108500985e-08,1.1718478631905782e-08
1846,2.2832555401919308e-08,9.952652035849496e-09
1847,4.853901280910122e-09,5.393223645455691e-10
1848,1.609044275596716e-08,9.65426583121598e-09
1849,1.5920887719289567e-08,7.54147322368226e-09
1850,1.0862393651223101e-08,4.073397619208663e-09
1851,5.8044946626978344e-09,4.514607354622058e-09
1852,1.8880582430824688e-08,4.557382027314816e-09
1853,1.1943863675867306e-08,1.7915795513800958e-09
1854,2.234135720868835e-08,6.754363734984281e-09
1855,1.8043586180738203e-08,1.5920811335945473e-09
1856,9.318940286107136e-09,1.1389816201301528e-08
1857,2.1966791052818735e-08,7.322263684272912e-09
1858,6.361778659424999e-09,4.893676019968041e-10
1859,1.8331824946926645e-08,6.110608019582742e-09
1860,1.5104706818647173e-08,5.034902272882391e-09
1861,1.0375120318428799e-08,8.017138064531082e-09
1862,2.981871105589562e-08,8.584174260306554e-09
1863,2.4973104473247076e-08,1.4983863039219614e-09
1864,1.8699438442126848e-08,2.9247839705703882e-08
1865,8.943004559114343e-09,8.47231973466478e-09
1866,1.0217787504984699e-08,3.8924903300596725e-09
1867,4.85281148598915e-09,3.396968040192405e-09
1868,8.397785578040384e-09,8.89177353968762e-09
1869,2.783605879130846e-08,1.0255390314739543e-08
1870,1.8922360567330543e-08,6.880858549607183e-09
1871,8.496941816815706e-09,2.1242354542039266e-09
1872,1.69325495846806e-08,0.0
1873,1.855661402316855e-08,4.190203295451056e-09
1874,3.0470506118263074e-08,5.974609251779839e-09
1875,2.460256709468922e-08,0.0
1876,2.9020871039620033e-08,1.269663130187837e-08
1877,2.040989244278535e-08,1.793596560162314e-08
1878,1.509772218355465e-08,6.039088673581716e-10
1879,9.163987790827832e-09,2.443730107160036e-09
1880,1.3477476912271413e-08,2.5671385017744797e-09
1881,1.324776466304911e-08,6.972507571312292e-10
1882,1.3310770263785798e-08,1.0648616211028639e-08
1883,1.4534479397809719e-08,0.0
1884,9.902545450302114e-09,0.0
1885,1.5469526104539e-08,3.2228177904158883e-09
1886,1.871504551331782e-08,5.162771099520569e-09
1887,1.697520346510828e-08,3.9173548849191775e-09
1888,2.599652049184442e-08,9.510921827882157e-09
1889,1.0024218788373673e-08,1.8795409673089125e-09
1890,1.7696843102044113e-08,6.554386478008212e-10
1891,3.059625441892422e-08,7.0116419337296065e-09
1892,1.2537024751679837e-08,1.2537024751679837e-09
1893,2.278614097406262e-08,1.1085149687062312e-08
1894,1.3863386882917439e-08,5.671385139294216e-09
1895,1.444467478961542e-08,3.611168697403855e-09
1896,2.8305738197786923e-08,2.358811590497112e-09
1897,1.806281169081103e-08,5.826713556089658e-10
1898,2.26334195829736e-09,1.6975064687230201e-09
1899,1.9346524382513053e-08,1.326618814800895e-08
1900,1.557315876254961e-08,2.07642125715779e-09
1901,1.956058603980182e-08,3.353243460679778e-09
1902,1.915010727771005e-08,9.820567692386817e-10
1903,1.4040573148577096e-08,1.0800440541913758e-09
1904,2.042357571951925e-08,2.6873125946735854e-09
1905,1.5482276793932215e-08,4.64468330463319e-09
1906,7.716276506641861e-09,5.144184633820714e-09
1907,1.7485668024619372e-08,8.228549397415463e-09
1908,1.3260750719723546e-08,2.9468334439286537e-09
1909,1.320236009405562e-08,0.0
1910,7.481810726517324e-09,4.275320542035388e-09
1911,1.4897047151407605e-08,0.0
1912,1.3544495303108306e-08,1.0418842455450772e-09
1913,1.2196876397752021e-08,1.060597942803554e-09
1914,1.1384464038144415e-08,6.027069510139427e-09
1915,1.6493066468115103e-08,0.0
1916,2.307367097387214e-08,0.0
1917,1.973956464951243e-08,0.0
1918,2.067547733020092e-08,1.1486376294556067e-09
1919,2.1178051312631396e-08,5.524709134618888e-09
1920,1.0601124422748853e-08,3.786115865267448e-09
1921,1.5902768879527684e-08,3.0290989716519334e-09
1922,8.115729421831475e-09,8.853522359686394e-09
1923,6.369568872344189e-09,8.492758496458919e-09
1924,2.1915761649893284e-08,6.445812328337297e-09
1925,1.7597084678300234e-08,1.0998177923937646e-09
1926,1.7833821530643945e-08,4.458455382660986e-09
1927,1.5608915049369898e-08,1.0034302277972529e-08
1928,1.2568645679778001e-08,7.998228745975666e-09
1929,2.785101571589621e-08,4.4561625500705304e-09
1930,1.3654684494213143e-08,0.0
1931,2.737285598186645e-08,4.5621426636444085e-09
1932,1.753525857850491e-08,0.0
1933,1.605892663292252e-08,5.735331320977366e-09
1934,1.0783422155213884e-08,5.990790086229936e-09
1935,3.590485420090772e-08,7.180970484910176e-09
1936,2.5461901032031165e-08,2.424942913137329e-09
1937,1.6368453259474336e-08,6.295559185076627e-09
1938,2.074434313215079e-08,5.186085783037697e-09
1939,1.3764645423464117e-08,0.0
1940,1.7750480196809804e-08,2.5357829169792012e-09
1941,1.7709016475464523e-08,0.0
1942,1.517105907566929e-08,3.034211770724937e-09
1943,5.806470415592457e-09,2.9032352077962287e-09
1944,1.2852744646352221e-08,3.2131861615880553e-09
1945,2.3963544037997053e-08,0.0
1946,8.352662561605939e-09,2.7842208538686464e-09
1947,2.7418003867296648e-08,5.960435700558264e-09
1948,1.7395020535104777e-08,3.2615663503321457e-09
1949,1.47255123650325e-08,1.9634016634739737e-09
1950,2.5524867552917385e-08,1.0635361480382244e-09
1951,2.4521224162299404e-08,2.1322803522849654e-09
1952,1.8980646387944944e-08,3.1634410646574906e-09
1953,1.8315507332999914e-08,3.232148326759443e-09
1954,1.9545073115523337e-08,0.0
1955,1.595553378308523e-08,0.0
1956,3.401245152190313e-08,8.72114158667614e-10
1957,1.5903067307476704e-08,8.835037701437898e-10
1958,2.2335056470978998e-08,0.0
1959,2.4802393028267034e-08,3.100299128533379e-09
1960,2.353083417006019e-08,1.3841666701708277e-09
1961,2.431855783413539e-08,3.47407969059077e-09
1962,1.331810839388936e-08,1.2683912808952869e-09
1963,3.103705381590771e-08,1.2932106496776896e-09
1964,2.6769461314302134e-08,6.083968329129164e-10
1965,2.6265809083270142e-08,0.0
1966,2.0494576702390077e-08,5.539074754423723e-10
1967,2.8102911997507363e-08,4.930335584241163e-10
1968,2.4253646202510026e-08,2.6948494546985557e-09
1969,2.2708789515490935e-08,4.541757636644661e-09
1970,3.219107469476512e-08,9.197450023812337e-10
1971,2.1067430466814585e-08,5.138397485282553e-10
1972,1.7955514408640738e-08,5.130146862875051e-10
1973,2.7566018800939673e-08,0.0
1974,2.5315072704756858e-08,2.2502286700643026e-09
1975,2.8557401776652114e-08,5.711480177694739e-10
1976,2.6853577139718254e-08,2.285410749536254e-09
1977,2.2331770210826107e-08,2.938390863960194e-09
1978,3.5643548557118265e-08,5.940591352171509e-10
1979,3.2771051650115623e-08,2.3407893401383717e-09
1980,2.785723829390463e-08,1.7055452605774235e-09
1981,2.4037088763861902e-08,0.0
