year,devront_VERB appliquer_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,1.1387820464392462e-08
1808,9.064295980465431e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,6.227493631882908e-09
1818,5.960588467246453e-09
1819,1.035105001712111e-09
1820,1.1866481131050932e-09
1821,1.97229765852569e-09
1822,2.0051231786055723e-09
1823,9.882686891060644e-10
1824,1.1789557774477544e-08
1825,0.0
1826,9.688783109140786e-09
1827,1.013900075008678e-08
1828,1.8344602503717056e-09
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,0.0
1832,1.488296597074168e-08
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,3.025235173481633e-09
1836,1.3441500135158435e-09
1837,1.3915781860163179e-09
1838,1.2624323808552163e-09
1839,6.9914751765765e-10
1840,6.369688665408546e-10
1841,8.346713542550788e-09
1842,1.1404051036834062e-08
1843,9.451057714215949e-09
1844,1.6465684371524958e-09
1845,8.37034175305007e-09
1846,2.3418005312692003e-09
1847,9.707802561820245e-09
1848,8.045221711050488e-10
1849,3.3517659758786067e-09
1850,7.467895635215882e-09
1851,7.739326512989919e-09
1852,8.463708844885787e-09
1853,7.166318205520383e-09
1854,1.1950028522278444e-08
1855,4.776243400783642e-09
1856,5.694908100650764e-09
1857,6.8341128311999455e-09
1858,4.893676130990343e-09
1859,2.036869339860914e-09
1860,4.57718396518203e-09
1861,1.0846716413936974e-08
1862,8.132375661773494e-09
1863,1.9978483312144135e-09
1864,5.753673537611803e-09
1865,1.4120533631256649e-09
1866,6.3252967308358166e-09
1867,4.85281148598915e-10
1868,6.421836395986702e-09
1869,1.0255390314739543e-08
1870,1.0894693147633916e-08
1871,9.559059321873065e-09
1872,1.2094679036067646e-08
1873,1.97538145840781e-08
1874,1.3741600746186577e-08
1875,4.005069165202713e-09
1876,6.04601479992084e-09
1877,1.4225077116236662e-08
1878,1.3889904337816006e-08
1879,1.221865097988939e-08
1880,1.4761046607247863e-08
1881,6.9725074602899895e-09
1882,7.986462158271479e-09
1883,1.0110942305630033e-08
1884,1.1883054540362536e-08
1885,4.511945039809007e-09
1886,7.744156427236248e-09
1887,1.1752064210668323e-08
1888,6.340614699951175e-09
1889,6.265136853755848e-09
1890,1.0487018364813139e-08
1891,1.211101796627645e-08
1892,1.8805536683430546e-08
1893,2.278614097406262e-08
1894,1.9534772022211655e-08
1895,1.5648398132839247e-08
1896,9.435246361988447e-09
1897,9.905413378419325e-09
1898,9.619203211741478e-09
1899,1.6029977345510815e-08
1900,2.2321527737290126e-08
1901,1.2854099118442264e-08
1902,1.7677022512430085e-08
1903,2.430099144135056e-08
1904,1.5048950530172078e-08
1905,2.3223416079076742e-08
1906,1.800464666246171e-08
1907,2.262851062084792e-08
1908,1.7680999775393502e-08
1909,1.5952851484257735e-08
