year,veut_VERB éveiller_VERB,veut_VERB réveiller_VERB
1800,0.0,1.2576657937302116e-08
1801,0.0,1.1905912700171939e-08
1802,0.0,3.3567602031325805e-08
1803,0.0,3.900678446910888e-09
1804,0.0,4.449331569844617e-08
1805,0.0,8.528632911009026e-09
1806,0.0,2.0171682990621775e-08
1807,0.0,1.4234775136401367e-08
1808,0.0,4.305540457494317e-08
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,0.0,3.2761775514700275e-08
1811,5.0141535368197765e-09,3.008491944456182e-08
1812,0.0,0.0
1813,3.4508900625951355e-08,5.463909147351842e-08
1814,0.0,5.97868634599763e-08
1815,5.394447111228828e-09,3.506390555685357e-08
1816,0.0,4.6352077731626196e-09
1817,0.0,1.556873407970727e-09
1818,0.0,4.530047448270125e-08
1819,5.175524897538253e-09,4.0369094733705424e-08
1820,2.3732962262101864e-09,6.40789963313182e-08
1821,9.86148829262845e-10,2.6626018723163725e-08
1822,0.0,3.208197085768916e-08
1823,1.4824030003524058e-08,6.917880934764753e-09
1824,5.894778887238772e-09,1.8526447931321854e-08
1825,0.0,2.905796137042671e-08
1826,1.3211976401805714e-08,1.6735169694470642e-08
1827,0.0,9.217273166939322e-09
1828,0.0,2.109629271274116e-08
1829,3.429270423183084e-09,3.8579290873030914e-08
1830,0.0,1.6698937344017395e-08
1831,0.0,4.677361609140007e-09
1832,0.0,1.7588959622116818e-08
1833,0.0,1.1583628278799551e-08
1834,9.334530925997342e-10,1.0267983796552471e-08
1835,0.0,3.327758690829796e-08
1836,0.0,2.016225053580456e-08
1837,6.262101948095733e-09,1.6698937344017395e-08
1838,1.2624323808552163e-09,1.64116205070286e-08
1839,9.088918062616358e-09,2.586845759822154e-08
1840,1.9109065441114126e-09,1.9109066329292546e-08
1841,1.2841097074556274e-09,3.017657945747487e-08
1842,6.708265054555795e-10,1.408735705865638e-08
1843,1.1813822142769936e-09,6.497602011990011e-09
1844,0.0,1.920996517412732e-08
1845,0.0,2.17628883802945e-08
1846,1.7563503984519002e-09,5.854501328173001e-09
1847,1.0786447290911383e-09,1.294373674909366e-08
1848,3.218088684420195e-09,3.459445352405055e-08
1849,1.6758829879393033e-09,3.3517659758786067e-09
1850,8.82569484161877e-09,1.8330290174617403e-08
1851,3.8696632564949596e-09,2.644269869733762e-08
1852,1.9531636308300904e-09,9.765818376195057e-09
1853,2.388772735173461e-09,1.791579506971175e-08
1854,5.195664454227256e-10,2.5978321716024766e-08
1855,5.306937111981824e-09,1.6451505047143655e-08
1856,4.141751386299575e-09,1.6049286344355096e-08
1857,7.322263684272912e-09,1.9037885934380938e-08
1858,7.829881631948865e-09,2.8872689128434104e-08
1859,3.5645213447565993e-09,1.476730293603623e-08
1860,1.0527522853465143e-08,2.0597328287408345e-08
1861,8.017138064531082e-09,1.4147890858851042e-08
1862,1.1746764450037972e-08,1.8071945717679228e-08
1863,1.9978483312144135e-09,5.9935452156878455e-09
1864,4.794727948009836e-10,2.0137857603685916e-08
1865,5.6482134525026595e-09,7.0602665935837194e-09
1866,1.216403244796993e-08,1.1677471434268227e-08
1867,1.455843445796745e-09,2.1837651686951176e-08
1868,1.6301584082611953e-08,2.4699369660652337e-08
1869,6.348574999037737e-09,1.4162205630441349e-08
1870,1.3761717099214366e-08,1.7202147262196377e-08
1871,2.1242354542039266e-09,8.496941816815706e-09
1872,4.23313739617015e-09,3.265563108811875e-08
1873,1.3767810003173508e-08,2.095101514498765e-08
1874,1.7923826867161097e-09,1.2546679251101978e-08
1875,1.94531928343622e-08,8.010138330405425e-09
1876,1.209202959984168e-09,1.3301232115736639e-08
1877,6.80329748092845e-09,1.2369632429454214e-08
1878,1.2078177569208037e-08,1.268208649207736e-08
1879,3.0546627449723474e-09,1.4051448005147904e-08
1880,2.5671385017744797e-09,1.6686399817444908e-08
1881,6.2752567586699115e-09,6.2752567586699115e-09
1882,3.9932310791357395e-09,9.983077475794744e-09
1883,6.319338829996468e-09,1.8958017378167824e-09
1884,1.1883054540362536e-08,3.1027976632458376e-08
1885,1.2891271383708158e-09,6.445635580831777e-09
1886,3.872078213618124e-09,1.0325542199041138e-08
1887,3.9173548849191775e-09,3.264462256069578e-09
1888,6.974675947901687e-09,6.340614699951175e-09
1889,1.3156786771162388e-08,1.0650732740202784e-08
1890,4.5880703680722945e-09,1.3764211992395303e-08
1891,1.2748440081367107e-09,9.561330394092238e-09
1892,7.522214851007902e-09,6.268512375839919e-09
1893,5.542574843531156e-09,6.774258043407144e-09
1894,9.452309157609307e-09,2.3945849747519787e-08
1895,2.467631965430428e-08,1.023164486468886e-08
1896,9.435246361988447e-09,1.4152869098893461e-08
1897,7.574727511894253e-09,5.826713334045053e-09
1898,1.4145887128336199e-08,1.0750873968845553e-08
1899,7.185851913504848e-09,6.080336234504102e-09
1900,1.038210628578895e-09,1.1939421895590385e-08
1901,7.824234593556412e-09,1.2854099118442264e-08
1902,7.365425602756659e-09,1.4239823542538943e-08
1903,8.640352433531007e-09,2.052083658554693e-08
1904,1.1286712897629059e-08,1.1824175416563776e-08
1905,8.773290538499623e-09,1.4450125540577119e-08
1906,1.1317205839134203e-08,9.773950537805831e-09
1907,1.5942815068115124e-08,1.131425531042396e-08
1908,1.080505640516094e-08,1.3751889405000384e-08
1909,7.701377313651392e-09,1.980354014108343e-08
1910,1.4429207162436342e-08,7.481810726517324e-09
1911,9.576673676292558e-09,7.980561100850991e-09
1912,9.376957876838787e-09,3.125652625612929e-09
1913,1.484837142129436e-08,9.545381374209683e-09
1914,1.4063162190325329e-08,6.027069510139427e-09
1915,5.890381071793627e-09,3.180805663305364e-08
1916,2.197492410260793e-09,4.394984820521586e-09
1917,1.5352993543160665e-08,2.0836205649743533e-08
1918,1.9526840588923733e-08,8.040463406189247e-09
1919,8.287063479883727e-09,8.287063479883727e-09
1920,7.572231730534895e-09,6.057785384427916e-09
1921,5.300923255902035e-09,6.058197943303867e-09
1922,7.377935595798135e-09,4.426761179843197e-09
1923,1.4862327368803108e-08,1.0615948120573648e-08
1924,1.0313299547703991e-08,5.156649773851996e-09
1925,1.2097995494286806e-08,9.898360353588487e-09
1926,1.2260752413340015e-08,4.458455382660986e-09
