year,pouvait_VERB appliquer_VERB,pouvait_VERB rappliquer_VERB
1800,3.772997558826319e-08,0.0
1801,5.2386017301842e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,4.943701981119375e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,2.305335300434308e-08,0.0
1807,8.825561081948763e-08,0.0
1808,5.4385775882792586e-08,0.0
1809,1.1069249694628525e-07,0.0
1810,8.89248141788812e-08,0.0
1811,1.780024518893697e-07,0.0
1812,1.8670458246106136e-07,0.0
1813,8.91479885467561e-08,0.0
1814,1.3845379953636439e-07,0.0
1815,7.012781111370714e-08,0.0
1816,9.502176112619054e-08,0.0
1817,8.407116069975018e-08,0.0
1818,4.410835785506606e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,6.882559233645225e-08,0.0
1821,6.903042049088981e-08,0.0
1822,1.223125138949399e-07,0.0
1823,9.190898708766326e-08,0.0
1824,7.494790565942822e-08,0.0
1825,8.365170600654892e-08,0.0
1826,9.160303449107232e-08,0.0
1827,1.834237366438174e-07,0.0
1828,1.0548146178734896e-07,0.0
1829,1.8346597130403097e-07,0.0
1830,1.3254781094929058e-07,0.0
1831,6.704218691311326e-08,0.0
1832,1.7588959622116818e-07,0.0
1833,1.158362863407092e-07,0.0
1834,8.027696907220161e-08,0.0
1835,9.453859917130103e-08,0.0
1836,1.0417162599196672e-07,0.0
1837,9.74104708006962e-08,0.0
1838,1.1740620919908906e-07,0.0
1839,8.94908822601792e-08,0.0
1840,1.1274349276391149e-07,0.0
1841,1.3675767718268617e-07,0.0
1842,9.659901678560345e-08,0.0
1843,1.0750578383067477e-07,0.0
1844,1.0757580071185657e-07,0.0
1845,1.2276501593078137e-07,0.0
1846,1.3816622868034756e-07,0.0
1847,1.3213397664912918e-07,0.0
1848,1.3757329497821047e-07,0.0
1849,9.636327291673297e-08,0.0
1850,1.0455053711666551e-07,0.0
1851,1.4382248991751112e-07,0.0
1852,1.0937716155012822e-07,0.0
1853,7.942669100202693e-08,0.0
1854,7.897409659562982e-08,0.0
1855,1.0932290450682558e-07,0.0
1856,9.111852961041222e-08,0.0
1857,8.445010735158576e-08,0.0
1858,8.857553268626361e-08,0.0
1859,9.82789458703337e-08,0.0
1860,1.0024032803812588e-07,0.0
1861,6.743827896116272e-08,0.0
1862,9.939569878270049e-08,0.0
1863,1.2836176210839767e-07,0.0
1864,1.2849871211528807e-07,0.0
1865,9.696099567690908e-08,0.0
1866,1.0898973101802767e-07,0.0
1867,7.279217584255093e-08,0.0
1868,1.047253306296625e-07,0.0
1869,8.692664010823137e-08,0.0
1870,9.747883211730368e-08,0.0
1871,7.116188527334089e-08,0.0
1872,5.32165849165267e-08,0.0
1873,8.32054638522095e-08,0.0
1874,8.125468298203486e-08,0.0
1875,1.2301283902615978e-07,0.0
1876,6.590155976482492e-08,0.0
1877,1.0390490956524445e-07,0.0
1878,8.333942247418236e-08,0.0
1879,8.369775628125353e-08,0.0
1880,8.214843205678335e-08,0.0
1881,6.902782700990429e-08,0.0
1882,8.718554767028763e-08,0.0
1883,8.847074184359371e-08,0.0
1884,8.516189353713344e-08,0.0
1885,7.734762874633816e-08,0.0
1886,8.131364381824824e-08,0.0
1887,1.168677528085027e-07,0.0
1888,9.003672829521747e-08,0.0
1889,8.332632006613494e-08,0.0
1890,7.996351314432104e-08,0.0
1891,1.0071267553257712e-07,0.0
1892,9.340083551023781e-08,0.0
1893,8.744951429662251e-08,0.0
1894,7.939939195011902e-08,0.0
1895,9.027921521465032e-08,0.0
1896,8.668632744956994e-08,0.0
1897,6.118049356018673e-08,0.0
1898,8.430949094417883e-08,0.0
1899,4.698441813388854e-08,0.0
1900,7.838490034828283e-08,0.0
1901,6.371162442064815e-08,0.0
1902,5.352209342390779e-08,0.0
1903,7.2902970771338e-08,0.0
1904,1.1179220393842115e-07,0.0
1905,9.805442147126087e-08,0.0
1906,6.275904951280609e-08,0.0
1907,7.097123955190909e-08,0.0
1908,6.090122184332358e-08,0.0
1909,8.196465728360636e-08,0.0
1910,7.588693762272669e-08,0.0
1911,4.4691141454222816e-08,0.0
1912,6.147116948795883e-08,0.0
1913,6.257528184505645e-08,0.0
1914,5.2904276515164383e-08,0.0
1915,9.424609714869803e-08,0.0
1916,8.680095220370276e-08,0.0
1917,5.9218692172180454e-08,0.0
1918,8.155327435588333e-08,0.0
1919,6.169258170984904e-08,0.0
1920,7.723676276327751e-08,0.0
1921,9.163024117242458e-08,7.572747429129834e-10
1922,7.009038682781465e-08,7.377935484775833e-10
1923,8.068120394000289e-08,0.0
1924,7.34822620529485e-08,0.0
1925,5.939016034517408e-08,0.0
1926,5.5730691173039304e-08,0.0
1927,5.351628118432927e-08,0.0
1928,6.055801549109674e-08,0.0
1929,6.015819309368453e-08,0.0
1930,6.932378227020308e-08,0.0
1931,6.615106684648708e-08,0.0
1932,5.041386685888938e-08,0.0
