year,ont_VERB emporté_VERB,ont_VERB remporté_VERB
1800,4.4332719539852405e-07,5.187871465750504e-07
1801,4.143257683608681e-07,6.429193035728531e-07
1802,3.065840985527757e-07,5.326059522303694e-07
1803,2.2623935080900992e-07,6.709166768814612e-07
1804,3.9796799455871223e-07,3.4605912446750153e-07
1805,2.9850215810256486e-07,5.913185532335774e-07
1806,2.564685530614952e-07,4.725937401417468e-07
1807,3.6156330907033407e-07,3.3024679169102455e-07
1808,3.308468023988098e-07,2.6966279165208107e-07
1809,4.2921578824461903e-07,4.789144441019744e-07
1810,3.3463811632827856e-07,4.212228077449254e-07
1811,3.6603321973416314e-07,3.6603321973416314e-07
1812,3.3873544680318446e-07,2.960601079848857e-07
1813,3.163315795973176e-07,3.307102929284156e-07
1814,3.3984113656515547e-07,4.4368147200657404e-07
1815,2.0498899289123074e-07,3.2906126534726354e-07
1816,3.6849903040092613e-07,2.1785476178592944e-07
1817,3.7053587220725603e-07,2.537703664984292e-07
1818,4.4465991777542513e-07,2.491526061021432e-07
1819,4.388845127323293e-07,2.3703904616922955e-07
1820,2.646225425451121e-07,3.4056802178383805e-07
1821,4.1122405036730925e-07,3.372628896158858e-07
1822,4.080425810570887e-07,3.358581466272881e-07
1823,3.271169362051296e-07,2.5694984628898965e-07
1824,3.831606250059849e-07,3.28423396922517e-07
1825,3.856784189792961e-07,2.3686641270614928e-07
1826,3.2237221603281796e-07,1.7792127948723646e-07
1827,3.8620373743469827e-07,2.590053611584153e-07
1828,4.1458801547378243e-07,2.531555196583213e-07
1829,2.4605014914413914e-07,1.3717081515096652e-07
1830,4.080802682437934e-07,2.285667051182827e-07
1831,3.2117884529725416e-07,2.2919073217053665e-07
1832,4.1807604134191934e-07,2.814233539538691e-07
1833,3.9268499563149817e-07,2.2819747869107232e-07
1834,4.5459165676220437e-07,2.688344977741508e-07
1835,4.2277662259948556e-07,2.1781693249067757e-07
1836,4.3483254330567433e-07,2.674858592399687e-07
1837,4.202566117328388e-07,1.8299253667919402e-07
1838,3.964037773585005e-07,2.3418120065343828e-07
1839,4.383655038964207e-07,1.9086726865680248e-07
1840,3.6498315125754743e-07,2.3249363323429861e-07
1841,4.205459163131309e-07,2.2343509442634968e-07
1842,4.521370726706664e-07,2.2338522853715403e-07
1843,4.560135380415886e-07,2.717179086175747e-07
1844,3.2327625376638025e-07,1.8276908519965218e-07
1845,3.6717901252814045e-07,1.61268587817176e-07
1846,3.635645384747477e-07,2.0022395119667635e-07
1847,3.7806498198733607e-07,2.718184646255395e-07
1848,4.0628370356898813e-07,1.810174836691658e-07
1849,4.474607635529537e-07,2.689792211185704e-07
1850,4.731930118850869e-07,1.8398179690848337e-07
1851,3.830966761597665e-07,1.92838214729818e-07
1852,4.3620653400466836e-07,2.070353417593651e-07
1853,4.4311732949608995e-07,2.4664078068781237e-07
1854,3.969487636368285e-07,2.3120706771351252e-07
1855,4.415371677168878e-07,2.64816151229752e-07
1856,4.058916260873957e-07,2.485050742961903e-07
1857,4.6862487579346634e-07,2.2064421045797644e-07
1858,4.516863043591002e-07,2.2315163050734554e-07
1859,4.404730020723946e-07,2.4035057322180364e-07
1860,4.68703632350298e-07,2.6410350528749404e-07
1861,5.168696475266188e-07,2.2778104380449804e-07
1862,5.313152087182971e-07,2.317727023637417e-07
1863,4.664975961077289e-07,2.657138225004019e-07
1864,4.900211934000254e-07,2.1863959887014062e-07
1865,4.2314530901421676e-07,2.0004088696623512e-07
1866,4.763435015320283e-07,1.921917061054046e-07
1867,4.585906765441905e-07,2.499197933047981e-07
1868,4.0457567251905857e-07,2.311861067028076e-07
1869,4.697945428233652e-07,2.353856274339705e-07
1870,3.509237842536095e-07,2.4427046696473553e-07
1871,4.630833245755639e-07,2.644673031682032e-07
1872,5.636120476992801e-07,2.7394446533435257e-07
1873,4.7109855927374156e-07,2.5141218884527916e-07
1874,4.170277065895789e-07,2.2763261142699776e-07
1875,4.788918204212678e-07,1.8881038954532414e-07
1876,4.328946658915811e-07,2.3639917401396815e-07
1877,4.6076880266809894e-07,2.585253184861358e-07
1878,4.444769388101122e-07,2.5907689860105165e-07
1879,4.563665925161331e-07,2.309324997895601e-07
1880,5.44875149444124e-07,2.855941545476526e-07
1881,5.891768637411587e-07,2.782030605885666e-07
1882,4.439141889633902e-07,2.8485047209869663e-07
1883,5.655808195115242e-07,2.7362736432223755e-07
1884,4.640992870008631e-07,2.389814426351222e-07
1885,4.5119449509911647e-07,2.7265039648227685e-07
1886,4.4787040565097413e-07,2.4394094566559943e-07
1887,4.916280431643827e-07,1.841156773707553e-07
1888,4.0706746062824095e-07,2.618673988763476e-07
1889,5.826577194056881e-07,2.53111522852123e-07
1890,5.092758215141657e-07,2.1432843766433507e-07
1891,4.2579790715535637e-07,2.2692223922149424e-07
1892,4.883171413894161e-07,2.382034693937385e-07
1893,4.828198711948062e-07,2.075386333899587e-07
