year,grand_ADJ emplacement_NOUN,grand_ADJ remplacement_NOUN
1800,4.7162465932615305e-08,0.0
1801,8.572257570449437e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,8.971560561121805e-08,1.950339223455444e-09
1804,8.157108055684148e-08,0.0
1805,1.02343598484822e-07,1.1371510844071508e-08
1806,6.627838899930794e-08,0.0
1807,4.839823830593559e-08,0.0
1808,4.305540457494317e-08,0.0
1809,8.810219043198231e-08,0.0
1810,1.0530570193623134e-07,0.0
1811,7.771937760026049e-08,0.0
1812,1.2535878113340004e-07,0.0
1813,1.1502966401621961e-07,0.0
1814,8.810695817373926e-08,0.0
1815,1.8610842289490392e-07,0.0
1816,7.416332437060191e-08,0.0
1817,7.317304806520042e-08,0.0
1818,8.225612191381515e-08,0.0
1819,4.45095160728215e-08,0.0
1820,3.678609061807947e-08,0.0
1821,1.972297702934611e-08,0.0
1822,3.408709403629473e-08,0.0
1823,5.237824041159911e-08,0.0
1824,1.8526447931321854e-08,0.0
1825,3.3460683113162304e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,2.3043183361437514e-08,0.0
1828,5.1364885678140126e-08,0.0
1829,5.229637523029851e-08,0.0
1830,4.279102583382155e-08,0.0
1831,3.4300654760954785e-08,0.0
1832,4.058990654698391e-08,0.0
1833,2.6642345218874652e-08,0.0
1834,3.547121707470069e-08,0.0
1835,2.4958190181223472e-08,0.0
1836,2.352262562510532e-08,0.0
1837,5.4967337348443834e-08,0.0
1838,3.408567295082321e-08,0.0
1839,7.341049013120937e-08,0.0
1840,2.229391071750797e-08,0.0
1841,3.274479887238613e-08,0.0
1842,2.817471411731276e-08,0.0
1843,3.721353891705803e-08,0.0
1844,2.4149670041495597e-08,0.0
1845,2.2320911341466854e-08,0.0
1846,2.1076203893244383e-08,0.0
1847,3.289866512545814e-08,0.0
1848,3.378993085334514e-08,0.0
1849,2.4300303991253713e-08,0.0
1850,2.2403686017469226e-08,0.0
1851,3.1602251482354404e-08,0.0
1852,2.929745512858517e-08,0.0
1853,2.5679307569248522e-08,0.0
1854,1.3508727303435109e-08,0.0
1855,3.874064091746732e-08,0.0
1856,5.021873406008126e-08,0.0
1857,5.418474913199134e-08,0.0
1858,2.8872689128434104e-08,0.0
1859,3.0043821652725455e-08,0.0
1860,2.0139609091529564e-08,1.373155145145688e-09
1861,1.4619487842537637e-08,0.0
1862,1.9427341513278407e-08,0.0
1863,2.1476870060155306e-08,0.0
1864,2.1576274988888144e-08,4.794727948009836e-10
1865,2.165148416111151e-08,0.0
1866,2.238181906477621e-08,0.0
1867,2.91168689159349e-08,0.0
1868,2.766329387782207e-08,0.0
1869,5.4695412643468444e-08,0.0
1870,3.096386436141074e-08,0.0
1871,2.442870794538976e-08,0.0
1872,8.4662747923403e-09,1.2094678591978436e-09
1873,1.9155214303623325e-08,0.0
1874,3.7042575229406793e-08,0.0
1875,3.89063856687244e-08,0.0
1876,3.748529309177684e-08,0.0
1877,3.587193120324628e-08,0.0
1878,1.509772218355465e-08,0.0
1879,2.2604503158163425e-08,0.0
1880,2.5671385017744797e-08,0.0
1881,3.2770785196589713e-08,0.0
1882,2.1962771157291172e-08,0.0
1883,3.159669503816076e-08,0.0
1884,3.3668655419205606e-08,0.0
1885,3.867381437316908e-08,0.0
1886,1.8715044514117096e-08,0.0
1887,3.264462478114183e-08,0.0
1888,3.106901047544852e-08,0.0
1889,2.631357504112586e-08,0.0
1890,3.604912635069013e-08,0.0
1891,3.824532157636895e-08,0.0
1892,2.5074049503359674e-08,0.0
1893,2.894455697344256e-08,0.0
1894,2.2685540557176864e-08,0.0
1895,2.5278181325916194e-08,0.0
1896,2.0639602027472392e-08,0.0
1897,4.661370667236042e-08,0.0
1898,1.640922953072277e-08,0.0
1899,2.7637891975018647e-08,0.0
1900,3.114631752509922e-08,0.0
1901,2.9620316865930363e-08,0.0
1902,3.879124221839447e-08,0.0
1903,2.808114629715419e-08,0.0
1904,2.9022975134296303e-08,0.0
1905,1.7030505006232488e-08,0.0
1906,2.1605574218597212e-08,0.0
1907,2.3657079850636364e-08,2.057137349353866e-09
1908,2.161011281032188e-08,0.0
1909,2.6954818821423032e-08,0.0
1910,1.9238942883248455e-08,0.0
1911,1.702519725199636e-08,0.0
1912,3.229841283314272e-08,0.0
