year,puissent_VERB amener_VERB,puissent_VERB ramener_VERB
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,5.000483582762172e-08,4.7623651688866175e-09
1802,1.1189200677108602e-08,1.5664880947952042e-08
1803,1.1702034896643454e-08,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,1.1371510844071508e-08
1806,1.4408345627714425e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,9.360507036149102e-09,9.360507036149102e-09
1811,5.0141537144554604e-08,7.521229861140455e-09
1812,8.00162425207418e-09,0.0
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,1.8880061958270744e-08,0.0
1815,5.394447111228828e-09,2.697223555614414e-09
1816,7.648093003354006e-08,0.0
1817,3.269434145636296e-08,4.0478710161551135e-08
1818,5.960588467246453e-09,2.384235475716423e-09
1819,9.315945348475907e-09,1.8631890696951814e-08
1820,2.610625848831205e-08,7.119888678630559e-09
1821,1.972297702934611e-08,0.0
1822,1.9048670196752937e-08,1.0025615893027862e-09
1823,3.261286707356703e-08,9.882686891060644e-10
1824,5.894779064874456e-08,3.3684450784221553e-09
1825,1.6730341556581152e-08,1.0566531649658373e-08
1826,7.0463874735082754e-09,8.80798456392995e-09
1827,2.488663675137559e-08,8.295545583791863e-09
1828,2.8434133270138773e-08,7.337841001486822e-09
1829,3.257806824308318e-08,1.7146351893870815e-08
1830,1.461157062010443e-08,3.1310507520032616e-09
1831,3.897801548191637e-08,9.354723218280014e-09
1832,2.4353944638733083e-08,1.6235963684607668e-08
1833,7.992703388026712e-08,9.266902800675325e-09
1834,2.8937046536725575e-08,3.827157613045529e-08
1835,4.9160071569076536e-08,4.5378527602224494e-09
1836,3.2259599436201825e-08,2.016224964762614e-09
1837,2.6439986200443855e-08,6.957891152126194e-09
1838,2.2723781967215473e-08,8.2058102535143e-09
1839,5.173691519644308e-08,9.788065469251706e-09
1840,3.184844388215424e-08,1.9109065441114126e-09
1841,2.5040138851295524e-08,1.4767261191650505e-08
1842,3.018719141323345e-08,1.408735705865638e-08
1843,3.5441466650354414e-08,3.5441467538532834e-09
1844,4.39084892889241e-08,2.195424508855126e-09
1845,4.464182268293371e-08,1.0602432709561072e-08
1846,3.3956109035671034e-08,5.269050973311096e-09
1847,3.235934187273415e-08,5.3932236454556914e-09
1848,2.654923214606697e-08,8.045221711050488e-10
1849,2.513824526317876e-08,1.005529792763582e-08
1850,3.190828223864628e-08,4.752297222410107e-09
1851,1.2898877521649865e-08,1.9348316282474798e-09
1852,4.6224872818356744e-08,7.812654523320361e-09
1853,4.299791100947914e-08,5.3747388761848924e-09
1854,1.8184826089395756e-08,5.7152309551611324e-09
1855,2.5473298137512757e-08,1.0613874223963649e-08
1856,1.0354378687793542e-08,2.5885946719483854e-09
1857,3.270611159678083e-08,2.4407544874094356e-09
1858,3.1808895073481835e-08,7.34051397444091e-09
1859,4.6338776371612767e-08,2.189634606963864e-08
1860,1.7393299245327398e-08,3.204028820036342e-09
1861,7.498382359472089e-08,6.13075279431996e-09
1862,2.0330938710344526e-08,4.066187830886747e-09
1863,4.0955889346605545e-08,5.9935452156878455e-09
