year,peut_VERB accompagner_VERB,peut_VERB raccompagner_VERB
1930,4.20144132817768e-08,0.0
1931,6.957267828511249e-08,0.0
1932,4.822195975862087e-08,2.1919073223131136e-09
1933,5.6206243215228824e-08,0.0
1934,6.709684896577528e-08,0.0
1935,9.694310421082264e-08,0.0
1936,9.33602990471627e-08,0.0
1937,8.813782415018068e-08,0.0
1938,8.427389275311725e-08,0.0
1939,7.035263394072899e-08,1.5294050470515685e-09
1940,4.3108308034334186e-08,0.0
1941,8.264207451702532e-08,0.0
1942,8.49579322448335e-08,0.0
1943,4.3548528338988035e-08,0.0
1944,7.390327994016843e-08,0.0
1945,5.8819608739213436e-08,0.0
1946,8.213451252458981e-08,0.0
1947,6.198852986472048e-08,0.0
1948,9.0236667915633e-08,0.0
1949,8.737137591197097e-08,0.0
1950,9.252764243683487e-08,0.0
1951,5.757156884556025e-08,0.0
1952,5.166953798152463e-08,0.0
1953,6.464296120611834e-08,0.0
1954,7.915754451914836e-08,9.772536113672459e-10
1955,9.197895423085356e-08,0.0
1956,7.587393469066228e-08,0.0
1957,5.3893728590992396e-08,0.0
1958,6.783239570040678e-08,0.0
1959,8.448315469422596e-08,0.0
1960,7.682125158225972e-08,0.0
1961,9.31053349972899e-08,0.0
1962,1.0020291085766075e-07,0.0
1963,7.823924619287936e-08,0.0
1964,6.023128662491217e-08,6.083968329129164e-10
1965,6.840054567192055e-08,0.0
1966,8.917910321315503e-08,0.0
1967,9.860671212891248e-08,0.0
1968,7.635406973349745e-08,4.4914158503495116e-10
1969,6.948889108571166e-08,0.0
1970,7.909807209216524e-08,0.0
1971,8.067284085200299e-08,0.0
1972,6.823095333174933e-08,0.0
1973,7.332560869599547e-08,0.0
1974,8.213334723450316e-08,0.0
1975,8.167416609694556e-08,0.0
1976,7.541855495674099e-08,0.0
1977,6.464460255983795e-08,1.1753563677885381e-09
1978,7.544551294813573e-08,0.0
1979,7.841644134032322e-08,0.0
1980,9.72160734136196e-08,5.685150683554241e-10
1981,7.527403766971474e-08,0.0
1982,8.380128235785378e-08,1.2415004579935385e-09
1983,1.0167659070248192e-07,0.0
1984,8.466552259278615e-08,5.799008495621649e-10
1985,9.324114813580309e-08,0.0
1986,1.06102390873275e-07,0.0
1987,9.593982497335674e-08,0.0
1988,1.0434003883119658e-07,0.0
1989,8.122420780409811e-08,0.0
1990,1.1278707745532301e-07,0.0
1991,9.905875941740305e-08,0.0
1992,1.2232075619067473e-07,0.0
1993,8.530379602689209e-08,0.0
1994,9.758614538668553e-08,0.0
1995,1.1983615877397824e-07,0.0
1996,1.2384373349050293e-07,5.338092190498855e-10
1997,1.2226981027652073e-07,0.0
1998,1.2873948662672774e-07,1.43043876743576e-09
1999,1.0739972822193522e-07,3.1991407301035224e-09
2000,1.4535324055486853e-07,4.4180314962005696e-10
2001,1.397606581576838e-07,0.0
2002,1.1128302901397547e-07,0.0
2003,1.3917522778683633e-07,8.333845835650777e-10
2004,1.277389429787945e-07,2.2023955992267474e-09
2005,1.4862374086987984e-07,9.007499190971657e-10
2006,1.4330257158690074e-07,8.235779835885637e-10
2007,1.5778194040194649e-07,1.1983438685803094e-09
2008,1.7327779744391592e-07,0.0
2009,1.668867355419934e-07,9.53638501499654e-10
2010,1.7950414132883452e-07,4.723793023408973e-10
2011,2.7647317324408505e-07,3.82397197240536e-10
2012,2.692763985123747e-07,1.3617010852229328e-09
2013,1.804563964924455e-07,1.1156500168141292e-09
2014,1.7583414546606946e-07,1.2992671383216248e-09
2015,1.7577443145455618e-07,1.329945265027277e-09
2016,1.6487867071646178e-07,6.214020409345267e-10
2017,1.9043177701405511e-07,1.0062445321423752e-09
2018,1.5772761230437027e-07,7.744400121190154e-10
2019,1.8851800120955886e-07,5.1019755087367e-10
