year,avaient_VERB empli_VERB,avaient_VERB rempli_VERB
1800,0.0,1.8550569791386806e-07
1801,0.0,1.5477687043130572e-07
1802,0.0,1.4098392853156838e-07
1803,0.0,8.386458461018265e-08
1804,0.0,1.6314216111368296e-07
1805,0.0,1.5920115004064428e-07
1806,0.0,1.5849180101668026e-07
1807,0.0,3.1316506010625744e-07
1808,0.0,2.3567169193938753e-07
1809,0.0,2.2364402241237258e-07
1810,0.0,1.8721013361755467e-07
1811,0.0,1.278609147448151e-07
1812,0.0,4.027484408197779e-07
1813,0.0,3.968523571984406e-07
1814,6.293354282149721e-09,8.496028414128887e-08
1815,0.0,2.778140242298832e-07
1816,0.0,1.8540831092650478e-07
1817,0.0,2.3664475179430156e-07
1818,0.0,2.8610824642782973e-07
1819,0.0,3.322687120999035e-07
1820,0.0,2.55129350534844e-07
1821,0.0,3.096507441568974e-07
1822,0.0,3.4488118672015844e-07
1823,0.0,3.1624597340851324e-07
1824,8.421112696055388e-10,4.050555162393721e-07
1825,0.0,3.6278424886404537e-07
1826,0.0,2.9242508503557474e-07
1827,2.7651818612639545e-09,4.710026644261234e-07
1828,0.0,3.549680513970088e-07
1829,0.0,3.0434773634624435e-07
1830,7.305785310052215e-09,3.0997401267995883e-07
1831,0.0,2.4945930476860667e-07
1832,0.0,3.436612132645678e-07
1833,0.0,3.4287540984223597e-07
1834,0.0,3.677805295865255e-07
1835,7.563087933704082e-10,3.736165581358364e-07
1836,6.720750067579218e-10,3.2125186066878086e-07
1837,2.7831563720326358e-09,3.3119562203864916e-07
1838,6.312161904276081e-10,3.5032499567932973e-07
1839,0.0,4.0900130215959507e-07
1840,6.369688665408546e-10,4.573436456212221e-07
1841,6.420548537278137e-10,3.614768786519562e-07
1842,2.683306021822318e-09,4.206082167002023e-07
1843,7.088293507706567e-09,4.306138237097912e-07
1844,5.488561272137815e-10,4.4182917235957575e-07
1845,1.1160455892778032e-09,4.497663610436575e-07
1846,0.0,3.9810609564483457e-07
1847,0.0,4.810755740436434e-07
1848,8.045221711050488e-10,3.419219183342648e-07
1849,8.379414939696517e-10,3.502595404825115e-07
1850,0.0,3.849360723506834e-07
1851,2.579775504329973e-09,3.0505844961226103e-07
1852,6.510545436100301e-10,3.125061880382418e-07
1853,0.0,3.7682889342249837e-07
1854,0.0,3.1329855687545205e-07
1855,0.0,4.1234901004827407e-07
1856,5.177189232874468e-10,3.8828918036415416e-07
1857,0.0,4.2566759361761797e-07
1858,8.808616946964776e-09,3.870897842261911e-07
1859,5.092173349652285e-09,3.9820795905143314e-07
1860,0.0,4.81977451727289e-07
1861,1.8863854922557266e-09,3.22571906963276e-07
1862,1.3553959066214816e-09,4.359856689006847e-07
