year,pouvaient_VERB assurer_VERB,pouvaient_VERB rassurer_VERB
1800,2.5153315874604232e-08,4.4018303668735825e-08
1801,2.6193008650921e-08,7.143547975374531e-09
1802,3.5805442166747525e-08,6.713520406265161e-09
1803,6.046051481689574e-08,1.950339223455444e-09
1804,5.19088700912107e-08,0.0
1805,6.538618890772341e-08,0.0
1806,1.2103009794373065e-07,0.0
1807,1.1672516109229036e-07,0.0
1808,2.945896149242344e-08,0.0
1809,4.292158095609011e-08,2.259030518203531e-09
1810,5.148278958699848e-08,1.1700633351097167e-08
1811,1.504245972228091e-08,0.0
1812,9.068507722531649e-08,1.600324850414836e-08
1813,5.463909147351842e-08,2.0130190847567064e-08
1814,6.922689976818219e-08,0.0
1815,1.3755840200246894e-07,2.966945977789237e-08
1816,1.0197457100957763e-07,2.3176038865813098e-09
1817,1.0586739307427706e-07,1.556873407970727e-09
1818,1.9789153782312496e-07,3.5763532135746345e-09
1819,3.726378139390363e-08,2.070209959015301e-08
1820,1.38837833674188e-07,3.5599443393152796e-09
1821,1.4890846955495363e-07,1.3806083387635226e-08
1822,1.012587205195814e-07,1.604098542884458e-08
1823,7.115534828017189e-08,1.8777104315859106e-08
1824,1.1536924660049408e-07,1.7684335773537896e-08
1825,5.0191026446100295e-08,1.1447076175841175e-08
1826,3.435113882233054e-08,3.5231937367541377e-09
1827,1.0415518403306123e-07,9.217273055917019e-10
1828,6.695779575238703e-08,6.420610709767516e-09
1829,9.087566610332942e-08,2.3147574523818548e-08
1830,1.0436836106464398e-07,1.878630406793036e-08
1831,1.2940701310526492e-07,1.5591206103948707e-09
1832,9.8768779821512e-08,2.4353944638733083e-08
1833,4.865124125785769e-08,2.3167257001688313e-09
1834,1.0174638731541563e-07,9.334530925997342e-10
1835,8.016873209726327e-08,1.5126175867408165e-09
1836,1.0148332307835517e-07,2.688300027031687e-09
1837,7.862416850912268e-08,3.478945576063097e-09
1838,1.180374269438289e-07,1.0730675015224733e-08
1839,7.480878139176639e-08,4.894032734625853e-09
1840,9.618229768193487e-08,8.917564464638872e-09
1841,1.0144466955352982e-07,1.3483152372373297e-08
1842,8.653661609514529e-08,4.695785538189057e-09
1843,9.628264763250627e-08,7.088293507706567e-09
1844,9.989181393166291e-08,1.6465684371524958e-09
1845,1.0993048960017404e-07,1.0602432709561072e-08
1846,1.0128287186716989e-07,5.854501328173001e-09
1847,8.035902965275454e-08,5.393223645455691e-10
1848,1.1424214818589462e-07,1.045878850192139e-08
1849,1.0222886004385145e-07,1.1731181359664333e-08
1850,6.177986477950981e-08,2.0366988096043315e-08
1851,6.320450296470881e-08,4.772584816237213e-08
1852,6.380334838240742e-08,1.2370036550635177e-08
1853,6.569125332589465e-08,1.7318601663873778e-08
1854,6.442623856628416e-08,3.117398783558656e-09
1855,7.80119790988465e-08,2.653468555990912e-09
1856,6.109083017236117e-08,6.212626857404757e-09
1857,8.200935042168567e-08,3.905207268672939e-09
1858,5.2851699905431815e-08,1.9574704079872163e-09
1859,5.6523123959095756e-08,6.110608019582742e-09
1860,7.369266086243442e-08,1.0527522853465143e-08
1861,6.272231445336729e-08,1.2733101684148096e-08
1862,8.674533802377482e-08,2.710791813242963e-09
1863,7.841554605647616e-08,1.4983863039219614e-09
1864,5.897515364949868e-08,1.9178911792039344e-09
1865,3.435996376310868e-08,4.706844247692743e-09
1866,6.373952743388145e-08,5.838735717134114e-09
1867,8.589476152565112e-08,9.7056229719783e-10
1868,6.026646559575966e-08,8.397785578040384e-09
1869,5.567211758261692e-08,4.395167341186834e-09
1870,5.791389412479475e-08,8.601073631098188e-09
1871,3.9298356568906456e-08,1.274541272522356e-08
1872,5.926392532273894e-08,3.628403577593531e-09
1873,5.7465641134513135e-08,1.3767810003173508e-08
1874,4.540703102406951e-08,1.0754296120296658e-08
1875,6.579756473001908e-08,8.010138330405425e-09
1876,5.8041742079240066e-08,7.859819461941697e-09
1877,6.061119961486838e-08,1.0514186854493346e-08
1878,4.589707458535486e-08,2.4156354694326865e-09
1879,5.803859082220697e-08,1.832797580370027e-09
1880,6.161132404258751e-08,0.0
1881,2.9284532132578533e-08,7.669758161910067e-09
1882,3.660461800336634e-08,4.6587693702804245e-09
1883,5.245051326596695e-08,3.159669414998234e-09
1884,3.036780782394999e-08,3.300848483434038e-09
1885,4.3185760745245716e-08,0.0
