year,voudrait_VERB ajouter_VERB,voudrait_VERB rajouter_VERB
1800,0.0,0.0
1801,2.3811825400343878e-08,0.0
1802,6.713520406265161e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,2.6672083208723052e-08,0.0
1813,2.300593315851529e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,0.0
1817,3.113746815941454e-09,0.0
1818,3.695565098382758e-08,0.0
1819,5.175524897538253e-09,0.0
1820,1.0679833017945839e-08,0.0
1821,4.339054981983281e-08,0.0
1822,3.107940926838637e-08,0.0
1823,1.7788837070042973e-08,0.0
1824,1.6000115010683658e-08,0.0
1825,8.805443041381977e-10,0.0
1826,1.5854372037438225e-08,0.0
1827,1.6591091167583727e-08,0.0
1828,5.503380862137419e-09,0.0
1829,3.0006116702452346e-08,0.0
1830,1.6698937344017395e-08,0.0
1831,3.1182413096075834e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,3.4750886612755494e-08,0.0
1834,8.401078055442213e-09,0.0
1835,5.294161553592858e-09,0.0
1836,2.016224964762614e-09,0.0
1837,3.965997663613052e-08,0.0
1838,1.2624323808552163e-08,0.0
1839,1.4682098203877558e-08,0.0
1840,1.3376346252869098e-08,0.0
1841,8.988767952189392e-09,0.0
1842,8.049918065466954e-09,0.0
1843,1.8902115428431898e-08,0.0
1844,2.140538946093784e-08,0.0
1845,1.4508592549589139e-08,0.0
1846,3.2785209214125643e-08,0.0
1847,2.2651539310913904e-08,0.0
1848,3.137636639394259e-08,0.0
1849,1.005529792763582e-08,0.0
1850,8.82569484161877e-09,0.0
1851,3.0957306051959677e-08,0.0
1852,1.1718981340891332e-08,0.0
1853,1.0152284346531815e-08,0.0
1854,1.3508727469968562e-08,0.0
1855,2.1227748447927297e-08,0.0
1856,2.5885945831305435e-08,0.0
1857,1.6597130780837688e-08,0.0
1858,1.565976326389773e-08,0.0
1859,1.4258085379026397e-08,0.0
1860,1.2816115280145368e-08,0.0
1861,2.5937801240161207e-08,0.0
1862,1.8071945717679228e-08,0.0
1863,7.991393324857654e-09,0.0
1864,1.4384183621984903e-08,0.0
1865,1.4591217123438582e-08,0.0
1866,1.751620715140234e-08,0.0
1867,1.8925964795357686e-08,0.0
1868,6.915823469455518e-09,0.0
1869,6.8369265804335555e-09,0.0
1870,2.3509599600401998e-08,0.0
1871,2.0180236148803488e-08,0.0
1872,1.9351485747165498e-08,0.0
1873,6.584604861359367e-09,0.0
1874,8.364453130127458e-09,0.0
1875,1.6592428764283795e-08,0.0
1876,2.1765654167893445e-08,0.0
1877,2.040989244278535e-08,0.0
1878,1.69094480639842e-08,0.0
1879,1.4051448005147904e-08,0.0
1880,1.6686399817444908e-08,0.0
1881,6.9725074602899895e-09,0.0
1882,2.728707926280549e-08,0.0
1883,1.3902545781263598e-08,0.0
1884,1.1222884843675729e-08,0.0
1885,1.4824961702686323e-08,0.0
1886,2.5813855941692054e-08,0.0
1887,2.8727267675776602e-08,0.0
1888,1.8387781963724592e-08,0.0
1889,5.012109394186837e-09,0.0
1890,9.176140736144589e-09,0.0
1891,1.2748440525456317e-08,0.0
1892,5.641661360300532e-09,0.0
1893,3.695050043717174e-09,0.0
1894,1.827446460822557e-08,0.0
1895,1.2037228991346183e-08,0.0
1896,3.184395680477792e-08,0.0
1897,2.4472196713531957e-08,0.0
1898,1.1882545614128048e-08,0.0
1899,9.39688327150634e-09,0.0
1900,2.699347589896206e-08,0.0
1901,1.2295225282343836e-08,0.0
1902,1.1293653123800595e-08,0.0
1903,1.8900770726304472e-08,0.0
1904,1.5586412160928376e-08,0.0
1905,1.4966200723165457e-08,0.0
1906,1.594697174311932e-08,0.0
1907,2.674278576364486e-08,0.0
1908,1.7680999775393502e-08,0.0
1909,1.265226234892225e-08,0.0
1910,1.1757131268552712e-08,0.0
1911,1.4365010514438836e-08,0.0
1912,3.80287765722187e-08,0.0
1913,1.1666577037772186e-08,0.0
1914,1.4732836284281348e-08,0.0
1915,2.3561524287174507e-08,0.0
1916,5.493730803607377e-09,0.0
1917,1.0966424213165737e-08,0.0
1918,2.412139110674616e-08,0.0
1919,1.8415697411455767e-08,0.0
1920,2.6502810612782923e-08,0.0
1921,2.574734203619755e-08,0.0
1922,2.0658220023506146e-08,0.0
1923,2.1231896241147297e-08,0.0
1924,9.02413699321869e-09,0.0
1925,2.969508017258704e-08,0.0
1926,2.0063049888108253e-08,0.0
1927,1.7838759802657478e-08,0.0
1928,4.1133748851507335e-08,0.0
1929,1.893869061575515e-08,0.0
1930,2.10072066408884e-08,0.0
1931,2.5091784650044247e-08,0.0
1932,2.9590749406338546e-08,0.0
1933,2.1794258842078307e-08,0.0
1934,2.2765002327673756e-08,0.0
1935,2.5133395809007197e-08,0.0
1936,1.6974599503782883e-08,0.0
1937,8.813782592653752e-09,0.0
1938,2.463390735840676e-08,0.0
1939,2.2941076593951948e-08,0.0
1940,1.7750480196809804e-08,0.0
1941,8.854508237732261e-09,0.0
1942,6.068423541449874e-09,0.0
1943,1.4516175816936538e-08,0.0
1944,1.927911696952833e-08,0.0
1945,6.535512397931598e-08,0.0
1946,1.6705325123211878e-08,0.0
1947,1.4305045148432782e-08,0.0
1948,2.391815279167986e-08,0.0
1949,1.570721330779179e-08,0.0
1950,2.8715476219076663e-08,1.0635361480382244e-09
1951,1.7058242818279723e-08,2.1322803522849654e-09
1952,1.7926167217297007e-08,0.0
1953,3.44762476345295e-08,0.0
1954,3.615838295445428e-08,0.0
1955,1.783265446420046e-08,0.0
1956,1.0465369904011368e-08,0.0
1957,3.710716001137371e-08,0.0
