year,puissent_VERB ouvrir_VERB,puissent_VERB rouvrir_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,2.2378401354217203e-08,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,1.421438877713399e-08,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,9.064295980465431e-09,0.0
1809,1.581321384946932e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,1.0028307073639553e-08,0.0
1812,1.0668832928217853e-08,2.6672082320544632e-09
1813,2.8757416448144113e-09,0.0
1814,1.2586708564299443e-08,0.0
1815,8.091670444798638e-09,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,7.152706427149269e-09,0.0
1819,9.315945348475907e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,2.6626018723163725e-08,0.0
1822,3.0076847679083585e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,1.6730341556581152e-08,0.0
1826,8.807984341885344e-10,0.0
1827,3.133872894522938e-08,0.0
1828,1.6510142586412258e-08,0.0
1829,1.5431716349212365e-08,0.0
1830,6.262101504006523e-09,0.0
1831,2.8064171431196883e-08,0.0
1832,2.570694235259907e-08,0.0
1833,1.2741991461950875e-08,0.0
1834,1.213489042584115e-08,0.0
1835,2.7227116561334697e-08,0.0
1836,6.72075017860152e-09,0.0
1837,1.87863058442872e-08,0.0
1838,1.5780404538645598e-08,0.0
1839,4.894032734625853e-09,0.0
1840,5.732719632334238e-09,0.0
1841,1.0272877659645019e-08,0.0
1842,2.683306021822318e-09,0.0
1843,5.906910960362666e-09,0.0
1844,1.4819115712327857e-08,0.0
1845,1.1160455670733427e-08,0.0
1846,2.0490753982471688e-08,0.0
1847,1.5640349459999925e-08,0.0
1848,3.459445352405055e-08,0.0
1849,2.011059585527164e-08,1.508294644736452e-08
1850,5.431196825611551e-09,6.788996032014438e-10
1851,7.094382858952031e-09,6.449438760824933e-10
1852,7.812654523320361e-09,2.6042181744401205e-09
1853,5.971931837933653e-10,0.0
1854,1.0391328686409906e-08,0.0
1855,1.0083180512765466e-08,0.0
1856,9.318940286107136e-09,0.0
1857,7.322263684272912e-09,0.0
1858,1.0276719919488642e-08,0.0
1859,4.073738679721828e-09,0.0
1860,4.119465657481669e-09,2.746310290291376e-09
1861,3.3011746669586728e-09,0.0
1862,1.1746764450037972e-08,0.0
1863,5.9935452156878455e-09,0.0
1864,1.7740493518658695e-08,0.0
1865,7.0602665935837194e-09,0.0
1866,1.4596838404656864e-08,0.0
1867,8.73506067478047e-09,0.0
1868,1.7289560005906424e-08,0.0
1869,1.4650557433881772e-09,0.0
1870,2.2936195165357276e-09,0.0
1871,7.434824311758348e-09,0.0
1872,6.047339518033823e-09,0.0
1873,4.788803575905831e-09,2.9930022904522957e-09
1874,1.1949218503559678e-08,0.0
1875,2.1741803024610817e-08,2.2886108563824337e-09
1876,4.232210137899983e-09,6.04601479992084e-10
1877,6.80329748092845e-09,0.0
1878,3.6234530931267273e-09,0.0
1879,6.720257683667796e-09,0.0
1880,6.417846254436199e-09,0.0
1881,4.183504653809678e-09,0.0
1882,1.0648616211028639e-08,6.655385131892899e-10
1883,8.21514056781325e-09,0.0
1884,1.2543224237049344e-08,0.0
1885,2.5782542767416317e-09,1.933690763067375e-09
1886,1.613365974151293e-08,0.0
1887,9.140494583448344e-09,0.0
1888,7.60873763994141e-09,0.0
1889,7.51816386923565e-09,0.0
1890,6.554386366985909e-09,0.0
1891,1.5935549768641977e-08,0.0
1892,3.761107425503951e-09,6.268512375839919e-10
1893,6.774258043407144e-09,0.0
1894,1.1972924873759894e-08,0.0
1895,7.22233739480771e-09,0.0
1896,8.255840455717589e-09,0.0
