year,voulant_VERB ouvrir_VERB,voulant_VERB rouvrir_VERB
1800,9.432493897065797e-09,0.0
1801,3.809892135109294e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,9.751696339321825e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,4.548604315424143e-08,0.0
1806,3.458002950651462e-08,0.0
1807,3.131650672116848e-08,0.0
1808,2.039466551195801e-08,0.0
1809,1.581321384946932e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,9.341240336802059e-09,0.0
1818,9.536941902865692e-09,0.0
1819,3.415846450138815e-08,0.0
1820,1.4239777357261119e-08,0.0
1821,5.3252035447926005e-08,0.0
1822,9.023054303725075e-09,1.0025615893027862e-08
1823,1.1859224380295075e-08,0.0
1824,5.052667617633233e-09,2.5263338088166165e-09
1825,6.163810128967384e-09,1.7610886082763955e-09
1826,1.5854372037438225e-08,2.642395191543301e-09
1827,1.1060727667100423e-08,0.0
1828,2.0179061976932644e-08,1.8344602503717056e-09
1829,3.429270423183084e-09,1.714635211591542e-09
1830,1.7742621594152297e-08,1.0436835840010872e-09
1831,2.4945929544273326e-08,3.1182412207897414e-09
1832,2.1647950987357945e-08,0.0
1833,3.01174338801502e-08,0.0
1834,1.8669061851994684e-09,0.0
1835,1.1344631900556124e-08,1.5126175867408165e-09
1836,3.293167516460471e-08,4.032449929525228e-09
1837,1.3219993100221927e-08,4.174734336004349e-09
1838,3.092959310890819e-08,0.0
1839,4.4046294611632675e-08,0.0
1840,8.917564464638872e-09,2.5478754661634184e-09
1841,1.6051371343195342e-08,6.420548537278137e-10
1842,1.2745704047745221e-08,6.708265054555795e-10
1843,2.067418880535854e-08,0.0
1844,1.2074834465636286e-08,1.097712254427563e-09
1845,5.022205151750114e-09,1.1160455892778032e-09
1846,1.2294452789163302e-08,0.0
1847,1.941560512364049e-08,1.6179670936367074e-09
1848,1.0458788002321029e-08,8.045221711050488e-10
1849,1.3407063903514427e-08,0.0
1850,1.968808760466345e-08,1.3577992064028876e-09
1851,5.159551230704551e-09,0.0
1852,9.114763832585027e-09,6.510545436100301e-10
1853,1.6721409146214228e-08,0.0
1854,1.8184825645306546e-08,0.0
1855,8.491099379170919e-09,5.306937111981824e-10
1856,2.0708757098031327e-08,1.5531567143511893e-09
1857,1.4156376737517462e-08,0.0
1858,2.4468380099840203e-09,4.893676019968041e-10
1859,1.0693564034269798e-08,5.092173349652285e-10
1860,1.9681891672007623e-08,1.8308735638683515e-09
1861,6.6023493339173456e-09,4.715963730639317e-10
1862,2.84633134839396e-08,1.8071945051545413e-09
1863,2.796987663700179e-08,2.9967726078439227e-09
1864,4.794728170054441e-09,9.589455896019672e-10
1865,1.7886008674139475e-08,0.0
1866,1.8489329178805747e-08,9.731225825149181e-10
1867,1.261730986357179e-08,0.0
1868,2.1735445443482604e-08,1.4819622196071691e-09
1869,7.813630631403612e-09,0.0
1870,1.9495765446464475e-08,1.7202146374017957e-09
1871,2.2304472935275044e-08,0.0
