year,voulait_VERB établir_VERB,voulait_VERB etablir_VERB,voulait_VERB rétablir_VERB
1800,1.6349655140857067e-07,0.0,3.144164395507687e-08
1801,4.2146930923081527e-07,2.3811825844433088e-09,9.524730160137551e-08
1802,1.096541666356643e-07,0.0,1.1189200677108602e-08
1803,1.7162984988772223e-07,0.0,9.751695984050457e-08
1804,2.669599155069591e-07,0.0,1.1864884186252311e-07
1805,1.9331568523739406e-07,0.0,3.695740957709859e-08
1806,2.9681191904273874e-07,0.0,3.458002950651462e-08
1807,3.530224432779505e-07,2.8469551160981155e-09,7.117387923472052e-08
1808,1.3369836437959748e-07,0.0,3.3991110370834576e-08
1809,1.3102376783535874e-07,2.259030518203531e-09,6.325285539787728e-08
1810,2.737948250342015e-07,0.0,9.360507036149102e-09
1811,2.8329966994533606e-07,0.0,7.521229861140455e-09
1812,2.1871107946935808e-07,0.0,8.00162425207418e-09
1813,2.875741529351217e-07,0.0,8.339650747757332e-08
1814,2.391474538399052e-07,0.0,1.0698702368472368e-07
1815,3.317584855722089e-07,0.0,2.2926400333744823e-07
1816,3.8472225583063846e-07,0.0,6.025770460382773e-08
1817,2.7868034635503136e-07,0.0,8.718490818182545e-08
1818,4.04127916908692e-07,1.1921177378582115e-09,6.675859509641668e-08
1819,3.4365484680165537e-07,1.035105001712111e-09,6.003609342997152e-08
1820,3.3344812777613697e-07,0.0,1.2578469466006936e-07
1821,4.0037642179413524e-07,0.0,1.1242096320529527e-07
1822,4.050348820783256e-07,3.0076847679083585e-09,1.6442010064565693e-07
1823,3.7158903865019965e-07,0.0,1.0475648082319822e-07
1824,4.016870889245183e-07,8.421112696055388e-10,1.3473780313688621e-07
1825,3.8920057932045893e-07,0.0,8.365170600654892e-08
1826,4.289488515496487e-07,8.807984341885344e-10,6.694067877788257e-08
1827,4.3044664721492154e-07,0.0,1.244331855332348e-07
1828,4.347670881088561e-07,3.668920500743411e-09,1.6234973543305387e-07
1829,5.692588729289128e-07,0.0,1.8518059619054839e-07
1830,4.3834711505041923e-07,0.0,1.0436836106464398e-07
1831,3.2273797501147783e-07,0.0,1.1381580122815649e-07
1832,3.5313220791977074e-07,0.0,1.5830063659905136e-07
1833,4.4365296503201535e-07,0.0,1.459537202208594e-07
1834,3.6964743799217104e-07,9.334530925997342e-10,1.736222685622124e-07
1835,3.1235552455655125e-07,0.0,1.1193370141882042e-07
1836,4.1735859213076765e-07,6.720750067579218e-10,8.669767481706003e-08
1837,4.787028728969744e-07,1.3915781860163179e-09,1.315041373572967e-07
1838,4.298582325645839e-07,3.787297142565649e-09,1.117252637072852e-07
1839,3.9991238054426503e-07,0.0,1.2444826325008762e-07
1840,4.057491764797305e-07,0.0,1.3185255909320404e-07
1841,3.993581287886627e-07,1.2841097074556274e-09,9.052973126699726e-08
1842,3.9310432953243435e-07,0.0,1.8984390237619664e-07
1843,4.134837752189924e-07,0.0,9.096643083239542e-08
1844,4.797002475243062e-07,0.0,1.212972051689576e-07
1845,4.503243928866141e-07,0.0,1.6684882098161324e-07
1846,3.3604837312850577e-07,5.854501328173001e-10,1.2470087540350505e-07
1847,4.2067145500368497e-07,5.393223645455691e-10,1.1379702158365035e-07
1848,3.845615879072284e-07,8.045221711050488e-10,1.2952807537658373e-07
1849,4.1310516962766997e-07,5.02764896381791e-09,8.379414850878675e-08
1850,3.4759659683913924e-07,2.0366988096043315e-09,7.943125268639051e-08
1851,3.237618386719987e-07,0.0,1.3414832267244492e-07
1852,3.619863377934962e-07,0.0,7.617337871579366e-08
1853,3.3144220878966735e-07,1.1943863675867306e-09,7.644072752555076e-08
1854,3.548638858319464e-07,1.0391328908454511e-09,8.676759932768618e-08
1855,3.640558929873805e-07,5.306937111981824e-10,8.225752878843196e-08
1856,3.308223881504091e-07,5.177189232874468e-10,9.215396801209863e-08
1857,3.822221685823024e-07,4.881509085841174e-10,7.127002987772357e-08
1858,3.503872108012729e-07,4.893676019968041e-10,7.829881809584549e-08
1859,4.145029208757478e-07,0.0,1.0489877411146153e-07
1860,3.510700139486289e-07,4.577183909670879e-10,1.171759080875745e-07
1861,3.107820134573558e-07,1.4147891747029462e-09,1.2685941896961594e-07
1862,4.043597812142252e-07,0.0,1.1249785814015922e-07
1863,2.80697690868692e-07,4.994620828036034e-10,9.589672345100553e-08
1864,3.207672989447019e-07,4.794727948009836e-10,6.856460998960756e-08
1865,3.586615378026181e-07,4.706844358715045e-10,9.601962602800995e-08
1866,3.172379479110532e-07,0.0,9.487945362707251e-08
1867,3.3387343023605354e-07,0.0,5.338092634588065e-08
1868,2.2427028056881682e-07,0.0,7.212216246443859e-08
1869,3.3940457910830446e-07,9.767038289254515e-10,8.98567549256768e-08
1870,3.251205669130286e-07,5.734048791339319e-10,8.945116292125022e-08
1871,2.464113038058713e-07,0.0,5.523012092112367e-08
1872,2.757586798907141e-07,0.0,5.744972497723211e-08
1873,2.4901777351260534e-07,0.0,4.2500630570430076e-08
1874,3.118746008112794e-07,0.0,6.870800461911131e-08
1875,2.5174719553433533e-07,5.721527140956084e-10,5.149374260327022e-08
1876,3.0048693133721827e-07,6.04601479992084e-10,5.562333527109331e-08
1877,2.8140911467744445e-07,1.2369631985365004e-09,3.834585982076533e-08
1878,3.019544294602383e-07,0.0,8.152769481739597e-08
1879,3.1096465136215556e-07,0.0,9.89710713383829e-08
1880,2.650570536388841e-07,0.0,9.690948132856647e-08
1881,2.775057907911105e-07,0.0,7.251407652120179e-08
1882,2.70208630581692e-07,0.0,4.326000180299161e-08
1883,2.2180879000188725e-07,0.0,4.613117354779206e-08
1884,2.5548567350597295e-07,0.0,6.865764845542799e-08
1885,2.481569651990867e-07,0.0,6.252266615547342e-08
1886,2.174817268496554e-07,0.0,7.163345117078279e-08
1887,2.1219004509021033e-07,0.0,4.439668899181015e-08
1888,2.2509182429075736e-07,0.0,6.404020780337305e-08
1889,2.2617143713432597e-07,0.0,6.453090861668898e-08
1890,2.2284913825387775e-07,0.0,7.734175966334078e-08
1891,1.8867690698698425e-07,0.0,6.69293100941104e-08
1892,2.3256180270436744e-07,0.0,3.823792482648969e-08
1893,2.075386333899587e-07,0.0,5.4194064347257154e-08
1894,1.947175576333393e-07,0.0,5.5453547531669756e-08
1895,2.5037437012542796e-07,0.0,4.935263930860856e-08
1896,2.0993422822357388e-07,5.89702897624278e-10,5.366296207398591e-08
1897,2.4472197424074693e-07,0.0,4.486569338268964e-08
1898,2.0766162833751878e-07,5.6583548957434e-10,5.149102833001962e-08
1899,1.8904317755641387e-07,5.527578395003729e-10,5.472302433418008e-08
1900,2.0816122514588642e-07,0.0,5.606337438734954e-08
1901,2.2075518302244745e-07,0.0,5.86817598957623e-08
1902,1.4534440140323568e-07,9.820567692386817e-10,4.615666782115113e-08
1903,2.6245069761898776e-07,0.0,4.644189388613995e-08
