year,doit_VERB amener_VERB,doit_VERB ramener_VERB
1800,3.678672442219977e-07,8.174827570428533e-08
1801,3.762268363516341e-07,7.619784270218588e-08
1802,1.8350289110458107e-07,1.0294064622939914e-07
1803,2.145373088069391e-07,5.655983770225248e-08
1804,3.361717233474337e-07,1.656140113936999e-07
1805,2.50173229687789e-07,3.695740957709859e-08
1806,3.5156364219801617e-07,8.06867319624871e-08
1807,3.672572006507835e-07,1.0249038240317532e-07
1808,2.9685568847526156e-07,6.798222074166915e-08
1809,2.4849336455190496e-07,6.09938268780752e-08
1810,2.92515835553786e-07,1.0764583180389309e-07
1811,1.3287507272252697e-07,3.5099073869560016e-08
1812,1.7870294755084615e-07,7.734903562095496e-08
1813,3.077043686516845e-07,5.463909147351842e-08
1814,2.580275122454623e-07,1.7621391634747852e-07
1815,2.1577788800186681e-07,8.361393355471591e-08
1816,4.1485108681627025e-07,2.1321955046005314e-07
1817,3.176021721174038e-07,1.5413046128287533e-07
1818,2.5392108682353864e-07,8.344824209416402e-08
1819,3.115665947461821e-07,5.072014630513877e-08
1820,3.702342041833617e-07,3.797273961936298e-08
1821,2.554125444476085e-07,1.0453177878844144e-07
1822,3.097915168837062e-07,1.4136118409169285e-07
1823,2.193956447626988e-07,1.0673301886754416e-07
1824,3.141074955692602e-07,8.5053237341981e-08
1825,2.5447729967709165e-07,9.15766094067294e-08
1826,2.792131112983043e-07,4.844391554570393e-08
1827,3.484129251773993e-07,5.530363722527909e-08
1828,3.824849557076959e-07,9.539193257523948e-08
1829,3.069197020977299e-07,5.3153691226270894e-08
1830,2.98493517902898e-07,9.184415716845251e-08
1831,5.269827738629829e-07,4.365537620287796e-08
1832,4.1807604134191934e-07,7.712082350508354e-08
1833,3.3592522186154383e-07,8.91939393454777e-08
1834,3.3604311511226115e-07,1.0921401383257034e-07
1835,3.184059949035145e-07,8.470658485748572e-08
1836,3.7972236555106065e-07,8.736974876910608e-08
1837,4.835734443986439e-07,9.601889416899212e-08
1838,4.222836196277058e-07,6.122797202579022e-08
1839,4.2018766066576063e-07,5.663094881924735e-08
1840,4.6435030753855244e-07,9.490835850556323e-08
1841,3.7496002391890215e-07,1.0979137954336693e-07
1842,4.689077286457177e-07,1.3081117344881932e-07
1843,4.335672656452516e-07,7.442707783411606e-08
1844,4.248146296959021e-07,9.659867572509029e-08
1845,4.653909968510561e-07,1.1941688171646092e-07
1846,4.806545348401414e-07,1.0069742018004035e-07
1847,4.7190707164190826e-07,1.2728007448004064e-07
1848,4.55359554507595e-07,6.033916122305527e-08
1849,4.868439873462194e-07,1.4245004820168106e-07
1850,4.759086209560337e-07,8.689914920978481e-08
1851,4.2437307001819136e-07,8.513259075471069e-08
1852,4.446702632776578e-07,9.049658444837405e-08
1853,3.7563449950539507e-07,7.76351143372267e-08
1854,3.948705113998585e-07,9.819805768529477e-08
1855,3.279687064150494e-07,9.764764286046557e-08
1856,4.695710629221139e-07,6.212626857404757e-08
1857,4.6081444793344417e-07,9.177237103585867e-08
1858,4.458138960217184e-07,9.83628893891364e-08
1859,4.1653979110378714e-07,7.230886467368691e-08
1860,4.050807831390557e-07,7.964300152707438e-08
1861,3.7680550235563715e-07,8.535894124861443e-08
1862,4.23335308141759e-07,9.48777127973699e-08
1863,3.68603025435732e-07,7.092361897775845e-08
1864,3.754271915568097e-07,7.959248193856183e-08
1865,4.4103131813244545e-07,7.013198199956605e-08
1866,3.8584309436373587e-07,6.422609288847525e-08
1867,3.333881579692388e-07,5.920430012906763e-08
1868,3.843221918486961e-07,5.335063946176888e-08
1869,4.126573571738845e-07,5.909058131692291e-08
1870,3.681259386212332e-07,9.461180638936639e-08
1871,4.067910879257397e-07,4.460894587055009e-08
1872,3.8702972915416467e-07,6.652073381019363e-08
1873,4.232105084156501e-07,7.781805777540285e-08
1874,3.4533240977907553e-07,9.43988212043223e-08
1875,3.7132710417608905e-07,8.639506177132716e-08
1876,4.026645967769582e-07,8.464420631071334e-08
1877,3.2408436823061493e-07,8.473197965486179e-08
1878,3.4603976928337943e-07,7.005343150012777e-08
1879,3.2807076877361396e-07,5.742765907257308e-08
1880,3.581158125598449e-07,5.198455355071019e-08
1881,3.24918858041201e-07,6.275256936305595e-08
1882,3.4674556559366465e-07,1.0914831705122197e-07
1883,2.7931477575293684e-07,6.066565561013704e-08
1884,3.2546367378927243e-07,7.195849605068361e-08
1885,3.3839586421891e-07,6.316722789279083e-08
1886,2.936326097824349e-07,4.5174246565693466e-08
1887,2.768263982488861e-07,5.6148753202478474e-08
1888,3.2844383213159745e-07,6.277208797200728e-08
1889,3.34558308168198e-07,8.08202642588185e-08
1890,3.27719334336507e-07,7.209825270138026e-08
1891,3.1998584404391295e-07,5.8005401371019616e-08
1892,2.8772473115168395e-07,7.459529882680727e-08
1893,3.7135251318431983e-07,7.390099909798664e-08
1894,2.58993253510198e-07,1.0334524347399565e-07
1895,2.834767371950875e-07,7.76401236635138e-08
1896,2.7716035333469335e-07,6.604672364574071e-08
1897,2.5695806016301503e-07,7.749529373768382e-08
1898,3.287504171112232e-07,6.280773590106037e-08
1899,3.078861254834919e-07,5.30647525920358e-08
1900,3.0627214187006757e-07,5.7620688664883346e-08
1901,3.247057236421824e-07,7.153585812602614e-08
1902,3.0149143981361703e-07,6.334266089425e-08
1903,2.7487121201374975e-07,5.130209146386733e-08
1904,3.289270580353332e-07,9.889310348398794e-08
1905,2.9777578447465203e-07,1.2489036294027756e-07
1906,2.788148094623466e-07,1.723301750189421e-07
1907,2.545707502576988e-07,1.0491400814771623e-07
1908,3.34465596552036e-07,9.184297766751115e-08
1909,2.7834977345264633e-07,7.646367095048845e-08
1910,2.5812246917666926e-07,7.80245983378336e-08
1911,2.622944350605394e-07,1.244967506863759e-07
1912,3.104815107235481e-07,7.814131919303691e-08
1913,2.9166443482608884e-07,8.272663620800813e-08
1914,2.3639505286610074e-07,5.826166926681253e-08
1915,2.2265639643137547e-07,7.304072369151982e-08
1916,3.2083389100989734e-07,7.581348882013117e-08
1917,3.6079535448152456e-07,6.579854527899442e-08
1918,2.8601075996448344e-07,9.189101035644853e-08
1919,3.176707821239688e-07,8.563299047636974e-08
