year,durent_VERB entrer_VERB,durent_VERB rentrer_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,5.0141535368197765e-09,1.504245972228091e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,8.091670444798638e-09
1816,2.3176038865813098e-09,0.0
1817,0.0,6.227493631882908e-09
1818,0.0,0.0
1819,2.070210003424222e-09,0.0
1820,1.542642635854463e-08,0.0
1821,3.94459531705138e-09,0.0
1822,5.012807946513931e-09,0.0
1823,9.882686891060644e-10,0.0
1824,3.8737120178211626e-08,5.894778887238772e-09
1825,1.4969252504215547e-08,8.805443041381977e-10
1826,3.5231937367541377e-09,8.807984341885344e-10
1827,8.295545583791863e-09,3.6869092223668076e-09
1828,6.420610709767516e-09,0.0
1829,3.257806824308318e-08,0.0
1830,1.878630406793036e-08,1.6698937344017395e-08
1831,2.8064171431196883e-08,1.091384405071949e-08
1832,2.1647950987357945e-08,0.0
1833,1.50587169400751e-08,9.266902800675325e-09
1834,2.8937046536725575e-08,1.120143711119681e-08
1835,2.571449897459388e-08,3.1764969321557146e-08
1836,2.016225053580456e-08,1.2769425516978572e-08
1837,3.1310509740478665e-08,1.3915782304252389e-08
1838,3.3454458758797045e-08,9.468243078458727e-09
1839,1.1885507689157748e-08,9.088918062616358e-09
1840,1.7198159341091923e-08,1.2102408852854296e-08
1841,1.926164561183441e-09,1.9903700021473014e-08
1842,1.408735705865638e-08,1.408735705865638e-08
1843,1.2995204023980023e-08,1.0041748765843295e-08
1844,1.866110821424627e-08,1.756339607084101e-08
1845,2.622707206967334e-08,1.0602432709561072e-08
1846,1.2294452567118697e-08,1.6978054517835517e-08
1847,1.941560512364049e-08,1.5640349459999925e-08
1848,2.011305433313737e-08,1.367687652020777e-08
1849,2.513824481908955e-09,3.854530916669319e-08
1850,4.073397619208663e-09,2.5119284430275002e-08
1851,1.3543821175687754e-08,2.192809134271556e-08
1852,4.557382027314816e-09,2.278690836021724e-08
1853,1.1346670270029335e-08,2.8665272822081533e-08
1854,8.832629738719788e-09,1.454786069388092e-08
1855,1.6982198758341838e-08,2.1227748447927297e-08
1856,1.1389816201301528e-08,1.7084724746041502e-08
1857,8.78671624349181e-09,9.274867096564776e-09
1858,1.2723557318849998e-08,2.3489644007668176e-08
1859,1.8331824946926645e-08,8.656694916453489e-09
1860,6.865775947773045e-09,1.6477862629926676e-08
1861,9.431927239234028e-09,2.5937801240161207e-08
1862,2.3493528900075944e-08,3.34330998441601e-08
1863,2.0477944673302773e-08,2.996772607843923e-08
1864,7.671564716815737e-09,2.0137857603685916e-08
1865,1.6003271596787272e-08,3.153585836912498e-08
1866,4.135770836910524e-08,3.2113046444237625e-08
1867,1.6014277903764196e-08,9.7056229719783e-09
1868,2.2723421366777075e-08,2.667531973088444e-08
1869,8.30198221279943e-09,2.4417595057002472e-08
1870,3.039045992636602e-08,1.6628741050794815e-08
1871,2.0180236148803488e-08,3.611200227737754e-08
1872,2.7817760539505798e-08,1.9956219787786722e-08
1873,1.3169209722718733e-08,3.112722168907567e-08
1874,7.169530746864439e-09,2.5690820137924675e-08
1875,2.689117728493784e-08,1.830888685105947e-08
1876,2.6602464231473277e-08,1.753344314181504e-08
1877,1.2369632429454214e-08,2.6594708657512456e-08
1878,4.831270938865373e-09,3.744235144154118e-08
1879,1.221865097988939e-08,2.2604503158163425e-08
1880,1.9895322722618403e-08,1.3477476912271413e-08
1881,1.8128519130300447e-08,1.1853263259808955e-08
1882,1.6638463051776853e-08,1.4641846846075168e-08
1883,1.2006744043446815e-08,1.0742875922176154e-08
1884,1.9144920315739e-08,3.498899303622238e-08
1885,6.445635580831777e-09,2.6427105837001363e-08
1886,1.355227396970804e-08,1.7424351739236954e-08
1887,1.3710741875172516e-08,2.0892558794116667e-08
1888,2.53624587998047e-08,2.2192152115962926e-08
1889,5.6386229019267375e-09,1.0650732740202784e-08
1890,1.3108772733971819e-08,1.2453334363726754e-08
1891,8.92390783491237e-09,1.9760081571007504e-08
1892,1.0656471260972467e-08,2.2566645441202127e-08
1893,2.155445777418663e-08,1.4164357686752282e-08
1894,1.2603078580752936e-08,4.348062176973144e-08
1895,1.023164486468886e-08,1.8657704714541978e-08
1896,2.299841384001411e-08,3.3023361822870356e-08
1897,1.6897470089816125e-08,1.3984112534615178e-08
1898,9.619203211741478e-09,1.640922953072277e-08
1899,2.3215829259015663e-08,1.9346524382513053e-08
1900,1.9206897405865675e-08,1.972600216504361e-08
1901,1.117747761014698e-08,2.0678333711998675e-08
1902,6.874397495693074e-09,3.2407871941586563e-08
1903,1.9980815224585058e-08,2.2680925582108102e-08
1904,1.289910045443321e-08,1.5048950530172078e-08
1905,1.4966200723165457e-08,1.9610883583709438e-08
1906,8.230695236477459e-09,2.41776678677752e-08
1907,1.2342823652033985e-08,1.9542804707839423e-08
1908,1.2278472460991452e-08,1.2278472460991452e-08
1909,1.3752458727367411e-08,1.5402754627302784e-08
1910,1.4963621453034648e-08,1.068830179917768e-08
1911,1.649316061502759e-08,2.2877609140437016e-08
1912,1.927485904218429e-08,2.5526164293410147e-08
1913,8.484783542428431e-09,2.704524781904638e-08
1914,1.875088173619588e-08,1.4732836284281348e-08
1915,9.424609537234119e-09,3.534228465440492e-09
1916,1.538244731591476e-08,2.8567400889301098e-08
1917,9.869782324756216e-09,7.676496771580332e-09
1918,2.8715941624568586e-08,1.033773866510046e-08
1919,6.4454939163738345e-09,1.5653341733923298e-08
1920,1.0601124422748853e-08,1.3630017114962811e-08
1921,1.438822039290244e-08,1.5145495524393482e-08
1922,1.549366501762961e-08,2.3609393551282665e-08
1923,4.246379248229459e-09,2.229349149729387e-08
1924,3.867487219366694e-09,1.4180787211159895e-08
1925,8.798542339150117e-09,1.6497267552040284e-08
1926,1.4489979882625903e-08,2.1177662290483568e-08
1927,6.689535148041159e-09,1.5608915049369898e-08
1928,5.713020723163709e-09,2.2852082892654835e-08
1929,7.798284684668033e-09,1.893869061575515e-08
1930,1.575540586884472e-08,1.7856125467119455e-08
1931,1.1405356659111021e-08,1.2545892325022123e-08
1932,1.9727165678773417e-08,1.9727165678773417e-08
1933,5.735331320977366e-09,1.9500125958415992e-08
1934,1.677421224144382e-08,1.0783422155213884e-08
1935,8.377798899061872e-09,8.377798899061872e-09
1936,7.274828739411987e-09,7.274828739411987e-09
1937,1.510934133364117e-08,8.813782592653752e-09
1938,9.075650453382877e-09,1.5558256905023882e-08
1939,6.117620188206274e-09,4.588215141154706e-09
1940,5.0715658339584024e-09,1.0143131667916805e-08
1941,2.066051862925633e-08,3.5418032950929046e-08
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,0.0,2.9032351633873077e-08
1944,6.4263723231761105e-09,6.4263723231761105e-09
1945,1.3071024262956144e-08,1.9606536838523425e-08
1946,9.744772988540262e-09,1.9489545977080525e-08
1947,3.2186353138285995e-08,1.907339353124371e-08
1948,7.610321262063735e-09,2.391815279167986e-08
1949,1.2762110479513922e-08,9.817008539414473e-09
1950,1.1698897850465073e-08,1.0635361036293034e-08
1951,5.330700769690111e-09,8.529121409139861e-09
1952,5.272402070488624e-09,1.7926167217297007e-08
1953,5.386913581872932e-09,9.69644453618912e-09
1954,1.172704333640695e-08,1.3681550115052232e-08
1955,5.631364707880948e-09,1.3139850985055546e-08
1956,1.1337483840634377e-08,6.976913269340912e-09
1957,2.6505113659425206e-09,1.0602045463770082e-08
1958,1.1581140491045971e-08,1.1581140491045971e-08
1959,5.425523585955716e-09,1.0851047171911432e-08
1960,1.038124963770315e-08,1.5225833038812198e-08
1961,3.47407969059077e-09,1.598076693198891e-08
1962,3.805173953708163e-09,8.244543714397423e-09
1963,2.5864212993553792e-09,9.052474325699222e-09
1964,4.258777774879263e-09,1.034274621503073e-08
1965,1.094408652591028e-08,7.1136563306595235e-09
1966,9.416426749453422e-09,1.38476865529924e-08
1967,6.409436092980059e-09,9.860671390526932e-09
1968,1.2126823101255013e-08,6.737123747768692e-09
1969,1.1354394757745467e-08,1.2716921737876419e-08
1970,4.1388523719376735e-09,1.3796174869185052e-08
1971,3.5968783507200897e-09,1.0790635052160269e-08
1972,3.5911027485013847e-09,7.182205497002769e-09
1973,7.1671650836435674e-09,1.4334330167287135e-08
1974,8.438357568252286e-09,8.438357568252286e-09
1975,3.998036124386317e-09,8.567219822452898e-09
1976,6.2848797277581525e-09,7.998937512354587e-09
1977,5.876781727920388e-09,1.1165885105413054e-08
1978,4.752473081737207e-09,8.910887139279566e-09
1979,3.5111840102075575e-09,8.777959692451986e-09
1980,8.527726080842513e-09,9.096241093686785e-09
1981,7.590659656386833e-09,7.590659656386833e-09
1982,4.966001831974154e-09,9.311253101884631e-09
1983,2.5261264191556165e-09,1.3893695083311286e-08
1984,5.799008384599347e-09,9.858314165001048e-09
1985,3.0077789148208467e-09,1.2632671797518924e-08
1986,4.196139880008332e-09,5.994485352545098e-09
1987,5.49973533381376e-09,3.6664902225425067e-09
1988,2.398621523624911e-09,7.795519785247507e-09
1989,4.939309850016116e-09,1.2073869015694072e-08
1990,2.179460389939436e-09,7.628111475810329e-09
1991,7.033758464558559e-09,7.033758464558559e-09
1992,2.7549720282848966e-09,6.61193322315512e-09
1993,6.093128224193833e-09,7.200969598386564e-09
1994,3.164955852952289e-09,7.912389854425328e-09
1995,7.591431483433553e-09,8.133675954979935e-09
1996,1.6014276571496566e-09,5.871901187504136e-09
1997,2.876936688878118e-09,3.3564262480467733e-09
1998,5.72175506974304e-09,9.059445638115449e-09
1999,3.656160929565999e-09,8.226361813967742e-09
2000,1.3254094488601709e-09,5.3016377954406835e-09
2001,8.324302136486494e-09,1.270551397425379e-08
2002,6.133709984368352e-09,7.448076377869484e-09
2003,3.333538334260311e-09,1.12506919336397e-08
2004,3.9643119897903034e-09,1.2773894830786503e-08
2005,3.1526248278623825e-09,6.305249655724765e-09
2006,1.2353669198716943e-09,6.1768350434476815e-09
2007,1.1983438685803094e-09,9.18730247434496e-09
2008,4.6831836186811415e-09,5.960415716543821e-09
2009,6.198650481792356e-09,1.2397300963584712e-08
2010,5.196172381261022e-09,1.4643758206034363e-08
2011,4.5887662558641296e-09,1.0707121411712706e-08
2012,3.4042526575461807e-09,1.3957436095779485e-08
2013,3.3469500504423877e-09,1.0040849929282558e-08
2014,1.8622827724357194e-08,1.6024294779981574e-08
2015,3.32486305154589e-09,1.1526192444932803e-08
2016,4.556948152156792e-09,1.1392370602436586e-08
2017,5.282783988036499e-09,1.1823373391450787e-08
2018,3.0977600484760615e-09,1.0325866384164328e-08
2019,1.9387506711154856e-08,1.0459049626376782e-08
