year,fallait_VERB acheter_VERB,fallait_VERB racheter_VERB
1800,7.860410988769218e-08,0.0
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,2.4616241489638924e-08,2.2378401354217203e-09
1803,1.950339267864365e-08,0.0
1804,2.4718509461507665e-09,1.9774807569206132e-08
1805,3.1271653710973624e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.9928686256776018e-08,0.0
1808,1.8128591960930862e-08,4.5321479902327155e-09
1809,4.0662548883574345e-08,1.581321384946932e-08
1810,2.106114038724627e-08,2.3401267590372754e-09
1811,3.5099073869560016e-08,0.0
1812,4.267533171287141e-08,0.0
1813,4.601186631703058e-08,0.0
1814,6.922689976818219e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,4.0478710161551135e-08,1.401186100480345e-08
1818,1.7881765401739358e-08,1.3113295338484932e-08
1819,3.622867339458935e-08,1.6561680027393777e-08
1820,6.289234733003468e-08,7.119888678630559e-09
1821,8.185035227370463e-08,2.3667571014129862e-08
1822,3.8097340393505874e-08,3.0076847679083585e-09
1823,6.917881023582595e-08,9.882686891060644e-10
1824,2.189489300974401e-08,0.0
1825,7.748789698780456e-08,1.7610886970942374e-08
1826,3.787433300317389e-08,6.1655889282974385e-09
1827,3.6869092667757286e-08,9.217273166939322e-09
1828,5.77854990524429e-08,1.3758452155343548e-08
1829,7.973054039212002e-08,2.5719527840806222e-08
1830,6.470838087579978e-08,1.0436835840010872e-09
1831,5.9246584527272717e-08,4.677361609140007e-09
1832,7.441482807735156e-08,1.3529969367098715e-09
1833,7.645194699534841e-08,0.0
1834,6.440826183506942e-08,1.5868701908061666e-08
1835,4.840376277570613e-08,1.3613558280667348e-08
1836,4.166864897570122e-08,1.2097349788575684e-08
1837,5.705470584871364e-08,4.87052354003481e-09
1838,4.986607748946881e-08,6.943378316748294e-09
1839,5.2436064379435265e-08,4.194885327990505e-09
1840,5.350538501147639e-08,2.5478754661634184e-09
1841,5.778493772368165e-08,5.778493683550323e-09
1842,5.500777433553594e-08,9.391571076378114e-09
1843,8.505951853976512e-08,5.906910960362666e-09
1844,8.287727837341663e-08,9.879410178825765e-09
1845,7.756516851031847e-08,5.580227835366713e-09
1846,8.430481557297753e-08,5.269050973311096e-09
1847,8.952751073820764e-08,1.0786447290911383e-08
1848,8.68883915927654e-08,4.02261068899179e-09
1849,1.3155681699572597e-07,1.0893239199560867e-08
1850,7.671565782629841e-08,1.9009188889640427e-08
1851,6.320450296470881e-08,1.2253933867611977e-08
1852,5.989701890030119e-08,7.161600201754936e-09
1853,6.628844317901894e-08,8.360704129017904e-09
1854,5.6113176327698966e-08,4.1565315633818045e-09
1855,1.0189319255005103e-07,1.5920811335945473e-08
1856,6.678573782892272e-08,2.5885946719483854e-09
1857,5.0767695825015835e-08,4.881508974818871e-09
1858,4.697928801533635e-08,3.4255731584664773e-09
1859,7.689181558134806e-08,5.601390462572908e-09
1860,4.119465657481669e-08,1.2816115280145368e-08
1861,8.86601156935285e-08,5.187560159214399e-09
1862,4.066187742068905e-08,1.3102160245637151e-08
1863,7.14230807830063e-08,3.496234635136375e-09
1864,5.993410212568051e-08,8.151037178549814e-09
1865,5.271665770578693e-08,1.2237795665726026e-08
1866,5.692767146570077e-08,8.75810357570117e-09
1867,4.2219461704462447e-08,5.338092634588065e-09
