year,devait_VERB appeler_VERB,devait_VERB rappeler_VERB
1800,9.432493897065797e-09,2.5153315874604232e-08
1801,4.0480102825313224e-08,4.7623651688866175e-09
1802,3.1329761895904085e-08,2.2378401354217203e-09
1803,9.751696339321825e-09,2.3404069793286908e-08
1804,2.2246657849223084e-08,1.2359254952798437e-08
1805,2.2743021688143017e-08,2.842877711017877e-09
1806,8.645007376628655e-09,4.8988376022407465e-08
1807,2.8469550272802735e-08,2.8469551160981155e-09
1808,1.8128591960930862e-08,4.5321478125970316e-08
1809,4.0662548883574345e-08,1.8072244145628247e-08
1810,3.7442028144596406e-08,1.4040760554223652e-08
1811,2.757784400841956e-08,2.5070767684098882e-09
1812,4.000812481308458e-08,9.068507722531649e-08
1813,1.7254450312975678e-08,5.463909147351842e-08
1814,2.8320094713762956e-08,2.2026739543434815e-08
1815,6.74305908887618e-08,4.045835311217161e-08
1816,4.1716869958463576e-08,1.8540831092650478e-08
1817,3.42512151974006e-08,5.1376822796100896e-08
1818,3.814776761146277e-08,2.384235386898581e-08
1819,2.2772310259711048e-08,3.622867339458935e-08
1820,5.3399165977907614e-08,4.6279275522920216e-08
1821,9.861488337037372e-08,5.423818549843418e-08
1822,2.105379337535851e-08,3.709477880420309e-08
1823,7.115534828017189e-08,2.8659792761231984e-08
1824,7.326367779114662e-08,7.157945702829238e-08
1825,6.692136622632461e-08,5.459374818883589e-08
1826,5.549030035467695e-08,3.170874407487645e-08
1827,6.267745789045875e-08,4.516463647519231e-08
1828,9.630916508740484e-08,5.595103758082587e-08
1829,9.344761764396026e-08,8.830371456269859e-08
1830,7.514521627172144e-08,5.9489963177838945e-08
1831,8.886987501455224e-08,4.677361786775691e-08
1832,6.900284432731496e-08,7.84738247716632e-08
1833,6.950177322551099e-08,7.41352224054026e-08
1834,6.067445212920575e-08,4.2005389389032644e-08
1835,1.1344631900556124e-07,1.0210168710500511e-07
1836,8.400937900887584e-08,4.9061476659062464e-08
1837,8.279890550966229e-08,3.2006298056330706e-08
1838,8.900148174006972e-08,9.72072911054056e-08
1839,1.0696957275513341e-07,6.362242288560083e-08
1840,1.2611982924681797e-07,5.223144583510475e-08
1841,1.2327453191574023e-07,6.741576186186649e-08
1842,1.2879868904747127e-07,7.177843741601464e-08
1843,1.0809647221776686e-07,7.442707783411606e-08
