year,pouvaient_VERB entrer_VERB,pouvaient_VERB rentrer_VERB
1800,1.2262241000371432e-07,6.288328968651058e-09
1801,9.524730160137551e-08,2.3811825844433088e-09
1802,1.9245425164626795e-07,0.0
1803,9.166594594489652e-08,1.950339223455444e-09
1804,2.076354803648428e-07,1.9774807569206132e-08
1805,1.1655798459742073e-07,1.421438877713399e-08
1806,1.7001848107156547e-07,1.729001475325731e-08
1807,1.3380689267705748e-07,2.562259560079383e-08
1808,1.4729481279118772e-07,1.3596443970698147e-08
1809,2.3042110797177884e-07,9.036122072814123e-09
1810,1.1466621430145096e-07,1.8721014072298203e-08
1811,1.2535383575595915e-07,0.0
1812,2.5605197606637375e-07,1.8670457180292033e-08
1813,1.6391727797326894e-07,4.3136125782439194e-08
1814,8.181360300341112e-08,9.125363931161701e-08
1815,1.9150287755564932e-07,2.966945977789237e-08
1816,1.2515060632267705e-07,1.8540831092650478e-08
1817,1.6969920579867903e-07,0.0
1818,2.455762455610966e-07,1.0729059418679299e-08
1819,1.7182742340082768e-07,2.5877625375869684e-08
1820,2.55129350534844e-07,4.390598107306687e-08
1821,2.376618652988327e-07,1.2819934447350079e-08
1822,2.897402850976505e-07,4.210758675071702e-08
1823,2.5892640564961766e-07,6.720227219148e-08
1824,2.1894892654472642e-07,5.642145595174952e-08
1825,2.1573335118318937e-07,4.402721387464226e-08
1826,2.1315321419024258e-07,2.1139161532346407e-08
1827,2.51631547598663e-07,2.488663675137559e-08
1828,1.7885987801946612e-07,3.66892045633449e-08
1829,3.2663800197951787e-07,3.429270378774163e-08
1830,3.3084768347180216e-07,3.5485243188304594e-08
1831,1.9644919291295082e-07,4.2096257146795324e-08
1832,1.7318360789886356e-07,8.253281436054749e-08
1833,2.386227606621105e-07,6.255159235024621e-08
1834,2.60433409948746e-07,2.8003592333902816e-08
1835,3.4714574326244474e-07,5.294161553592858e-08
1836,2.3119380898606323e-07,3.1587525484155776e-08
1837,2.901440439018188e-07,6.679574937606958e-08
1838,3.604244511734578e-07,2.9035945203759184e-08
1839,3.4118397707061376e-07,4.754203075663099e-08
1840,2.8918387329213147e-07,4.58617570586739e-08
1841,2.600322090984264e-07,3.9165346521485844e-08
1842,2.6900141847363557e-07,5.970355942963579e-08
1843,2.664016847120365e-07,9.864541539172933e-08
1844,2.25031016043431e-07,6.421616660645668e-08
1845,2.55016431083277e-07,8.537748641401777e-08
1846,2.710634134928114e-07,6.732676638421253e-08
1847,2.3298726148368587e-07,8.143767615820252e-08
1848,2.6388326546111784e-07,2.574470947536156e-08
1849,2.471927302849508e-07,5.781796375003978e-08
1850,2.661286373495386e-07,3.055048125588655e-08
1851,2.0896182206797675e-07,5.804495017969202e-08
1852,2.5000494474625157e-07,5.2735419586724674e-08
1853,1.7079725012081326e-07,4.240071760364117e-08
1854,1.9743525569992926e-07,4.052618152172727e-08
1855,2.918815482644277e-07,3.3964397516683675e-08
1856,2.433278893931856e-07,7.610468344410037e-08
1857,2.450517513352679e-07,3.5635014938861787e-08
1858,2.0308755210862728e-07,4.404308384664546e-08
1859,2.133620569111372e-07,2.800695320104296e-08
1860,2.709692807911779e-07,5.53839250017063e-08
1861,2.5183246066262654e-07,5.3761986862355116e-08
1862,1.6400289837292803e-07,3.885468302655681e-08
1863,1.7281388409173815e-07,5.743813957792554e-08
1864,1.6781547174105071e-07,6.520829742839851e-08
1865,1.8874446539030032e-07,3.6242703060906933e-08
