year,peuvent_VERB apporter_VERB,peuvent_VERB rapporter_VERB
1800,1.3834323908668011e-07,1.0375742931501009e-07
1801,1.571580554582397e-07,1.3096504858367553e-07
1802,1.0294064622939914e-07,4.4756802708434407e-08
1803,3.120542828582984e-07,5.460949736857401e-08
1804,2.1999473176492756e-07,2.125791809248767e-07
1805,2.8713066058116965e-07,7.960057502032214e-08
1806,2.420601958874613e-07,6.051504897186533e-08
1807,2.5337899955957255e-07,3.131650672116848e-08
1808,1.3143228727585665e-07,9.064295625194063e-08
1809,1.5135503872443223e-07,1.1746958961111886e-07
1810,1.7316938283329364e-07,8.658469141664682e-08
1811,1.1281845502253418e-07,1.0529722516139373e-07
1812,1.1468995353425271e-07,8.268345652595599e-08
1813,2.415623043816595e-07,6.326631307729258e-08
1814,1.9194730782601255e-07,6.293354459785405e-08
1815,1.4834729711310501e-07,1.1328339155625144e-07
1816,2.1785476178592944e-07,6.721051448721482e-08
1817,1.9460917144442647e-07,4.826307531402563e-08
1818,2.4676836574144545e-07,4.530047448270125e-08
1819,2.1944225636616466e-07,4.5544620519422097e-08
1820,2.57502648537411e-07,9.137190204455692e-08
1821,2.445649158744345e-07,3.550135829755163e-08
1822,2.546506436829077e-07,8.221005032282847e-08
1823,2.391610109953035e-07,8.400284201570685e-08
1824,2.0294881153404276e-07,3.2842340402794434e-08
1825,2.218971673073611e-07,2.201360693732113e-08
1826,1.1802698907104059e-07,8.015265962058038e-08
1827,1.382590966159114e-07,3.133872894522938e-08
1828,2.329764470232476e-07,6.053718948351161e-08
1829,2.417635585061362e-07,3.772197487705853e-08
1830,2.243919681177431e-07,2.817945699007396e-08
1831,1.7306238930814288e-07,6.236482619215167e-08
1832,2.4353946059818554e-07,9.741577855493233e-08
1833,1.957633202209763e-07,6.370995464521911e-08
1834,2.398974459083547e-07,6.534171603789218e-08
1835,1.739510224751939e-07,3.479020449503878e-08
1836,2.3522625269833952e-07,6.72075017860152e-08
1837,2.44917771397013e-07,6.401259611266141e-08
1838,2.2723783388300944e-07,4.1660268124132926e-08
1839,1.91566414287081e-07,6.571986688186371e-08
1840,1.6561190818720206e-07,7.516232614079854e-08
1841,2.0545755319290038e-07,5.393260948949319e-08
1842,2.502182780972362e-07,9.458653948968276e-08
1843,2.0201635209105007e-07,6.674809327478215e-08
1844,2.799166338718351e-07,7.958414016684401e-08
1845,2.2990539605416416e-07,4.51998474204629e-08
1846,2.49987209599567e-07,1.0245377524142896e-07
1847,2.5833540462372184e-07,7.928039025273392e-08
1848,2.646877987899643e-07,6.114368744647436e-08
1849,2.7987246653538023e-07,6.703531596485846e-08
1850,2.3829376516459888e-07,3.190828223864628e-08
1851,2.502382301372563e-07,8.642248161550015e-08
1852,2.1875432310025644e-07,5.9245962802378926e-08
1853,2.5022393401741283e-07,4.120633079196523e-08
1854,2.3172663077275502e-07,6.910233452117609e-08
1855,2.2236066854475212e-07,5.413075854221461e-08
1856,2.428101879559108e-07,4.245295315286057e-08
1857,1.703646717032825e-07,6.931743001814539e-08
1858,2.0798123046006367e-07,6.85114613929727e-08
1859,1.7517076855710911e-07,3.513599722282379e-08
1860,2.2931691034955293e-07,4.394096464466202e-08
1861,2.25423065103314e-07,5.517677692523648e-08
1862,2.0285757784677116e-07,6.867339408245243e-08
1863,2.4823265221129986e-07,5.2942979777981236e-08
1864,1.8507650167975953e-07,3.548098703731739e-08
1865,1.7509461258669035e-07,5.036323358353911e-08
1866,2.1019447160597338e-07,3.065336073859726e-08
1867,2.1789124104998336e-07,7.23068893648815e-08
1868,2.3908989987830864e-07,4.100095551962113e-08
1869,2.3587396924540371e-07,4.199826619810665e-08
1870,2.4369708739868656e-07,3.956493799250893e-08
1871,2.803990923894162e-07,4.6733180880664804e-08
1872,2.0863321026354242e-07,3.3260366905096816e-08
1873,2.0651715715302998e-07,4.19020302899753e-08
1874,2.2643769170827e-07,4.182226476245887e-08
1875,2.6090162918990245e-07,2.689117728493784e-08
1876,2.4849120450198825e-07,4.353130833578689e-08
1877,2.628546837968315e-07,3.216104360603822e-08
1878,2.0291338387323776e-07,3.563062378475479e-08
1879,2.4009648313949583e-07,3.604501941367744e-08
1880,2.3553495509531786e-07,3.914886193001621e-08
1881,2.182394922556341e-07,3.137628468152798e-08
1882,2.1630002322581277e-07,4.326000180299161e-08
1883,2.458222922996356e-07,5.181857787306399e-08
1884,1.9144921736824472e-07,4.4891539374702916e-08
1885,2.2882007044700003e-07,3.545099502844096e-08
1886,2.1812708439483686e-07,4.4528899678653033e-08
1887,2.9967765158289694e-07,3.852065688647599e-08
1888,2.4221148464675935e-07,3.043495055976564e-08
1889,2.462198835928575e-07,4.2602930960811136e-08
1890,2.6610808845362044e-07,3.211649257650606e-08
1891,2.587933352060645e-07,4.971891698346553e-08
1892,2.5826270189099887e-07,5.4536059224119526e-08
1893,2.389465691976511e-07,3.0176241949675386e-08
1894,2.4071880488918396e-07,4.7261544011689693e-08
1895,2.3051293851494847e-07,5.476939080040211e-08
1896,2.028577910095919e-07,3.538217541176891e-08
1897,2.033523003319715e-07,3.204692333724779e-08
1898,2.2463669324679358e-07,3.3384292663640736e-08
1899,2.5703238293317554e-07,6.743645997175918e-08
1900,3.036766145214642e-07,5.917800649513083e-08
1901,2.9117330768713146e-07,6.42704947040329e-08
1902,2.9068880280647136e-07,2.8479647085077886e-08
1903,2.8297154130996205e-07,2.808114629715419e-08
1904,3.353766260261182e-07,5.697102523072317e-08
1905,2.972597314965242e-07,3.818961857859904e-08
1906,2.6801200192494434e-07,6.12157933232993e-08
1907,3.0291346320154844e-07,4.4742737514980035e-08
1908,3.3839469892882335e-07,5.1569585934885254e-08
1909,3.0365430347956135e-07,7.151278680339601e-08
1910,3.104951531440747e-07,5.71824116946118e-08
1911,3.0698558362018957e-07,6.331245572255284e-08
1912,2.9485323693734244e-07,5.0010442009806866e-08
1913,2.9166443482608884e-07,3.92421242167984e-08
1914,2.8260257067813654e-07,4.888622839871459e-08
1915,3.2279288575409737e-07,1.4136913861761968e-08
1916,3.7686993437091587e-07,2.0876177231343718e-08
1917,4.430435467384086e-07,4.934890895924582e-08
1918,4.2729320171019936e-07,4.709414369585829e-08
1919,2.85443292113996e-07,3.1306683467846597e-08
1920,3.331782068016764e-07,3.710393414735336e-08
1921,3.778800987674913e-07,4.998013380941302e-08
1922,3.4381179148113006e-07,3.467629738906908e-08
1923,3.641270325260848e-07,3.503262746562541e-08
1924,3.029531683296227e-07,2.9650736976805092e-08
1925,3.0684915941492363e-07,2.969508017258704e-08
1926,3.8119793543955893e-07,2.8979959765251806e-08
1927,2.9210968932602555e-07,3.3447673075670536e-08
1928,3.3821081046880863e-07,2.6279895593006586e-08
1929,3.364402800798416e-07,2.2280811862174232e-08
1930,3.886333388436469e-07,3.151081173768944e-08
1931,4.094522978448367e-07,2.8513390759599133e-08
1932,4.087907257144252e-07,3.7262424257278326e-08
1933,4.117967762340413e-07,3.555905436769535e-08
1934,3.9778845462024037e-07,2.995395220750652e-08
1935,3.650326618753752e-07,3.4708023122220766e-08
1936,4.025405360152945e-07,3.6374142808881516e-08
1937,3.941019883768604e-07,2.2664012888640173e-08
1938,4.4211381577952125e-07,4.408173026604345e-08
1939,4.083511555563746e-07,2.7529290846928234e-08
1940,3.778316681746219e-07,2.5357829613881222e-08
1941,4.279678762486583e-07,2.9515025090631752e-08
1942,4.429949171935732e-07,2.4273694165799498e-08
1943,3.483882267119043e-07,2.9032351633873077e-08
1944,4.1128782868327107e-07,3.855823393905666e-08
1945,4.6402135467360495e-07,2.3963544037997053e-08
1946,4.4686746036859404e-07,2.9234318077442367e-08
1947,4.339196948421886e-07,3.099426493236024e-08
1948,5.185890472603205e-07,1.848220954059343e-08
1949,5.939290304013412e-07,2.4542520904446974e-08
1950,5.190056526771514e-07,2.3397795700930146e-08
1951,5.234748527982447e-07,2.5587365115598004e-08
1952,5.472753059621027e-07,2.1089608281954497e-08
1953,5.580842525887419e-07,2.477980309834038e-08
1954,6.039427375981177e-07,2.9317607896928166e-08
1955,5.988017619529273e-07,3.378819002364253e-08
1956,6.192010459926678e-07,1.744228228517386e-08
1957,6.635113436459505e-07,2.297109880089465e-08
1958,6.493710884569737e-07,2.0680609225109947e-08
1959,7.115186235751025e-07,2.6352543258667538e-08
1960,7.052329351608932e-07,2.8375417571169237e-08
1961,7.622130624440615e-07,2.709782087606527e-08
1962,7.166410682657443e-07,2.6002021868976044e-08
1963,7.319572432606947e-07,2.4571003010009917e-08
1964,6.935724172763003e-07,3.589541464066315e-08
1965,6.900246489749406e-07,3.009623839034248e-08
1966,7.195258149295114e-07,3.212663202134536e-08
1967,7.070101446515764e-07,4.930335606445624e-08
1968,6.669752679044905e-07,3.5931325470528463e-08
1969,6.0677882629534e-07,3.633406109315729e-08
1970,6.686545930278953e-07,4.2768142805016396e-08
1971,6.469242634921102e-07,2.8775026805760717e-08
1972,6.628149549214868e-07,5.489257048907348e-08
1973,7.095493401720887e-07,3.087394162548662e-08
1974,7.80829338964395e-07,3.037808582462276e-08
1975,7.482038881789776e-07,2.3988217634496323e-08
1976,7.4047306952707e-07,2.971033907783749e-08
1977,7.304839755306602e-07,2.52701610747863e-08
1978,6.570294317498337e-07,2.970295653881294e-08
1979,7.279854798980523e-07,3.3941446986318624e-08
