year,pourraient_VERB entrer_VERB,pourraient_VERB rentrer_VERB
1800,7.545995117652637e-08,1.2576657937302116e-08
1801,1.04772034603684e-07,2.1430643926123594e-08
1802,2.9091921760482364e-08,4.4756802708434407e-08
1803,3.705644502360883e-08,1.755305234496518e-08
1804,3.707776485839531e-08,2.7190360185613827e-08
1805,1.9900143755080535e-08,1.1371510844071508e-08
1806,5.76333825108577e-08,5.76333825108577e-09
1807,8.825561081948763e-08,1.1387820464392462e-08
1808,5.891792298484688e-08,1.1330369531492579e-08
1809,1.129515236897305e-08,3.6144488291256494e-08
1810,1.0062544930633521e-07,9.360507036149102e-09
1811,5.515568801683912e-08,8.774768645025688e-08
1812,5.601137331723294e-08,1.8670457180292033e-08
1813,3.4508900625951355e-08,2.5881675469463516e-08
1814,2.8320094713762956e-08,2.2026739543434815e-08
1815,1.8880564667256294e-08,3.776112933451259e-08
1816,3.476405652236281e-08,2.7811246638975717e-08
1817,4.0478710161551135e-08,2.0239355080775567e-08
1818,9.894576891156248e-08,2.6226590676969863e-08
1819,1.614763789348217e-07,4.45095160728215e-08
1820,5.458581142647745e-08,3.797273961936298e-08
1821,7.396116075142345e-08,6.903041693817613e-09
1822,3.8097340393505874e-08,2.3058916553964082e-08
1823,1.4033415141057048e-07,1.9765373338032077e-08
1824,8.926379280183028e-08,2.947389532437228e-08
1825,1.3384273245264922e-07,3.258013947515792e-08
1826,1.470933455038903e-07,4.668231667892542e-08
1827,1.6775436506577535e-07,2.6730091917670507e-08
1828,9.997808092521154e-08,3.3020285172824515e-08
1829,1.1573787617180642e-07,2.0575622983187714e-08
1830,1.0854309095975623e-07,3.1310506187764986e-08
1831,1.1069756311599122e-07,2.8064171431196883e-08
1832,1.2988770947686135e-07,6.3590853471851e-08
1833,8.456049016558609e-08,1.2741991461950875e-08
1834,1.474855935157393e-07,4.573920264761e-08
1835,1.3462296521993267e-07,2.4201881387853064e-08
1836,1.5592139845921338e-07,1.4113575197427508e-08
1837,1.6072728215021925e-07,4.800944708449606e-08
1838,1.5022945376585994e-07,3.9135404250600914e-08
1839,9.648235987924636e-08,2.866504900111977e-08
1840,1.3440043744594732e-07,3.3122379505812205e-08
1841,9.374000597972554e-08,2.953452238330101e-08
1842,1.207487656529338e-07,2.0795621225033756e-08
1843,9.569195924541418e-08,2.7171790151214736e-08
1844,1.4874001408315962e-07,4.39084892889241e-08
1845,1.1606874039671311e-07,3.850357188639464e-08
1846,1.1357732887518068e-07,3.0443406018321184e-08
1847,9.16848037491036e-08,4.58424018745518e-08
1848,1.263099846937621e-07,4.263967667839097e-08
1849,1.0977033326753372e-07,4.8600607982507427e-08
1850,9.979824255879066e-08,3.190828223864628e-08
1851,1.0512584935895575e-07,5.288539739467524e-08
1852,6.119912399071836e-08,2.929745512858517e-08
1853,9.196774897191062e-08,3.881755716861335e-08
1854,7.533713386465024e-08,2.6497888327980945e-08
1855,1.4010313975632016e-07,3.555647865027822e-08
1856,7.76578374939163e-08,3.468716869292621e-08
1857,9.274867096564776e-08,3.270611159678083e-08
1858,7.242640265303635e-08,3.229826006645453e-08
1859,9.573285808528453e-08,1.7313389832906978e-08
1860,1.3548464039558894e-07,2.8378540406492903e-08
1861,1.188422871223338e-07,5.7063161307269183e-08
1862,9.623310859296907e-08,4.066187742068905e-08
1863,8.291070230370678e-08,3.346395871517416e-08
1864,9.73329790099342e-08,2.5412058235474433e-08
1865,1.1296426549733951e-07,2.5416959203994338e-08
1866,1.0607035960674693e-07,2.4814625021463144e-08
1867,8.20125123368598e-08,3.299911810472622e-08
1868,7.607405905218911e-08,3.803702952609456e-08
1869,1.0060049504545532e-07,2.539429999615095e-08
1870,1.0493309332559875e-07,4.529898589566983e-08
1871,1.327647112248087e-07,5.735435593123839e-08
1872,9.433849612605627e-08,4.777398032729252e-08
1873,9.876907114403366e-08,4.788803664723673e-08
1874,1.1829725821144166e-07,2.5093358502203955e-08
1875,7.8957071991681e-08,6.40811066432434e-08
1876,8.827181829929032e-08,2.5997863417615008e-08
1877,9.648312726540098e-08,4.143826615177204e-08
1878,8.817069385713694e-08,2.294853729267743e-08
1879,8.919614913338592e-08,1.8938909107646396e-08
1880,7.958129089047361e-08,3.9790645445236805e-08
1881,6.554157039317943e-08,4.2532295907449225e-08
1882,8.0530156765235e-08,4.059785041476971e-08
1883,8.151947383794322e-08,3.791603475633565e-08
1884,9.836528391815591e-08,3.4328824227713994e-08
1885,8.05704445383526e-08,5.0920522909336796e-08
1886,7.486018205327127e-08,2.968593371122097e-08
1887,1.0250411719425756e-07,5.223139609711325e-08
1888,6.721051448721482e-08,4.2482117379449846e-08
1889,7.643466659601472e-08,3.821733329800736e-08
1890,8.913965388046563e-08,3.8015443237782165e-08
1891,9.37010327106691e-08,3.059625441892422e-08
1892,1.2223598844229855e-07,6.143142172732041e-08
1893,6.712674149866871e-08,3.263960834942736e-08
1894,8.192001388351855e-08,3.4028310835765296e-08
1895,5.476939080040211e-08,5.5973114143625935e-08
1896,8.609661961145321e-08,6.132910357337096e-08
1897,1.1653427378632841e-07,4.952706689209663e-08
1898,1.1769378005510589e-07,4.866185321361627e-08
1899,1.2271223681636911e-07,3.3165470370022376e-08
1900,1.0901211311420411e-07,4.3085741197046445e-08
1901,1.2630549406367209e-07,3.129693837422565e-08
1902,8.642099658118241e-08,3.093478895266344e-08
1903,7.236295118673297e-08,4.5361851164216205e-08
1904,1.0050548837625684e-07,3.7622378101787035e-08
1905,9.082936003323994e-08,3.9221767167418875e-08
