year,devraient_VERB ajouter_VERB
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,7.801356893821776e-09
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,9.064295980465431e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,1.7254450312975678e-08
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,4.670620334934483e-09
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,4.746592452420373e-09
1821,0.0
1822,1.0025615893027862e-09
1823,3.9530747564242574e-09
1824,5.894778887238772e-09
1825,0.0
1826,4.403992281964975e-09
1827,0.0
1828,1.559291185060374e-08
1829,2.571952872898464e-09
1830,5.218417697960831e-09
1831,9.354723218280014e-09
1832,2.705993873419743e-09
1833,2.3167257001688313e-09
1834,8.401078055442213e-09
1835,3.025235173481633e-09
1836,9.409050427677812e-09
1837,0.0
1838,5.680945491803868e-09
1839,6.9914749545318955e-09
1840,3.1848443882154243e-09
1841,8.346713542550788e-09
1842,6.708265054555795e-10
1843,3.5441467538532834e-09
1844,6.037417232818143e-09
1845,4.464182357111213e-09
1846,1.7563504428608212e-08
1847,5.9325460100012606e-09
1848,2.413566457803995e-09
1849,5.02764896381791e-09
1850,3.394498016007219e-09
1851,4.514607354622058e-09
1852,1.9531636308300904e-09
1853,9.555090940693844e-09
1854,0.0
1855,7.429711956774554e-09
1856,2.5885946719483854e-09
1857,3.4170564155999728e-09
1858,6.361778659424999e-09
1859,2.5460866748261424e-09
1860,6.408057640072684e-09
1861,2.357981809808507e-09
1862,2.710791813242963e-09
1863,2.9967726078439227e-09
1864,1.4384183844029508e-09
1865,1.4120533631256649e-09
1866,1.1190909532388105e-08
1867,9.7056229719783e-09
1868,1.0373735648272486e-08
1869,7.813630631403612e-09
1870,5.734048791339319e-10
1871,3.18635318130589e-09
1872,1.8142017887967654e-09
1873,1.1972008939764578e-09
1874,1.7923826867161097e-09
1875,6.865832347102696e-09
1876,2.418405919968336e-09
1877,1.608052180301911e-08
1878,6.6429977074733415e-09
1879,8.55305515301552e-09
1880,3.8507077526617195e-09
1881,3.4862537301449947e-09
1882,6.655385131892899e-09
1883,1.0110942305630033e-08
1884,0.0
1885,3.2228177904158883e-09
1886,5.162771099520569e-09
1887,1.9586774424595887e-09
1888,6.340614699951175e-10
1889,6.891650361495749e-09
1890,4.5880703680722945e-09
1891,5.736798147637501e-09
1892,3.761107425503951e-09
1893,2.463366621796581e-09
1894,0.0
1895,2.4074457982692365e-09
1896,1.3563166589847242e-08
1897,0.0
1898,3.960848538042683e-09
1899,1.1055156790007459e-09
1900,7.786579381274805e-09
1901,1.1177477832191585e-09
1902,0.0
1903,2.7001101354784396e-09
1904,6.987012746151322e-09
1905,2.0643036169332163e-09
1906,5.144184522798412e-10
1907,1.5428529565042481e-09
1908,1.964555629285769e-09
1909,5.500983557560346e-10
1910,2.137660271017694e-09
1911,5.852411444351446e-09
