year,puissent_VERB entrer_VERB,puissent_VERB rentrer_VERB
1800,2.7668647817336023e-07,5.0306631749208464e-08
1801,3.4527147363405675e-07,6.191074675143682e-08
1802,3.20011139365306e-07,2.9091921760482364e-08
1803,2.7304750460643845e-07,3.90067853572873e-08
1804,2.6201618652521574e-07,2.7190360185613827e-08
1805,3.439882050315646e-07,5.970043304159844e-08
1806,1.556101381083863e-07,1.729001475325731e-08
1807,2.5053205376934784e-07,2.562259560079383e-08
1808,1.3369836437959748e-07,1.8128591960930862e-08
1809,2.643065784013743e-07,1.129515236897305e-08
1810,2.5975407424994046e-07,4.680253518074551e-09
1811,2.0056614857821842e-07,2.5070768572277302e-08
1812,3.7340916492212273e-07,1.600324850414836e-08
1813,1.8979895344273245e-07,2.8757416004054903e-08
1814,1.604805390797992e-07,4.72001566720337e-08
1815,1.780167480092132e-07,3.236668177919455e-08
1816,1.4369143741532753e-07,6.952811659743929e-09
1817,2.428722609693068e-07,1.401186100480345e-08
1818,1.9550731167328195e-07,3.457141417584353e-08
1819,2.1633694302636286e-07,2.070209959015301e-08
1820,1.6613073228199937e-07,7.119888678630559e-09
1821,2.169527419937367e-07,1.3806083387635226e-08
1822,2.315917271289436e-07,1.0025615893027862e-08
1823,1.0277994277885227e-07,3.656594316225892e-08
1824,2.1894892654472642e-07,6.06320114115988e-08
1825,1.9283920948964806e-07,2.905796137042671e-08
1826,2.334115833946271e-07,1.8496766784892316e-08
1827,2.903441043144994e-07,2.488663675137559e-08
1828,1.2749498523589864e-07,2.0179061976932644e-08
1829,3.0949166784921545e-07,2.743416338546467e-08
1830,3.037119142845768e-07,3.1310507520032616e-09
1831,2.1359952029342821e-07,3.585977381703742e-08
1832,2.1512651926514081e-07,3.5177919244233635e-08
1833,1.6796261093077192e-07,1.1583628278799551e-08
1834,2.2962946388815908e-07,1.9602515166639023e-08
1835,2.117664621437143e-07,7.563087933704082e-09
1836,1.7675573360520502e-07,5.8470526198561856e-08
1837,1.5168201628057432e-07,3.2006298056330706e-08
1838,2.1082620094148297e-07,2.7773513266993177e-08
1839,1.7968091015063692e-07,2.23727205650448e-08
1840,1.1338045879938363e-07,2.93005673057678e-08
1841,1.7014453135288932e-07,3.467096121312352e-08
1842,1.596567074102495e-07,3.018719141323345e-08
1843,1.9906291015558963e-07,2.0674189471492355e-08
1844,1.7947594699307956e-07,2.25031016043431e-08
1845,1.8024135783889506e-07,2.2320911341466854e-08
1846,1.7387868922469352e-07,2.985795788390533e-08
1847,1.9954927665821742e-07,3.66739207890987e-08
1848,1.9791245620126574e-07,1.287235473768078e-08
1849,1.6507446787272784e-07,2.6814127807028854e-08
1850,1.9212858148875966e-07,3.1229383523623255e-08
1851,1.7348990866139502e-07,1.5478653025979838e-08
1852,1.6927418755585677e-07,1.7578472011337e-08
1853,1.6900567345601303e-07,2.7470886010405593e-08
1854,1.6989822881896544e-07,6.28675422831293e-08
1855,2.1917649917213566e-07,2.812676669350367e-08
1856,1.4340814402657998e-07,3.9346637947801355e-08
1857,1.4595711661513633e-07,3.0753508184488965e-08
1858,1.448528053060727e-07,3.425573069648635e-08
1859,1.6345876474588295e-07,4.1755821911237945e-08
1860,1.4601216946630302e-07,6.31651388971477e-08
1861,1.207286715043665e-07,3.7256114637784776e-08
1862,1.5406332920520072e-07,3.6143891435358455e-08
1863,1.6382355738642218e-07,4.4951587341302e-08
1864,1.2706028940101532e-07,3.931677028390368e-08
1865,1.736825510079143e-07,2.023943146411966e-08
1866,1.0898973101802767e-07,4.135770836910524e-08
1867,1.5043715961837734e-07,4.804283548764943e-08
1868,1.6647375389311492e-07,2.766329387782207e-08
1869,1.3087831973734865e-07,3.4672986259920435e-08
1870,1.2098843171770568e-07,1.3761717099214366e-08
1871,9.665271250014484e-08,3.611200227737754e-08
1872,1.6327815899330744e-07,4.4145576083565174e-08
1873,1.3229069395492843e-07,2.5141218884527916e-08
1874,1.3263631615245686e-07,2.8678122987457755e-08
1875,1.2186852416107286e-07,3.547346949517305e-08
1876,1.1608348415848013e-07,3.869449471949338e-08
1877,1.7193788437452895e-07,2.2265338017746217e-08
1878,1.2380131408917805e-07,2.294853729267743e-08
1879,1.5762059035751008e-07,2.443730195977878e-08
1880,1.3028227385802893e-07,2.3746030919369332e-08
1881,1.1295462343241525e-07,3.137628468152798e-08
1882,1.2379015856822662e-07,2.0631693686823382e-08
1883,1.320741773724876e-07,1.1374810426900694e-08
1884,1.2081105182915053e-07,2.706695667598069e-08
1885,1.1473231609215873e-07,4.963139588198828e-08
1886,1.6327263097082323e-07,3.9366128135043255e-08
1887,1.37107420528082e-07,2.4809914123125054e-08
1888,1.236419819861112e-07,3.7409627395845746e-08
1889,1.0588080812112821e-07,2.192797943223468e-08
1890,1.4485193844393507e-07,3.9326319978272295e-08
1891,1.5425612787112186e-07,3.633305567518619e-08
1892,1.4856374264127226e-07,2.9462007944403013e-08
1893,1.2686338379808149e-07,3.695049954899332e-08
1894,8.507078064212692e-08,3.3398158905129094e-08
1895,1.131499516304757e-07,3.611168608586013e-08
1896,1.0850533271877794e-07,1.8280790214930676e-08
1897,1.7072271418783203e-07,2.5637540090883704e-08
1898,1.2391797099553514e-07,1.4711722506888236e-08
1899,1.4537531001224124e-07,3.8693048765026106e-08
1900,1.3704379853152204e-07,1.8168686111152965e-08
1901,9.389081156996326e-08,3.073806453812722e-08
1902,1.870818095994764e-07,4.0264328760031276e-08
1903,1.2528511206255644e-07,4.3201762167655033e-08
1904,1.2200399623907288e-07,3.0635362691100454e-08
1905,1.259225257399521e-07,2.3223416079076742e-08
1906,1.4455159202952927e-07,1.2860461140462576e-08
1907,1.0748542678129525e-07,2.3142794347563722e-08
1908,1.5519989915446786e-07,3.241516921548282e-08
1909,1.259725195268402e-07,3.905698164885507e-08
1910,1.2077779842911696e-07,2.2979847358328698e-08
1911,1.1598415738944823e-07,3.511446777793026e-08
1912,1.093978454491662e-07,1.7712032729377825e-08
1913,1.1348397777055652e-07,1.2196876397752021e-08
1914,1.4464966113791888e-07,2.4108278040557707e-08
1915,1.2369800117539853e-07,3.180805663305364e-08
1916,9.888715624128963e-08,4.394984642885902e-08
1917,1.2501723745117488e-07,4.1672411299487067e-08
1918,1.252014953934122e-07,5.054005569604669e-08
1919,9.299926517769563e-08,2.3940405213807026e-08
1920,1.1736959493191534e-07,3.558949046578164e-08
1921,1.166203134062016e-07,1.741731914250977e-08
1922,1.387051895562763e-07,2.87739485571592e-08
1923,9.872831441271046e-08,2.3355084977083607e-08
1924,1.46964524105897e-07,2.3204924204378585e-08
1925,1.055825080698014e-07,3.079489729884699e-08
1926,1.2818058792163356e-07,2.1177662290483568e-08
1927,1.0145794959726118e-07,1.7838759802657478e-08
1928,9.940655587570291e-08,2.170947865920425e-08
1929,1.214304319319126e-07,3.8991423423340166e-08
1930,9.24317120620799e-08,2.8359728787563654e-08
1931,1.1519410492155657e-07,2.0529641986399838e-08
1932,1.1397918342481717e-07,2.301502632917618e-08
1933,8.947116469926186e-08,1.0323596200123575e-08
1934,8.506921744810825e-08,1.677421224144382e-08
1935,8.856530087086867e-08,2.393656828303392e-08
1936,7.759817322039453e-08,3.273672888326473e-08
1937,1.3724319103403104e-07,3.273690651894867e-08
1938,1.4780344770315423e-07,7.779128452511941e-09
1939,1.391758530644438e-07,2.7529290846928234e-08
1940,8.368083825871508e-08,1.7750480196809804e-08
1941,5.9030050181263505e-08,2.9515025090631752e-08
1942,1.0316320242509391e-07,1.2136847082899749e-08
1943,9.580676163523094e-08,8.709705845433291e-09
1944,7.711646787811333e-08,2.5705489292704442e-08
1945,1.1546071476686848e-07,1.5249527862692958e-08
1946,9.883984120051537e-08,2.5057987684817817e-08
1947,1.2040079866437736e-07,3.099426493236024e-08
1948,1.0980606646171509e-07,3.044128504825494e-08
1949,1.1191389148734743e-07,2.0615717133409817e-08
1950,9.89088633218671e-08,1.1698897850465073e-08
1951,7.996051465397613e-08,2.1322803078760444e-08
1952,1.1177492353908747e-07,1.7926167217297007e-08
1953,9.911921239336152e-08,1.8315507332999914e-08
1954,1.1238416419701025e-07,2.052232517257835e-08
1955,1.1638153551984942e-07,1.8771215692936494e-08
1956,9.767678932348645e-08,1.657016923672927e-08
1957,7.509782307124624e-08,1.5903067307476704e-08
1958,9.761247099504544e-08,1.4890038535497752e-08
1959,1.1006061839680115e-07,1.7826719656000023e-08
1960,9.827583369315107e-08,2.07624992754063e-08
1961,8.685199048841241e-08,1.389631876236308e-08
1962,1.0273969053287146e-07,1.1415521861124489e-08
1963,1.1121611720454894e-07,1.2932106940866106e-08
1964,1.0342746037395045e-07,1.0951143103454797e-08
1965,1.2695140583218745e-07,1.8057743744748223e-08
1966,1.0413460671543362e-07,1.273987226824147e-08
1967,1.291747935283638e-07,1.232583901611406e-08
1968,1.1542938693764881e-07,1.1677681044375277e-08
1969,1.4669878112272272e-07,2.634219598007803e-08
1970,1.1772736030479791e-07,1.6555409487750694e-08
1971,1.1458626403282324e-07,2.209510974182649e-08
1972,9.029058389842248e-08,1.5903454553267693e-08
1973,8.214673385964488e-08,1.1577728109557484e-08
1974,1.1363654550677893e-07,2.306484425673716e-08
1975,8.624335379181503e-08,1.9990180177842376e-08
1976,1.0570024500111685e-07,1.428381679602353e-08
1977,8.697637099430722e-08,1.5867311020656416e-08
1978,8.91088731691525e-08,1.900989232694883e-08
1979,9.948355028654987e-08,2.2822696621460636e-08
1980,1.0574380127081895e-07,1.762396628635088e-08
1981,7.40089305395486e-08,1.644642821929665e-08
1982,9.249178134496105e-08,1.8622506203769262e-08
1983,8.14675757965233e-08,1.515675762675528e-08
1984,9.684344348670493e-08,1.4497521405587577e-08
1985,7.699914306158462e-08,1.2632671797518924e-08
1986,6.65387887011093e-08,1.3787316177626963e-08
1987,7.088547704370285e-08,2.0165694891716157e-08
1988,7.675588875599715e-08,1.4991384134077634e-08
1989,9.604213602187883e-08,1.92084268491044e-08
1990,9.371679965397561e-08,1.198703181159999e-08
1991,7.326831763521113e-08,1.817054240405014e-08
1992,8.154717079378315e-08,2.920270425477156e-08
1993,9.305868786668725e-08,2.1602909683338112e-08
1994,9.442118908964403e-08,3.639699386326356e-08
1995,8.025227060670659e-08,3.741491028108612e-08
1996,8.594328448907618e-08,3.4697599460287165e-08
1997,9.397993494530965e-08,2.924885578181602e-08
1998,1.0537565486856693e-07,1.621164003040576e-08
1999,9.780230669775847e-08,4.981519197144735e-08
2000,8.836062903583297e-08,2.783359853708589e-08
2001,1.0252035309576968e-07,3.5487815353008045e-08
2002,9.463438743750885e-08,2.6725450297249154e-08
2003,8.833876563585363e-08,2.375146124222738e-08
2004,1.0086971968803482e-07,3.964312256243829e-08
2005,9.502911524350566e-08,2.1617998058331978e-08
2006,1.0747692869017555e-07,1.6471560115860484e-08
2007,1.0145977569209208e-07,2.1969636776475454e-08
2008,8.131709705594403e-08,2.171294255504108e-08
2009,9.393339439611736e-08,2.5271420511785436e-08
2010,6.943975705553385e-08,2.692562084405381e-08
2011,9.368731213044157e-08,2.562061141020422e-08
2012,7.863823725529073e-08,1.872338906139248e-08
2013,9.650372589931067e-08,2.8170163091090217e-08
2014,8.943288776208647e-08,2.425298539776577e-08
2015,8.15699721101737e-08,2.327404224899965e-08
2016,8.948188678914448e-08,2.651315256230191e-08
2017,8.729170986043755e-08,2.6917041040519507e-08
2018,9.035133530232997e-08,3.3300921131740324e-08
2019,8.035611642753793e-08,2.627517403652746e-08
