year,pouvait_VERB établir_VERB,pouvait_VERB etablir_VERB,pouvait_VERB rétablir_VERB
1800,6.917161954334006e-08,0.0,9.432493897065797e-09
1801,6.191074675143682e-08,0.0,4.7623651688866175e-09
1802,7.161088433349505e-08,0.0,1.3427040812530322e-08
1803,7.606323038089613e-08,0.0,2.5354410126965377e-08
1804,7.415552971679062e-08,0.0,3.707776485839531e-08
1805,4.8328921309348516e-08,0.0,1.7057265822018053e-08
1806,7.492339904047185e-08,0.0,2.5935023018064385e-08
1807,9.679647661187119e-08,0.0,1.9928686256776018e-08
1808,1.11037628869326e-07,0.0,1.3596443970698147e-08
1809,5.421673421324158e-08,0.0,8.132509776714869e-08
1810,7.020380365929668e-08,0.0,5.3822915901946544e-08
1811,1.3287507272252697e-07,2.5070767684098882e-09,6.769107585569145e-08
1812,1.1735716043403954e-07,2.6672082320544632e-09,2.9339290108509886e-08
1813,1.0927818294703684e-07,0.0,6.901780125190271e-08
1814,2.454408161156607e-07,0.0,3.1466772298927026e-08
1815,1.537417375629957e-07,0.0,5.933891955578474e-08
1816,1.1819779643928996e-07,0.0,2.3176038865813098e-08
1817,2.00836666408577e-07,0.0,8.407116069975018e-08
1818,1.4663048375496146e-07,0.0,5.841376804482934e-08
1819,1.2214239575314423e-07,0.0,1.2317750019974483e-07
1820,1.9105034709809843e-07,0.0,3.9159388620646496e-08
1821,8.776724769177235e-08,0.0,6.114122896860863e-08
1822,1.4938167680611514e-07,0.0,4.210758675071702e-08
1823,1.917241263527103e-07,0.0,5.6331316500290995e-08
1824,1.658959263295401e-07,0.0,4.29476756380609e-08
1825,1.2767893053933221e-07,0.0,6.427973175959778e-08
1826,1.3916614705067332e-07,8.807984341885344e-10,8.279505436803447e-08
1827,1.3733736636822869e-07,1.8434546111834038e-09,5.7147094167930845e-08
1828,1.5776357997765444e-07,9.172301251858528e-10,3.8523666034961934e-08
1829,2.280464883597233e-07,0.0,3.600733933240008e-08
1830,1.889067249294385e-07,0.0,2.817945699007396e-08
1831,1.4032085005055706e-07,0.0,3.1182413096075834e-08
1832,1.6641862998767465e-07,0.0,9.065079353831607e-08
1833,2.235640295111807e-07,1.1583628500844156e-09,6.139323005527331e-08
1834,2.1282730244820414e-07,0.0,4.760610750054184e-08
1835,2.064722934846941e-07,0.0,2.7227116561334697e-08
1836,1.7944402941338922e-07,6.720750067579218e-10,4.166864897570122e-08
1837,2.6022510724033054e-07,0.0,5.287997240088771e-08
1838,1.7863418122487928e-07,0.0,3.787297231383491e-08
1839,1.97858753381297e-07,0.0,2.7266752411492234e-08
1840,1.7707733945826476e-07,0.0,4.2039946634986336e-08
1841,1.9903700376744382e-07,6.420548537278137e-10,3.017657945747487e-08
1842,2.837596184690483e-07,0.0,6.238686722781495e-08
1843,1.7543526098506845e-07,0.0,3.485077471054865e-08
1844,2.085653250105679e-07,5.488561272137815e-10,5.982531803283564e-08
1845,2.2488318052182876e-07,0.0,5.524425716885162e-08
1846,1.8207498442279757e-07,0.0,4.6836010625384006e-08
1847,2.1572894581822766e-07,0.0,5.177494699637464e-08
1848,1.8664914591681736e-07,0.0,7.401604307233356e-08
1849,2.0361977703942102e-07,1.6758829879393033e-09,7.54147322368226e-08
1850,2.0502767483776552e-07,6.788996032014438e-10,4.6844071732721204e-08
1851,2.0896182206797675e-07,6.449438760824933e-10,2.644269869733762e-08
1852,1.2239824798143673e-07,1.3021090872200602e-09,4.492276417522589e-08
1853,2.0483726359543653e-07,0.0,3.3442816516071616e-08
1854,1.6054603690918157e-07,5.195664454227256e-10,2.8056588163849483e-08
1855,1.6716852258014114e-07,0.0,4.6701046585440054e-08
1856,1.739535520073332e-07,5.177189232874468e-10,3.468716869292621e-08
1857,1.3765856010650168e-07,0.0,3.612316845647001e-08
1858,1.7421486120383634e-07,1.468102750479261e-09,3.034079298913639e-08
1859,1.7669842122813861e-07,0.0,3.106225676674512e-08
1860,1.7530614115912613e-07,0.0,2.288591893773173e-08
1861,1.77320231387057e-07,0.0,5.3761986862355116e-08
1862,1.6038850958466355e-07,0.0,4.292087041335435e-08
1863,1.9628859604381432e-07,0.0,5.2942979777981236e-08
1864,1.4240342238736048e-07,1.4384183844029508e-09,3.7398876884253696e-08
1865,1.9815814766843687e-07,0.0,4.000817810378976e-08
1866,1.4110277390955162e-07,0.0,5.838735361862746e-08
1867,1.8246571187319205e-07,0.0,2.91168689159349e-08
1868,1.481962215166277e-07,0.0,1.6301584082611953e-08
1869,2.0071263406862272e-07,0.0,2.1487483792270723e-08
1870,2.0069170147962723e-07,5.734048791339319e-10,2.3509599600401998e-08
1871,2.1985836440308049e-07,0.0,2.8677177965619194e-08
1872,1.4634561296134052e-07,0.0,4.112190765681589e-08
1873,1.8077733443533361e-07,0.0,3.112722168907567e-08
1874,1.7027636545208225e-07,0.0,2.9275584623178474e-08
1875,1.676407492823273e-07,5.721527140956084e-10,4.806082642971887e-08
1876,1.6203320285512746e-07,0.0,3.3253080289341597e-08
1877,2.3997085918381345e-07,0.0,3.401648740464225e-08
1878,1.1595049898005527e-07,6.039088673581716e-10,2.8987624745013818e-08
1879,1.362379578040418e-07,0.0,4.643087336830831e-08
1880,1.3862548087217874e-07,0.0,3.4656370218044685e-08
1881,1.3387214892190968e-07,0.0,1.743126887276958e-08
1882,1.630569386179559e-07,0.0,2.1962771157291172e-08
1883,1.5103219652701227e-07,0.0,2.8437025179073316e-08
