year,avait_VERB enseigné_VERB,avait_VERB renseigné_VERB
1800,2.4524482000742864e-07,3.144164484325529e-09
1801,1.8335106233280385e-07,0.0
1802,1.2531904758361634e-07,0.0
1803,9.946730017418304e-08,0.0
1804,2.1505103120489366e-07,0.0
1805,9.950071699904584e-08,0.0
1806,1.671368039524168e-07,0.0
1807,1.1672516109229036e-07,0.0
1808,3.08186059783111e-07,0.0
1809,2.82378806559791e-07,6.7770917766551975e-09
1810,3.25277625279341e-07,0.0
1811,2.85806748934192e-07,0.0
1812,1.520308643421231e-07,0.0
1813,3.9110085481297574e-07,0.0
1814,2.0453401816666883e-07,0.0
1815,2.751168040049379e-07,8.091670444798638e-09
1816,3.337349596677086e-07,0.0
1817,4.4215204297870514e-07,0.0
1818,3.969751958265988e-07,0.0
1819,4.0265584289045364e-07,0.0
1820,5.15005297074822e-07,0.0
1821,4.920882474834798e-07,0.0
1822,4.5817063210051856e-07,0.0
1823,3.182225043474318e-07,0.0
1824,3.6547629633787437e-07,0.0
1825,4.490775893373211e-07,0.0
1826,3.29418611499932e-07,0.0
1827,4.018731090127403e-07,0.0
1828,3.834021811144339e-07,8.255071293206129e-09
1829,4.3894661416743475e-07,8.57317605795771e-10
1830,3.80944499056568e-07,0.0
1831,5.332192358764587e-07,0.0
1832,5.046678666076332e-07,0.0
1833,4.471280590223614e-07,0.0
1834,4.807283175978228e-07,0.0
1835,4.923570031678537e-07,0.0
1836,5.712637403121335e-07,0.0
1837,4.3486818412930006e-07,6.957890930081589e-10
1838,5.074978162156185e-07,0.0
1839,5.579196908911399e-07,0.0
1840,6.293252567957097e-07,0.0
1841,6.003213002259145e-07,0.0
1842,5.440402901513153e-07,6.708265054555795e-10
1843,7.076479278111947e-07,0.0
1844,6.800327696510067e-07,0.0
1845,6.947383894839732e-07,5.580227946389016e-10
1846,6.000863663757627e-07,5.269050973311096e-09
1847,6.385577080436633e-07,1.0786447290911383e-09
1848,5.816695534122118e-07,4.82713291560799e-09
1849,5.111443215355393e-07,8.379414939696517e-10
1850,5.838536480951007e-07,2.7155984128057753e-09
1851,7.403955919471628e-07,0.0
1852,6.367313289956655e-07,0.0
1853,6.784114816582587e-07,1.0152284346531815e-08
1854,6.12568840097083e-07,6.754363734984281e-09
1855,6.76634499541251e-07,1.5920811335945473e-09
1856,6.766586579942668e-07,1.0354378465748937e-09
1857,5.862692660230095e-07,3.4170564155999728e-09
1858,6.508589081022365e-07,2.936205500958522e-09
1859,5.789801207356504e-07,5.092173349652285e-10
1860,6.165466857055435e-07,4.119465657481669e-09
1861,6.347686962726584e-07,0.0
1862,6.27548274678702e-07,0.0
1863,6.777700605198334e-07,9.989241656072068e-10
1864,6.28109376066277e-07,2.3973640850272204e-09
1865,6.22715504050575e-07,5.177528628053096e-09
1866,6.232850182641414e-07,1.4596839292835284e-09
1867,4.896486984762305e-07,6.308654931785895e-09
1868,5.325184133653238e-07,3.457911734727759e-09
1869,5.728367682422686e-07,6.8369265804335555e-09
1870,5.430144369711343e-07,1.7202146374017957e-09
1871,4.662696824198065e-07,8.496941816815706e-09
1872,5.279327410789847e-07,4.23313739617015e-09
1873,4.112385170174093e-07,5.986004469882289e-10
1874,4.2957438495250244e-07,1.1949218281515073e-09
1875,4.1881577317326446e-07,1.2015206607429718e-08
1876,5.253986614661699e-07,2.418405919968336e-09
1877,3.9335429846687475e-07,4.329371083855449e-09
1878,5.562000637837627e-07,7.850815109122777e-09
1879,4.7163990757326246e-07,6.720257683667796e-09
1880,4.2871212713180284e-07,1.0268554007097919e-08
1881,4.0789169020172267e-07,1.6036766581351003e-08
1882,5.490692842613498e-07,3.9932310791357395e-09
1883,4.069654266913858e-07,9.479008689083912e-09
1884,4.258094463693851e-07,5.941527270181268e-09
1885,4.221891458655591e-07,9.023890079618013e-09
1886,3.9107990801312553e-07,9.034849313138693e-09
1887,4.269916757948522e-07,6.528924512139156e-09
1888,3.417591187826474e-07,1.2047167707862627e-08
1889,3.915710351520829e-07,1.3783300722991498e-08
1890,3.7687721032853005e-07,6.554386366985909e-09
1891,3.7034217825748783e-07,8.286486163910922e-09
1892,3.9115516869969724e-07,3.761107425503951e-09
1893,4.255465739788633e-07,2.586534897375259e-08
1894,4.001477407200582e-07,8.192000855444803e-09
1895,3.737559666205925e-07,1.625025980445116e-08
1896,4.4522568032334675e-07,1.2973464080801023e-08
1897,3.787363880292105e-07,2.0393496669157685e-08
1898,3.870314628784399e-07,2.9423445013776472e-08
1899,4.499448778005899e-07,3.924580482816964e-08
1900,4.1061230149352923e-07,2.491705508589348e-08
1901,3.6718014939651766e-07,5.085752263767063e-08
1902,3.255518095102161e-07,3.879124221839447e-08
1903,3.202330560725386e-07,1.8900770726304472e-08
1904,4.2298299263165973e-07,1.5048950530172078e-08
1905,4.3918058167946583e-07,2.7352022868853965e-08
1906,3.796408236667048e-07,2.2634411678268407e-08
1907,3.944560944546538e-07,1.7485668024619372e-08
1908,3.560757022569305e-07,2.3083527977973972e-08
1909,4.395285770897317e-07,3.025541062129378e-08
1910,4.1524052107888565e-07,3.5271394693836555e-08
1911,4.059445473103551e-07,4.788336838146279e-08
1912,4.0216733054876386e-07,3.021464323182954e-08
1913,4.783296958521532e-07,3.818152549683873e-08
1914,3.743479624063184e-07,2.209925398233281e-08
1915,3.216148058982071e-07,2.0027295377644805e-08
1916,3.7357369819801534e-07,2.0876177231343718e-08
1917,4.638797577172227e-07,4.0575770299255964e-08
1918,3.93982702462381e-07,5.513460621386912e-08
1919,4.0238296605821233e-07,3.6831393490643904e-09
1920,5.520157060345809e-07,1.2115570768855832e-08
1921,4.3391841586526425e-07,2.7261890522822796e-08
1922,4.6776111162216694e-07,3.172512208493572e-08
1923,4.3313067976669117e-07,2.866305948145964e-08
1924,4.924600602862483e-07,3.0939897754933554e-08
