year,pourraient_VERB allumer_VERB,pourraient_VERB rallumer_VERB
1800,0.0,0.0
1801,3.5717739876872656e-08,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,1.2586708564299443e-08,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,4.140420006848444e-09,0.0
1820,5.933240565525466e-09,1.1866481131050932e-09
1821,0.0,0.0
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,8.421112696055388e-10,5.894778887238772e-09
1825,0.0,0.0
1826,0.0,0.0
1827,3.6869092223668076e-09,4.608636583469661e-09
1828,3.668920500743411e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,6.262101504006523e-09,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,4.6334514003376626e-09,0.0
1834,8.401078055442213e-09,0.0
1835,2.2689263801112247e-09,6.050470346963266e-09
1836,5.376600054063374e-09,0.0
1837,1.3915781860163179e-09,0.0
1838,2.5248647617104325e-09,0.0
1839,0.0,1.3982950353153e-09
1840,9.554533164646273e-09,1.9109065441114126e-09
1841,0.0,0.0
1842,4.024959032733477e-09,6.708265054555795e-10
1843,5.906911071384968e-10,0.0
1844,2.195424508855126e-09,0.0
1845,0.0,1.1160455892778032e-09
1846,5.269050973311096e-09,0.0
1847,1.6179670936367074e-09,5.393223645455691e-10
1848,3.218088684420195e-09,0.0
1849,5.865590679832167e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,6.449438760824933e-10,0.0
1852,0.0,0.0
1853,1.1943863675867306e-09,1.1943863675867306e-09
1854,2.0782657816909023e-09,0.0
1855,2.653468555990912e-09,0.0
1856,5.177189232874468e-10,0.0
1857,4.881509085841174e-10,4.881509085841174e-10
1858,5.3830437884982985e-09,0.0
1859,6.110608019582742e-09,5.092173349652285e-10
1860,3.204028820036342e-09,0.0
1861,3.3011746669586728e-09,0.0
1862,3.6143890103090826e-09,0.0
1863,3.496234635136375e-09,2.4973103585068657e-09
1864,4.794727948009836e-10,0.0
1865,1.882737743486018e-09,4.706844358715045e-10
1866,5.352174259343201e-09,8.75810357570117e-09
1867,4.85281148598915e-10,0.0
1868,1.4819622196071691e-09,0.0
1869,6.348574999037737e-09,5.860222973552709e-09
1870,8.601073631098188e-09,0.0
1871,1.0621176826930423e-08,0.0
1872,1.3304146229131675e-08,0.0
1873,0.0,0.0
1874,0.0,5.974609140757536e-10
1875,0.0,5.721527140956084e-10
1876,0.0,0.0
1877,0.0,0.0
1878,6.6429977074733415e-09,0.0
1879,4.27652757650776e-09,0.0
1880,1.9253538763308597e-09,0.0
1881,4.8807553554297556e-09,6.972507571312292e-10
1882,0.0,0.0
1883,3.159669414998234e-09,0.0
