year,fallait_VERB aller_VERB
1800,1.8864986373046122e-07
1801,1.5239568540437176e-07
1802,1.6112448975036386e-07
1803,7.606323038089613e-08
1804,1.6808586167371686e-07
1805,7.960057502032214e-08
1806,1.440834580535011e-07
1807,1.6227643584443285e-07
1808,1.8128591250388126e-07
1809,2.1460789412230952e-07
1810,1.5210824244604737e-07
1811,1.2535383575595915e-07
1812,9.868670503010435e-08
1813,3.2208305356107303e-07
1814,1.6362720600682223e-07
1815,3.1018069535093673e-07
1816,1.4832664874120383e-07
1817,3.0826092256575066e-07
1818,1.9193095113223535e-07
1819,1.9459973543689557e-07
1820,2.5394268732270575e-07
1821,2.5245410029128834e-07
1822,4.3009890760004055e-07
1823,2.9252754529807135e-07
1824,3.5958152011517086e-07
1825,3.6542587622534484e-07
1826,2.8978269028812065e-07
1827,3.355087301315507e-07
1828,2.7516904310687096e-07
1829,4.560929767194466e-07
1830,3.506776806716516e-07
1831,3.2273797501147783e-07
1832,3.368962495642336e-07
1833,2.965408896216104e-07
1834,4.965970674675191e-07
1835,3.2672539873601636e-07
1836,3.165473287936038e-07
1837,3.4024085948658467e-07
1838,3.6926147117810615e-07
1839,3.768405179016554e-07
1840,4.675351590321952e-07
1841,3.794544056745508e-07
1842,4.165832478975062e-07
1843,4.223441294470831e-07
1844,4.2097263985851896e-07
1845,4.475342905152502e-07
1846,4.724582538528921e-07
1847,4.6058130465098657e-07
1848,2.984777154324547e-07
1849,4.64219596096882e-07
1850,3.9511957083959715e-07
1851,3.637483416696341e-07
1852,3.815179638877453e-07
1853,3.559271419817378e-07
1854,3.927922307411791e-07
1855,3.550341034497251e-07
1856,3.753462181066425e-07
1857,3.9344962488030433e-07
1858,3.6849380080639094e-07
1859,4.7509976752735383e-07
1860,4.600069871685264e-07
1861,3.6029962302563945e-07
1862,4.314676971262088e-07
1863,4.465190954761056e-07
1864,4.1378501691724523e-07
1865,3.996110820025933e-07
1866,4.6904509076739487e-07
1867,3.7997514823473466e-07
1868,4.3767283841589233e-07
1869,4.4488859884950216e-07
1870,4.380813152238261e-07
1871,5.554875883717614e-07
1872,5.430510441328806e-07
1873,4.4595734038921364e-07
1874,3.8177751093826373e-07
1875,4.439905012532108e-07
1876,4.1596581468184013e-07
1877,4.08816333674622e-07
1878,3.997876660832844e-07
1879,4.6003219722479116e-07
1880,3.703097206653183e-07
1881,4.2044220549541933e-07
1882,4.3260004645162553e-07
1883,3.9685448882664787e-07
1884,4.2646962583603454e-07
1885,4.1058700617213617e-07
1886,2.710454793941608e-07
1887,3.8520656175933254e-07
