year,aient_VERB enseigné_VERB,aient_VERB renseigné_VERB
1800,3.144164484325529e-09,0.0
1801,3.809892135109294e-08,0.0
1802,6.713520406265161e-09,0.0
1803,4.4857802805609026e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,3.695740957709859e-08,0.0
1806,2.881669125542885e-09,0.0
1807,1.9928686256776018e-08,0.0
1808,1.1330369531492579e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,1.5733386149463513e-08,0.0
1815,1.8880564667256294e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,4.0478710161551135e-08,0.0
1818,3.099506074022429e-08,0.0
1819,7.866798057420965e-08,0.0
1820,8.781196214613374e-08,0.0
1821,6.804427243878308e-08,0.0
1822,3.909990198280866e-08,0.0
1823,4.348382276475604e-08,0.0
1824,3.2000230021367315e-08,0.0
1825,3.522177394188475e-08,0.0
1826,2.2019960965735663e-08,0.0
1827,5.530363722527909e-08,0.0
1828,4.219258542548232e-08,0.0
1829,3.086343269842473e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,2.6505050598757407e-08,0.0
1832,8.117981842303834e-09,0.0
1833,3.938433579264711e-08,0.0
1834,5.2273371409228275e-08,0.0
1835,2.117664621437143e-08,0.0
1836,3.629205025390547e-08,0.0
1837,1.530736071231331e-08,0.0
1838,2.7142295522253335e-08,0.0
1839,3.4957377437194737e-08,0.0
1840,4.0129037870428874e-08,0.0
1841,4.3017674755674307e-08,0.0
1842,1.9453969102301016e-08,0.0
1843,6.320394874137492e-08,0.0
1844,3.0735943568060975e-08,0.0
1845,3.1807299905040054e-08,0.0
1846,2.1076203893244383e-08,0.0
1847,1.833696039454935e-08,0.0
1848,2.333114323960217e-08,0.0
1849,1.0893239199560867e-08,2.513824481908955e-09
1850,2.1045888587423178e-08,0.0
1851,2.3862924081186065e-08,0.0
1852,2.669323606596663e-08,0.0
1853,3.2248433257109355e-08,0.0
1854,1.610655964157104e-08,1.558699391779328e-09
1855,3.1841622671890946e-08,3.1841622671890946e-09
1856,1.0872097000458325e-08,0.0
1857,1.4644527368545823e-08,0.0
1858,1.5170396494568195e-08,0.0
1859,1.5276519604867644e-08,0.0
1860,1.327383358784573e-08,0.0
1861,1.8863854478468056e-08,0.0
1862,1.3102160245637151e-08,0.0
1863,2.6970951694238465e-08,4.994620828036034e-10
1864,2.3973639073915365e-08,0.0
1865,2.9182434246877165e-08,3.765475486972036e-09
1866,2.3841502994059738e-08,0.0
1867,3.0572714138088486e-08,0.0
1868,1.0867722721741302e-08,0.0
1869,1.0743741896135361e-08,0.0
1870,4.12851512976431e-08,0.0
1871,4.248470908407853e-09,0.0
1872,1.5723081503438152e-08,0.0
1873,1.5563610844537834e-08,0.0
1874,2.5093358502203955e-08,0.0
1875,2.460256709468922e-08,0.0
1876,1.0882827083946722e-08,2.418405919968336e-09
1877,2.783167118991514e-08,1.8554447978047506e-09
1878,8.4547240319921e-09,6.039088673581716e-10
1879,1.710611030603104e-08,1.1607718342077078e-08
1880,2.1178893305773272e-08,0.0
1881,1.6036766581351003e-08,2.7890030285249168e-09
1882,2.0631693686823382e-08,0.0
1883,1.8958017378167824e-09,0.0
1884,1.9805090900604227e-09,0.0
1885,1.4180398189012067e-08,0.0
1886,5.808117542471791e-09,0.0
1887,1.3057849024278312e-08,0.0
1888,9.510921827882157e-09,0.0
1889,1.7542383545787743e-08,1.8795409673089125e-09
1890,5.243509182406569e-09,0.0
