year,pouvait_VERB emporter_VERB,pouvait_VERB remporter_VERB
1800,4.4018303668735825e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,1.1189200677108602e-08,1.5664880947952042e-08
1803,7.801356893821776e-09,1.1702034896643454e-08
1804,1.9774807569206132e-08,1.9774807569206132e-08
1805,3.4114531644036106e-08,3.4114531644036106e-08
1806,2.5935023018064385e-08,1.729001475325731e-08
1807,9.11025637151397e-08,4.27043254092041e-08
1808,4.758755522971114e-08,6.798221985349073e-09
1809,7.00299480627109e-08,0.0
1810,3.978215445954447e-08,1.6380887757350138e-08
1811,5.0141537144554604e-08,2.0056614147279106e-08
1812,1.973734100602087e-07,0.0
1813,1.4378708002027452e-08,2.8757416448144113e-09
1814,2.8320094713762956e-08,0.0
1815,4.315557688983063e-08,0.0
1816,2.7811246638975717e-08,6.952811659743929e-09
1817,4.514932783195036e-08,2.1796227045456362e-08
1818,6.675859509641668e-08,1.4305412854298538e-08
1819,1.9666995143552413e-08,7.24573512300708e-09
1820,6.763894333516873e-08,8.306536791735653e-09
1821,5.226588939422072e-08,2.7612166775270452e-08
1822,3.208197085768916e-08,1.303330066093622e-08
1823,6.127265805844218e-08,9.882686891060644e-10
1824,9.431646219582035e-08,2.189489300974401e-08
1825,1.4617035049013793e-07,6.163809906922779e-09
1826,6.870227764466108e-08,3.5231937367541377e-09
1827,5.530363722527909e-08,1.8434546111834038e-09
1828,8.071624790773058e-08,7.337841001486822e-09
1829,5.229637523029851e-08,1.714635211591542e-09
1830,3.444155893816969e-08,6.262101504006523e-09
1831,9.354723573551382e-08,4.677361609140007e-09
1832,6.3590853471851e-08,1.0823975493678972e-08
1833,4.40177885252524e-08,2.0850531967653296e-08
1834,7.467625096069241e-08,7.467624740797874e-09
1835,9.983276072489389e-08,2.193295500774184e-08
1836,8.199315004731034e-08,2.6210924986003192e-08
1837,4.383471363667013e-08,5.5663127440652715e-09
1838,9.594486272135327e-08,5.049729523420865e-09
1839,6.292327725532232e-08,7.690622361167243e-09
1840,7.134051571711097e-08,6.3696887764308485e-09
1841,7.31942506604355e-08,1.0272877659645019e-08
1842,8.251166150330391e-08,1.9453969102301016e-08
1843,6.025049259505977e-08,4.7255288571079745e-09
1844,4.8299337862545144e-08,1.756339607084101e-08
1845,5.8034370198356555e-08,2.7901139176833567e-09
1846,8.664662232149567e-08,8.196302303531411e-09
1847,7.658377398911398e-08,4.314578916364553e-09
1848,5.229394162142853e-08,8.84974404868899e-09
1849,9.636327291673297e-08,1.256912263158938e-08
1850,6.177986477950981e-08,4.752297222410107e-09
1851,1.064157402197452e-07,1.9348316726564008e-08
1852,8.268392548416159e-08,2.6042181744401205e-09
1853,6.808001984381917e-08,8.957897534855874e-09
1854,5.975014261139222e-08,1.8184826089395756e-08
1855,5.200798369742188e-08,1.9104973603134567e-08
