year,devrait_VERB appeler_VERB,devrait_VERB rappeler_VERB
1800,1.8864987794131594e-08,3.144164484325529e-09
1801,6.191074675143682e-08,0.0
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,4.8758479920252285e-08,7.801356893821776e-09
1804,3.707776485839531e-08,0.0
1805,1.9900143755080535e-08,8.528632911009026e-09
1806,1.729001475325731e-08,0.0
1807,5.124519120158766e-08,2.8469551160981155e-09
1808,1.5862518409903714e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,2.757784400841956e-08,0.0
1812,2.6672083208723052e-08,0.0
1813,1.121539270343419e-07,0.0
1814,8.496028414128887e-08,0.0
1815,8.091670444798638e-09,0.0
1816,3.0128852301913867e-08,0.0
1817,8.407116069975018e-08,0.0
1818,6.079800130009971e-08,0.0
1819,2.070209959015301e-08,4.140420006848444e-09
1820,2.7292905713238724e-08,3.5599443393152796e-09
1821,5.029358973729359e-08,1.2819934447350079e-08
1822,4.411270992932259e-08,0.0
1823,2.4706716672540097e-08,0.0
1824,2.4421225930382207e-08,0.0
1825,4.6668848341369085e-08,8.805443041381977e-10
1826,3.787433300317389e-08,1.2331177856594877e-08
1827,5.530363722527909e-08,3.6869092223668076e-09
1828,5.319934714975716e-08,3.668920500743411e-09
1829,5.1439055681612444e-08,1.1145129263923081e-08
1830,4.5922078584226256e-08,0.0
1831,6.392394169552063e-08,7.795603274018958e-09
1832,9.065079353831607e-08,1.2176972319366541e-08
1833,6.139323005527331e-08,9.266902800675325e-09
1834,3.9205030333278046e-08,6.534171426153534e-09
1835,7.33619529569296e-08,1.5126175867408165e-09
1836,8.064900214321824e-08,2.688300027031687e-09
1837,6.053365098068753e-08,9.74104708006962e-09
1838,5.5547026533986354e-08,6.943378316748294e-09
1839,7.410963576148788e-08,9.088918062616358e-09
1840,7.579929217627068e-08,1.46502836528839e-08
1841,5.1364388298225094e-08,5.1364388298225094e-09
1842,5.1653639587811995e-08,1.609983613093391e-08
1843,6.3794637128467e-08,1.063243981747064e-08
1844,6.805815644383983e-08,1.4819115712327857e-08
1845,9.932805511425613e-08,1.0602432709561072e-08
1846,6.966856602730331e-08,2.517435504501009e-08
1847,8.46736085691191e-08,4.314578916364553e-09
1848,4.827133182061516e-08,7.24069959545659e-09
1849,4.022119171054328e-08,1.508294644736452e-08
1850,4.480737203493845e-08,7.467895635215882e-09
1851,4.6435957301582675e-08,5.8044946626978344e-09
1852,6.315229228448516e-08,1.4323200403509873e-08
1853,6.808001984381917e-08,3.5831591027601917e-09
1854,4.364358119346434e-08,9.871762074453727e-09
1855,8.119613426060823e-08,9.552486801567284e-09
1856,5.643136091748602e-08,5.177189232874468e-10
1857,5.3208449202202246e-08,3.905207268672939e-09
1858,8.563932851757272e-08,7.34051397444091e-09
1859,7.230886467368691e-08,8.147477359443656e-09
1860,4.989130530930197e-08,1.5104706818647173e-08
1861,7.687020797675359e-08,1.6977470096435354e-08
1862,1.0120289317683273e-07,2.0782737308877586e-08
1863,5.2942979777981236e-08,1.9479021062807078e-08
1864,4.2193605054308136e-08,1.9178911792039344e-09
1865,4.3773653146672586e-08,9.413688495385486e-09
1866,3.941146431429843e-08,1.9949013108089275e-08
1867,6.066014179850754e-08,7.279217228983725e-09
1868,4.989272639477349e-08,9.87974857480367e-09
1869,7.08110263758499e-08,1.0255390314739543e-08
1870,6.250112960515253e-08,1.834895613228582e-08
1871,4.354682658913589e-08,4.248470908407853e-09
1872,3.688877114882416e-08,1.0885210954825197e-08
1873,4.0106229448610975e-08,1.7958013742713774e-08
1874,6.333085877940903e-08,5.377148060148329e-09
1875,6.751402281679475e-08,6.293679799540541e-09
1876,6.166935406781704e-08,1.753344314181504e-08
1877,5.00970109840182e-08,1.4843558382438005e-08
1878,4.287753085918666e-08,1.872117572077059e-08
1879,6.781350947449027e-08,1.0385853066452455e-08
1880,7.508879917850209e-08,1.6686399817444908e-08
1881,3.765154232837631e-08,1.1156012114099667e-08
1882,5.124646662579835e-08,9.317538740560849e-09
1883,3.4756364897248204e-08,5.687405213450347e-09
1884,4.027035060971684e-08,7.922036360241691e-09
1885,5.607703101873085e-08,6.445635580831777e-09
1886,4.001147502208369e-08,9.680196200179125e-09
1887,5.4842967500690065e-08,6.528924512139156e-09
1888,4.1848057463766963e-08,3.1703073499755874e-09
1889,4.636201111907212e-08,3.759081934617825e-09
1890,5.767860145056147e-08,2.6217545912032847e-09
1891,7.075384189647593e-08,8.92390783491237e-09
1892,5.140180192597654e-08,6.8953633913793055e-09
1893,5.480990594719515e-08,3.695050043717174e-09
1894,4.600123659770361e-08,5.041231432301174e-09
1895,3.250051960890232e-08,6.018614495673091e-09
1896,4.422771837653272e-08,4.717623180994224e-09
1897,6.467652013952829e-08,1.2236098356765979e-08
1898,3.734514208986184e-08,9.619203211741478e-09
1899,4.4220627160029835e-08,1.326618814800895e-08
1900,4.152842336679896e-08,7.786579381274805e-09
1901,6.203499935963919e-08,7.824234593556412e-09
1902,3.437198614619774e-08,4.419255628107521e-09
1903,6.426262189052068e-08,9.1803746826713e-09
1904,4.1384613069794796e-08,1.1824175416563776e-08
1905,3.044847929345451e-08,1.0321517862621477e-08
1906,5.401393821102829e-08,6.173021205313489e-09
1907,3.599990350267035e-08,2.5714217422034835e-09
1908,3.5361999550787004e-08,2.9468334439286537e-09
1909,2.8055016088046614e-08,1.1552065082298668e-08
1910,3.4202564336283103e-08,1.068830179917768e-08
1911,3.724261787851901e-08,1.1172785363555704e-08
1912,4.428008182344456e-08,6.251305251225858e-09
1913,4.560571298384275e-08,5.302989602995467e-09
1914,4.7546880210802556e-08,4.68772043404897e-09
1915,3.2986132936230206e-08,2.0027295377644805e-08
1916,4.0653610255958483e-08,2.6369908923129515e-08
