year,voudrait_VERB aller_VERB
1800,1.2576657937302116e-08
1801,3.333655484993869e-08
1802,1.3427040812530322e-08
1803,3.90067853572873e-08
1804,3.707776485839531e-08
1805,1.421438877713399e-08
1806,2.5935023018064385e-08
1807,1.4234775136401367e-08
1808,2.945896149242344e-08
1809,4.743964154840796e-08
1810,3.042164919975221e-08
1811,4.262030373070047e-08
1812,2.1337665856435706e-08
1813,0.0
1814,4.405347908686963e-08
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,3.580808893843823e-08
1818,3.457141417584353e-08
1819,2.5877625375869684e-08
1820,3.441279616822612e-08
1821,4.437669787193954e-08
1822,3.107940926838637e-08
1823,5.929612001409623e-08
1824,3.9579230559638745e-08
1825,4.842993561737785e-08
1826,3.2589543508265706e-08
1827,5.8068820862899884e-08
1828,4.219258542548232e-08
1829,6.172686539684946e-08
1830,4.174734158368665e-08
1831,4.8332740476553226e-08
1832,2.3000948701223933e-08
1833,6.02348677603004e-08
1834,5.2273371409228275e-08
1835,7.714349692378164e-08
1836,4.5701099793404865e-08
1837,6.609996461293122e-08
1838,7.006499913586595e-08
1839,4.894032556990169e-08
1840,7.261444778805526e-08
1841,6.035315891494974e-08
1842,4.427455024824667e-08
1843,2.7171790151214736e-08
1844,4.720162749549672e-08
1845,6.752075876192976e-08
1846,9.542836920672926e-08
1847,6.310071398729633e-08
1848,5.712107409294731e-08
1849,2.4300303991253713e-08
1850,3.93761752093269e-08
1851,6.06247212431299e-08
1852,6.640756566866912e-08
1853,5.1955808544335014e-08
1854,5.871100938747986e-08
1855,4.351688431825096e-08
1856,7.455152228885709e-08
1857,7.859229356199648e-08
1858,6.263905305559092e-08
1859,1.0031581609837303e-07
1860,6.087654469411063e-08
1861,1.0563758934267753e-07
1862,7.093238707511773e-08
1863,7.741662244598047e-08
1864,4.93856973093898e-08
1865,5.742350239756888e-08
1866,8.75810357570117e-08
1867,7.133633062039735e-08
1868,4.297690381349639e-08
1869,4.541672637969896e-08
1870,5.3326655091723296e-08
1871,6.903765381593985e-08
1872,9.736216100009187e-08
1873,4.4895035244962855e-08
1874,5.018671700440791e-08
1875,6.694186538425129e-08
1876,3.688068872520489e-08
1877,5.3807898581226254e-08
1878,6.6429976186555e-08
1879,6.720257772485638e-08
1880,7.059630746653056e-08
1881,5.020205406935929e-08
1882,4.6587697255517924e-08
1883,5.245051326596695e-08
1884,6.139578090369469e-08
1885,7.412481295432372e-08
1886,5.420909587883216e-08
1887,7.377684596576728e-08
1888,4.882273429984707e-08
1889,5.325366103647866e-08
1890,5.3745967676377404e-08
1891,5.736798058819659e-08
1892,7.459529882680727e-08
1893,6.589505829879272e-08
1894,4.978215883966186e-08
1895,6.921406736637437e-08
1896,4.0689499769541726e-08
1897,4.078699333831537e-08
1898,5.035935757291554e-08
1899,6.743645997175918e-08
1900,4.775768758236154e-08
1901,4.5827658112784775e-08
1902,5.254003809795904e-08
1903,4.6981917023458664e-08
1904,4.3534463145533664e-08
1905,4.954328858275403e-08
1906,5.19562632916859e-08
1907,5.965698335330671e-08
1908,5.3043002878894185e-08
1909,6.60118004702781e-08
1910,4.916618578931775e-08
1911,5.001151848205154e-08
1912,4.428008182344456e-08
1913,4.5075413623862914e-08
1914,4.7546880210802556e-08
1915,6.361611326610728e-08
1916,7.801097723358907e-08
1917,5.263883906536648e-08
1918,6.662098428478203e-08
1919,7.826670866961649e-08
1920,5.982062845077962e-08
1921,5.376650591415455e-08
1922,5.6810101511928224e-08
1923,6.369568694708505e-08
1924,5.9301473953610184e-08
1925,7.368779364469447e-08
1926,5.461607699430715e-08
1927,7.246995892273844e-08
1928,8.226749770301467e-08
1929,5.458799279267623e-08
1930,5.146765857944047e-08
1931,7.86969636124013e-08
1932,6.575722011348262e-08
1933,4.12943848004943e-08
1934,6.589868917217245e-08
1935,5.864459140525469e-08
1936,4.00115567344983e-08
1937,4.658713592675667e-08
1938,5.963998717106733e-08
1939,5.8117393564316444e-08
1940,2.7893612752905028e-08
1941,7.37875680556499e-08
1942,4.247896612241675e-08
1943,5.8064703267746154e-08
1944,6.7476911169706e-08
1945,6.099811145077183e-08
1946,5.707652661612883e-08
1947,4.887557025767819e-08
1948,5.6533817627268945e-08
1949,4.22131343214005e-08
1950,5.424034199563721e-08
1951,7.782823274737893e-08
1952,3.4797853487589236e-08
1953,4.0940545176226806e-08
1954,7.720303329961098e-08
1955,7.039206195713632e-08
1956,5.6687419203171885e-08
1957,5.742774433770137e-08
1958,4.6324561964183886e-08
1959,5.03798602835559e-08
1960,5.813500081330858e-08
1961,6.322824930293791e-08
1962,7.29325009274362e-08
1963,5.366824140651261e-08
1964,6.205647906654121e-08
1965,5.7456453816939757e-08
1966,6.314544975793979e-08
1967,5.275459002973548e-08
1968,6.602381574793981e-08
1969,6.540130925714038e-08
1970,6.3002531192069e-08
1971,5.652237078379585e-08
1972,4.565830735714371e-08
1973,6.450448353234606e-08
1974,4.219178606490459e-08
1975,4.226495420311949e-08
1976,4.9707683302813166e-08
1977,6.170620991952092e-08
1978,4.3366316759829715e-08
1979,4.506019379846293e-08
1980,5.457744833847755e-08
1981,6.135783081617774e-08
1982,5.090151944386889e-08
1983,4.357568172963511e-08
1984,5.799008562235031e-08
1985,5.8350913434424e-08
1986,4.975423095743281e-08
1987,5.866384356068011e-08
1988,5.097070854276353e-08
1989,5.81740948746301e-08
1990,5.0127589190651634e-08
1991,5.1580894222524876e-08
1992,4.7936513425383964e-08
1993,5.151462900698789e-08
1994,6.488159698392337e-08
1995,5.747797970911961e-08
1996,5.604996644592575e-08
1997,6.233362626062444e-08
1998,5.292623583841305e-08
1999,5.4385392189715276e-08
2000,4.9923755796044134e-08
2001,6.834690680079802e-08
2002,5.169841443830592e-08
2003,5.458668894675611e-08
2004,4.8893184612097684e-08
2005,5.5846495428113485e-08
2006,6.218013481884554e-08
2007,6.271332608775992e-08
2008,4.6831836186811415e-08
2009,5.5787850783417525e-08
2010,6.424358645062966e-08
2011,6.00363634362111e-08
2012,6.468080471222493e-08
2013,8.144245100538683e-08
2014,8.120419181523175e-08
2015,7.824510817044938e-08
2016,7.498250909065973e-08
2017,6.817306541506696e-08
2018,8.467210932394664e-08
2019,7.984591832155274e-08
