year,voulait_VERB appliquer_VERB
1800,1.5720821977538435e-08
1801,1.4287095950749062e-08
1802,1.7902721083373763e-08
1803,5.851017448321727e-09
1804,7.4155526164076946e-09
1805,1.1371510844071508e-08
1806,4.610670600868616e-08
1807,8.540865792383556e-09
1808,2.4926814390369145e-08
1809,7.90660692473466e-08
1810,7.722418615685456e-08
1811,6.267691787797958e-08
1812,1.360276229434021e-07
1813,5.463909147351842e-08
1814,2.2026739543434815e-08
1815,1.0788894222457657e-08
1816,2.0858434979231788e-08
1817,1.5568733857662664e-08
1818,2.741870730460505e-08
1819,3.9333990287104825e-08
1820,3.441279616822612e-08
1821,2.070912508145284e-08
1822,5.213320264374488e-08
1823,2.9648060007048116e-08
1824,2.6105450245950124e-08
1825,1.0566531649658373e-08
1826,7.398706713956926e-08
1827,3.3182182335167454e-08
1828,5.503380862137419e-08
1829,5.058173968564006e-08
1830,2.7135772739939057e-08
1831,7.327867024287116e-08
1832,5.276687886635045e-08
1833,9.846084481068829e-08
1834,4.29388435918554e-08
1835,4.0840674842002045e-08
1836,4.2340726480460944e-08
1837,8.558205877307046e-08
1838,5.491580878924651e-08
1839,5.733009800223954e-08
1840,7.516232614079854e-08
1841,4.6227949468402585e-08
1842,7.848669980603518e-08
1843,1.0159887153804448e-07
1844,9.604982409427976e-08
1845,9.76539880070959e-08
1846,6.088681203664237e-08
1847,7.766242049456196e-08
1848,7.803865287314693e-08
1849,6.535943697372204e-08
1850,9.572484316322516e-08
1851,8.706741994046752e-08
1852,8.203286938623933e-08
1853,7.584353767242646e-08
1854,6.650450501410887e-08
1855,7.376642940926104e-08
1856,6.316170697573398e-08
1857,5.760180599168052e-08
1858,7.144767266709096e-08
1859,6.008764330545091e-08
1860,6.957319698130959e-08
1861,6.130753149591328e-08
1862,7.228778287071691e-08
1863,5.6439215967429845e-08
1864,7.3359338159662e-08
1865,6.730787305286867e-08
1866,6.860513934725532e-08
1867,8.73506067478047e-08
1868,7.607405905218911e-08
1869,8.301982745706482e-08
1870,7.0528798801206e-08
1871,5.3105885911008954e-08
1872,5.744972497723211e-08
1873,9.398026890039546e-08
1874,9.081406204813902e-08
1875,8.067353007845668e-08
1876,5.078652520751348e-08
1877,4.824156363270049e-08
1878,5.918306911212312e-08
1879,8.003215867802282e-08
1880,8.792449079919606e-08
1881,6.066081681410651e-08
1882,6.122954232523625e-08
1883,8.657494277031219e-08
1884,6.46966284989503e-08
1885,8.443782917311182e-08
1886,7.098810073102868e-08
1887,1.0185122079064968e-07
1888,8.750048152705858e-08
1889,8.771191772893872e-08
1890,5.89894781910516e-08
1891,7.585321526448752e-08
1892,5.328235630486233e-08
1893,6.158416709922676e-08
1894,7.561847326087445e-08
1895,4.995450098022047e-08
1896,6.781583294923621e-08
1897,8.507002036139966e-08
1898,6.959776754911218e-08
1899,7.351679442990644e-08
1900,8.565237408220128e-08
1901,5.812288605966387e-08
1902,6.923499995536986e-08
1903,6.480264147512571e-08
1904,4.944655174199397e-08
1905,6.708986433068276e-08
1906,5.2985100751357095e-08
1907,5.914269962659091e-08
1908,7.17062818011982e-08
