year,tant_ADV ajouté_VERB
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,1.1702034896643454e-08
1804,1.730295728918918e-08
1805,1.1371510844071508e-08
1806,2.881669125542885e-09
1807,0.0
1808,3.6257183921861724e-08
1809,0.0
1810,1.6380887757350138e-08
1811,4.512738271955641e-08
1812,1.0668832928217853e-08
1813,1.1502966579257645e-08
1814,9.440030979135372e-09
1815,5.394447111228828e-09
1816,1.1588019432906549e-08
1817,9.341240669868967e-09
1818,2.1458118837358597e-08
1819,2.2772310259711048e-08
1820,1.0679833017945839e-08
1821,0.0
1822,1.7043547018147365e-08
1823,1.8777104315859106e-08
1824,2.6105450245950124e-08
1825,2.1133063299316746e-08
1826,1.4092774947016551e-08
1827,3.871254605769536e-08
1828,8.255071293206129e-09
1829,2.8291481157793896e-08
1830,1.2524203008013046e-08
1831,0.0
1832,1.352996914505411e-08
1833,1.7375443306377747e-08
1834,1.0267983796552471e-08
1835,2.3445572594482655e-08
1836,1.008112526790228e-08
1837,6.957891152126194e-09
1838,3.029837714052519e-08
1839,1.4682098203877558e-08
1840,2.6752692505738196e-08
1841,3.274479709602929e-08
1842,1.6770663080478698e-08
1843,1.8311423488626133e-08
1844,1.6465683927435748e-08
1845,1.5066614622583074e-08
1846,1.7563503984519002e-09
1847,1.0786447290911383e-08
1848,3.539897619475596e-08
1849,2.0948537127196687e-08
1850,3.326607966869233e-08
1851,1.9348316282474798e-09
1852,1.5625309046640723e-08
1853,8.360704129017904e-09
1854,2.909572138776184e-08
1855,1.4859423913549108e-08
1856,5.694908100650764e-09
1857,2.636014961865385e-08
1858,2.6425849952715907e-08
1859,1.2730433596175317e-08
1860,1.327383358784573e-08
1861,1.0375120318428799e-08
1862,2.3041730301542884e-08
1863,1.548332484446746e-08
1864,2.2535221688713136e-08
1865,1.2708479601997169e-08
1866,1.8002767276925624e-08
1867,3.4454963326879806e-08
1868,2.6181332657415624e-08
1869,1.3185501579471293e-08
1870,4.013834153937523e-09
1871,3.18635318130589e-09
1872,2.9027228620748247e-08
1873,2.095101514498765e-08
1874,1.6131444624534197e-08
1875,2.345826111138649e-08
