year,veut_VERB endormir_VERB
1800,3.144164484325529e-09
1801,1.1905912700171939e-08
1802,4.475680270843441e-09
1803,3.900678446910888e-09
1804,1.730295728918918e-08
1805,0.0
1806,1.152667650217154e-08
1807,2.8469551160981155e-09
1808,1.5862518409903714e-08
1809,0.0
1810,4.680253518074551e-09
1811,1.504245972228091e-08
1812,1.0668832928217853e-08
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,2.3176038865813098e-09
1817,1.5568733857662664e-08
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,1.97229765852569e-09
1822,1.7043547018147365e-08
1823,4.941343334508019e-09
1824,8.421112696055388e-10
1825,8.805443041381977e-10
1826,2.642395191543301e-09
1827,9.217273055917019e-10
1828,0.0
1829,2.571952872898464e-09
1830,0.0
1831,0.0
1832,1.2176972319366541e-08
1833,3.4750886612755494e-09
1834,4.667265685043276e-09
1835,9.832014313815307e-09
1836,9.409050427677812e-09
1837,1.3915781860163179e-09
1838,6.312161904276081e-09
1839,1.5381244722334486e-08
1840,5.095750932326837e-09
1841,1.926164561183441e-09
1842,1.341653010911159e-09
1843,5.906911071384968e-10
1844,6.586273748609983e-09
1845,0.0
1846,4.6836010625384006e-09
1847,4.314578916364553e-09
1848,5.63165514222419e-09
1849,8.379414495607307e-09
1850,4.073397619208663e-09
1851,4.514607354622058e-09
1852,1.9531636308300904e-09
1853,7.166318205520383e-09
1854,6.754363734984281e-09
1855,6.368324534378189e-09
1856,4.141751386299575e-09
1857,3.905207268672939e-09
1858,1.565976326389773e-08
1859,1.0693564256314403e-08
1860,7.323494255473406e-09
1861,2.8295783494058924e-09
1862,6.325180823552046e-09
1863,1.6482248454963155e-08
1864,7.1920918109924514e-09
1865,9.41368871743009e-10
1866,2.919367858567057e-09
1867,3.88224918879132e-09
1868,6.421836395986702e-09
1869,5.371870948067681e-09
1870,6.307453670473251e-09
1871,7.434824311758348e-09
1872,7.861540751719076e-09
1873,1.2570609442263958e-08
1874,4.182226565063729e-09
1875,4.005069165202713e-09
1876,2.418405919968336e-09
1877,7.421779191219002e-09
1878,6.6429977074733415e-09
1879,5.498392852132383e-09
1880,1.5402831010646878e-08
1881,1.9523021421719022e-08
1882,1.0648616211028639e-08
1883,1.2638677882037541e-09
1884,2.1125430293977843e-08
1885,1.0313017106966527e-08
1886,1.355227396970804e-08
1887,1.1752064210668323e-08
1888,8.876860135842435e-09
1889,1.1277245803853475e-08
1890,1.3764211992395303e-08
1891,1.2748440525456317e-08
1892,6.268512375839919e-10
1893,1.23168328869383e-08
1894,3.150769645188234e-09
1895,6.6204757231957956e-09
1896,5.89702897624278e-10
1897,3.4960281336537946e-09
1898,6.7900258748920805e-09
1899,1.6582735185011188e-09
1900,5.710158568206225e-09
1901,2.794369402536745e-09
1902,8.838511256215043e-09
1903,5.940242076007962e-09
1904,7.524475265086039e-09
1905,5.160758931310738e-09
1906,3.600929110447737e-09
1907,4.6285588695127444e-09
1908,2.4556945366072114e-09
1909,4.950885035270858e-09
1910,1.6032452032632705e-09
1911,3.1922244847493175e-09
1912,2.0837684910901544e-09
1913,1.060597942803554e-09
1914,5.357394972094198e-09
1915,7.068456930880984e-09
1916,4.394984820521586e-09
1917,4.386569774084137e-09
1918,3.44591288836682e-09
1919,1.1049418269237776e-08
1920,7.572231730534895e-10
1921,3.7863738810983705e-09
1922,8.115729421831475e-09
1923,8.492758496458919e-09
1924,2.578324886925998e-09
1925,5.499089184013428e-09
1926,1.1146138456652466e-09
1927,2.2298449753321847e-09
1928,6.8556245125250825e-09
1929,3.342121912552898e-09
1930,2.100720708497761e-09
1931,3.4216069977333063e-09
1932,2.1919073223131136e-09
1933,3.4411986593596566e-09
1934,3.5944740517379614e-09
1935,2.393656828303392e-09
1936,6.0623572828433225e-09
1937,1.2591118148108649e-09
1938,6.482607339819424e-09
1939,4.588215141154706e-09
1940,0.0
1941,1.4757512545315876e-08
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,5.568441707737293e-09
1947,0.0
1948,3.2615663503321457e-09
1949,1.9634016634739737e-09
1950,4.2541445921528975e-09
1951,4.264560704569931e-09
1952,1.0544803918932644e-09
1953,2.1547654771580937e-09
1954,4.886268278880834e-09
1955,0.0
1956,4.360570571293465e-09
1957,8.835037701437898e-10
1958,1.6544486891589827e-09
1959,3.100299128533379e-09
1960,1.3841666701708277e-09
1961,9.03260666262895e-09
1962,0.0
1963,5.819448034571906e-09
1964,6.083968329129164e-10
1965,6.0192477668863376e-09
1966,4.985167390003653e-09
1967,0.0
