year,eut_VERB empli_VERB,eut_VERB rempli_VERB
1800,0.0,9.746909768182377e-08
1801,0.0,9.524730160137551e-08
1802,0.0,3.8043282302169246e-08
1803,0.0,4.6808139586573816e-08
1804,0.0,5.6852570651244605e-08
1805,0.0,1.3077237781544682e-07
1806,0.0,4.610670600868616e-08
1807,0.0,7.402083213037258e-08
1808,0.0,1.0197332755979005e-07
1809,0.0,1.2876473931555665e-07
1810,0.0,1.1700633706368535e-07
1811,0.0,8.774768645025688e-08
1812,0.0,8.535066342574282e-08
1813,0.0,2.300593315851529e-08
1814,0.0,5.97868634599763e-08
1815,0.0,6.74305908887618e-08
1816,0.0,4.1716869958463576e-08
1817,0.0,1.0275364559220179e-07
1818,0.0,4.053200441944682e-08
1819,0.0,1.0040518816367694e-07
1820,0.0,6.051905643289501e-08
1821,0.0,6.409967312492881e-08
1822,1.0025615893027862e-09,7.318699601910339e-08
1823,0.0,1.0475648082319822e-07
1824,0.0,8.42111234078402e-08
1825,0.0,6.868245350233337e-08
1826,0.0,4.844391554570393e-08
1827,0.0,4.7008093417844066e-08
1828,9.172301251858528e-10,1.1740545602378916e-07
1829,0.0,6.001223340490469e-08
1830,2.0873671680021744e-09,6.366470017837855e-08
1831,0.0,6.080570358335535e-08
1832,6.764984572527055e-09,4.329590197471589e-08
1833,0.0,5.90765054653275e-08
1834,9.334530925997342e-10,4.85395617033646e-08
1835,0.0,1.0210168710500511e-07
1836,0.0,6.38471249203576e-08
1837,6.957890930081589e-10,8.975679577361007e-08
1838,0.0,7.195864526465812e-08
1839,0.0,4.194885150354821e-08
1840,6.3696887764308485e-09,7.707323135264232e-08
1841,6.420548537278137e-10,6.869986890478685e-08
1842,0.0,5.702025163145663e-08
1843,0.0,6.14318764746713e-08
1844,0.0,7.848642269436823e-08
1845,2.7901139176833567e-09,5.524425716885162e-08
1846,0.0,6.381406336686268e-08
1847,0.0,4.7999691332734074e-08
1848,2.413566457803995e-09,4.103063133698015e-08
1849,0.0,2.6814127807028854e-08
1850,0.0,6.44954596396019e-08
1851,6.449438760824933e-10,2.902247508984601e-08
1852,0.0,6.054807499822346e-08
1853,0.0,5.4941772020811186e-08
1854,0.0,5.5593609715742787e-08
1855,1.0613874223963649e-09,4.7231740296638236e-08
1856,0.0,4.4523826403519706e-08
1857,0.0,6.492407322866711e-08
1858,0.0,5.676664116549546e-08
1859,1.018434669930457e-09,6.008764330545091e-08
1860,0.0,6.087654469411063e-08
1861,0.0,3.3483342321005694e-08
1862,9.035972525772706e-10,3.7047488632424574e-08
1863,9.989241656072068e-10,4.195481650981492e-08
1864,4.794727948009836e-10,6.185199197261682e-08
1865,0.0,5.17752880568878e-08
1866,4.865612912574591e-10,4.670988573707291e-08
1867,0.0,4.173417877950669e-08
1868,2.9639244392143382e-09,3.754304245262574e-08
1869,0.0,4.444002499326416e-08
1870,0.0,5.390005952676802e-08
1871,0.0,4.0360472297606975e-08
1872,6.047339295989218e-10,3.0236694925633856e-08
1873,0.0,1.7958013742713774e-08
1874,0.0,4.062734149101743e-08
1875,8.58229043387837e-09,3.718992758194872e-08
1876,1.209202959984168e-09,5.2600327649088285e-08
1877,4.9478527941460015e-09,5.813727099734933e-08
1878,0.0,3.01954443671093e-08
1879,0.0,4.7652736867576095e-08
1880,0.0,2.9522093214495726e-08
1881,6.972507571312292e-10,2.1614773970668466e-08
1882,6.655385131892899e-10,3.527354053289855e-08
1883,0.0,2.9068958795619437e-08
1884,0.0,2.8387297845711146e-08
1885,0.0,2.7716232864349877e-08
1886,1.936039106809062e-09,1.7424351739236954e-08
1887,0.0,3.1991731930247624e-08
1888,6.340614699951175e-10,3.297119732792453e-08
1889,6.265136742733546e-10,3.3205225236088154e-08
1890,1.9663159989136147e-09,2.0318598359381213e-08
1891,0.0,1.8485238229004608e-08
1892,6.268512375839919e-10,1.3790726782758611e-08
1893,3.079208221734575e-09,1.6627724974682678e-08
1894,0.0,1.9534772022211655e-08
1895,0.0,3.250051960890232e-08
1896,2.948514543632541e-09,2.7716035688740703e-08
1897,0.0,4.777905004971217e-08
1898,2.26334195829736e-09,4.187182511827814e-08
1899,5.527578395003729e-10,2.3768587098516036e-08
1900,0.0,2.180242297811219e-08
1901,0.0,1.620734302321125e-08
1902,9.820567692386817e-10,1.3748794991386148e-08
1903,5.400220270956879e-10,1.296052865029651e-08
1904,0.0,1.289910045443321e-08
1905,0.0,1.1353670004154992e-08
1906,1.0288369045596824e-09,1.9547901075611662e-08
1907,5.142843373384665e-10,1.4399961223432456e-08
1908,1.964555629285769e-09,2.7503778810000767e-08
1909,1.6502950117569526e-09,1.7603147384193107e-08
1910,5.344150677544235e-10,2.939282950364941e-08
